stockid,year,TCbest,TBbest,TBdivTBmsy,areaid,stocklong,scientificname,commonname,group,kingdom,phylum,class,order,family,genus,AphiaID,Vulnerability,LongevityWild,Length,resilience_score,adjusted_catch,smoothed_catch,status,trend
SPURDNEATL,1905,7250,344000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,1450,NA,NA,0
SPURDNEATL,1906,2200,342000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,440,NA,NA,0
SPURDNEATL,1907,1430,342000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,286,725.3333333333334,NA,0
PLAICVIIbc,1908,135,0,NA,multinational-ICES-VIIbc,European Plaice VIIbc,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,27,NA,NA,-0.09266666666667622
SOLEVIIbc,1908,38,0,NA,multinational-ICES-VIIbc,Common sole VIIbc,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,22.8,NA,NA,-0.7079999999999768
SPURDNEATL,1908,1410,341000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,282,336,NA,0
PLAICVIIbc,1909,49,0,NA,multinational-ICES-VIIbc,European Plaice VIIbc,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,9.8,NA,NA,-0.09266666666667622
SOLEVIIbc,1909,32,0,NA,multinational-ICES-VIIbc,Common sole VIIbc,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,19.2,NA,NA,-0.7079999999999768
SPURDNEATL,1909,2020,341000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,404,324,NA,0
PLAICVIIbc,1910,36,0,NA,multinational-ICES-VIIbc,European Plaice VIIbc,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,7.2,14.666666666666668,NA,-0.09266666666667622
SOLEVIIbc,1910,28,0,NA,multinational-ICES-VIIbc,Common sole VIIbc,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,16.8,19.6,NA,-0.7079999999999768
SPURDNEATL,1910,1560,341000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,312,332.6666666666667,NA,0
COD1IN,1911,0,0,NA,multinational-ICES-1IN,Atlantic cod NAFO Subarea 1 (inshore),Gadus morhua,Atlantic cod,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,126436,65.4,25,200,0.2,0,NA,NA,535.333333333354
PLAICVIIbc,1911,56,0,NA,multinational-ICES-VIIbc,European Plaice VIIbc,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,11.200000000000001,9.4,NA,-0.09266666666667622
SOLEVIIbc,1911,23,0,NA,multinational-ICES-VIIbc,Common sole VIIbc,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,13.799999999999999,16.6,NA,-0.7079999999999768
SPURDNEATL,1911,1960,340000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,392,369.3333333333333,NA,0
COD1IN,1912,0,0,NA,multinational-ICES-1IN,Atlantic cod NAFO Subarea 1 (inshore),Gadus morhua,Atlantic cod,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,126436,65.4,25,200,0.2,0,NA,NA,535.333333333354
PLAICVIIbc,1912,41,0,NA,multinational-ICES-VIIbc,European Plaice VIIbc,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,8.200000000000001,8.866666666666667,NA,-0.09266666666667622
SOLEVIIbc,1912,23,0,NA,multinational-ICES-VIIbc,Common sole VIIbc,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,13.799999999999999,14.799999999999999,NA,-0.7079999999999768
SPURDNEATL,1912,3200,340000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,640,448,NA,0
COD1IN,1913,0,0,NA,multinational-ICES-1IN,Atlantic cod NAFO Subarea 1 (inshore),Gadus morhua,Atlantic cod,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,126436,65.4,25,200,0.2,0,0,NA,535.333333333354
PLAICVIIbc,1913,54,0,NA,multinational-ICES-VIIbc,European Plaice VIIbc,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,10.8,10.066666666666668,NA,-0.09266666666667622
SOLEVIIbc,1913,26,0,NA,multinational-ICES-VIIbc,Common sole VIIbc,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,15.6,14.399999999999999,NA,-0.7079999999999768
SPURDNEATL,1913,4050,339000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,810,614,NA,0
COD1IN,1914,0,0,NA,multinational-ICES-1IN,Atlantic cod NAFO Subarea 1 (inshore),Gadus morhua,Atlantic cod,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,126436,65.4,25,200,0.2,0,0,NA,535.333333333354
PLAICVIIbc,1914,85,0,NA,multinational-ICES-VIIbc,European Plaice VIIbc,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,17,12,NA,-0.09266666666667622
SOLEVIIbc,1914,44,0,NA,multinational-ICES-VIIbc,Common sole VIIbc,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,26.4,18.599999999999998,NA,-0.7079999999999768
SPURDNEATL,1914,2640,338000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,528,659.3333333333334,NA,0
COD1IN,1915,0,0,NA,multinational-ICES-1IN,Atlantic cod NAFO Subarea 1 (inshore),Gadus morhua,Atlantic cod,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,126436,65.4,25,200,0.2,0,0,NA,535.333333333354
PLAICVIIbc,1915,24,0,NA,multinational-ICES-VIIbc,European Plaice VIIbc,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,4.800000000000001,10.866666666666667,NA,-0.09266666666667622
SOLEVIIbc,1915,13,0,NA,multinational-ICES-VIIbc,Common sole VIIbc,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,7.8,16.6,NA,-0.7079999999999768
SPURDNEATL,1915,2600,338000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,520,619.3333333333334,NA,0
COD1IN,1916,0,0,NA,multinational-ICES-1IN,Atlantic cod NAFO Subarea 1 (inshore),Gadus morhua,Atlantic cod,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,126436,65.4,25,200,0.2,0,0,NA,535.333333333354
PLAICVIIbc,1916,22,0,NA,multinational-ICES-VIIbc,European Plaice VIIbc,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,4.4,8.733333333333334,NA,-0.09266666666667622
SOLEVIIbc,1916,14,0,NA,multinational-ICES-VIIbc,Common sole VIIbc,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,8.4,14.2,NA,-0.7079999999999768
SPURDNEATL,1916,534,337000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,106.80000000000001,384.93333333333334,NA,0
