scientificname,commonname,family,genus,order,class,phylum
Amblyraja radiata,Starry ray,Rajidae,Amblyraja,Rajiformes,Elasmobranchii,Chordata
Ammodytes spp,Sand eel,NA,NA,NA,NA,NA
Aphanopus carbo,Black scabbardfish,Trichiuridae,Aphanopus,Scombriformes,Teleostei,Chordata
Argentina silus,Greater silver smelt,Argentinidae,Argentina,Argentiniformes,Teleostei,Chordata
Beryx spp,Beryx spp,NA,NA,NA,NA,NA
Brosme brosme,Tusk,Lotidae,Brosme,Gadiformes,Teleostei,Chordata
Capros aper,Boarfish,Caproidae,Capros,Acanthuriformes,Teleostei,Chordata
Centrophorus squamosus,Leafscale gulper shark,Centrophoridae,Centrophorus,Squaliformes,Elasmobranchii,Chordata
Cetorhinus maximus,Basking shark,NA,NA,NA,NA,NA
Chelidonichthys cuculus,Red gurnard,Triglidae,Chelidonichthys,Perciformes,Teleostei,Chordata
Clupea harengus,Herring,Clupeidae,Clupea,Clupeiformes,Teleostei,Chordata
Coryphaenoides rupestris,Roundnose grenadier,Macrouridae,Coryphaenoides,Gadiformes,Teleostei,Chordata
Dalatias licha,Kitefin shark,Dalatiidae,Dalatias,Squaliformes,Elasmobranchii,Chordata
Dicentrarchus labrax,European seabass,Moronidae,Dicentrarchus,Eupercaria incertae sedis,Teleostei,Chordata
Engraulis encrasicolus,Anchovy,Engraulidae,Engraulis,Clupeiformes,Teleostei,Chordata
Eutrigla gurnardus,Grey gurnard,Triglidae,Eutrigla,Perciformes,Teleostei,Chordata
Gadus morhua,Atlantic cod,Gadidae,Gadus,Gadiformes,Teleostei,Chordata
Gadus morhua,Atlantic Cod,Gadidae,Gadus,Gadiformes,Teleostei,Chordata
Galeorhinus galeus,Tope shark,Triakidae,Galeorhinus,Carcharhiniformes,Elasmobranchii,Chordata
Galeus melastomus,Blackmouth dogfish,Pentanchidae,Galeus,Carcharhiniformes,Elasmobranchii,Chordata
Glyptocephalus cynoglossus,Witch flounder,Pleuronectidae,Glyptocephalus,Pleuronectiformes,Teleostei,Chordata
Hoplostethus atlanticus,Orange roughy,Trachichthyidae,Hoplostethus,Trachichthyiformes,Teleostei,Chordata
Lamna nasus,Porbeagle shark,Lamnidae,Lamna,Lamniformes,Elasmobranchii,Chordata
