stock_name,common
Miscellaneous_diadromous_fishes,NA
Marine_fishes_not_identified,NA
Miscellaneous_marine_crustaceans,NA
Miscellaneous_aquatic_invertebrates,NA
Marine_finfishes_not_identified,NA
Marine_pelagic_fishes_not_identified,NA
Mollusca,NA
Elasmobranchii,NA
Chondrichthyes,NA
Osteichthyes,NA
Cephalopoda,NA
Bivalvia,NA
Gastropoda,NA
Malacostraca,NA
Echinozoa,NA
Squaliformes,NA
Rajiformes,NA
Anguilliformes,NA
Clupeiformes,NA
Scombroidei,NA
Gadiformes,NA
Scorpaeniformes,NA
Perciformes,NA
Pleuronectiformes,NA
Batoidea,NA
Teuthida,NA
Sepiida,NA
Octopoda,NA
Decapoda,NA
Petromyzontidae,NA
Lamnidae,NA
Carcharhinidae,NA
Squalidae,NA
Squatinidae,NA
Rajidae,NA
Dasyatidae,NA
Myliobatidae,NA
Acipenseridae,NA
Clupeidae,NA
Muraenidae,NA
Salmonidae,NA
Batrachoididae,NA
Lophiidae,NA
Belonidae,NA
Atherinidae,NA
Trachichthyidae,NA
Scorpaenidae,NA
Triglidae,NA
Serranidae,NA
Carangidae,NA
Haemulidae,NA
Sparidae,NA
Sciaenidae,NA
Mullidae,NA
Mugilidae,NA
Labridae,NA
Ammodytidae,NA
Gobiidae,NA
Gempylidae,NA
Scombridae,NA
Istiophoridae,NA
Centrolophidae,NA
Stromateidae,NA
Bothidae,NA
Balistidae,NA
Ommastrephidae,NA
Loliginidae,NA
Sepiidae,NA
Octopodidae,NA
Palaemonidae,NA
Portunidae,NA
Palinuridae,NA
Crangonidae,NA
Squillidae,NA
Mytilidae,NA
Pectinidae,NA
Cardiidae,NA
Veneridae,NA
Salpidae,NA
Squalus,NA
Raja,NA
Lophius,NA
Trachinus,NA
Uranoscopus,NA
Scorpaena,NA
Scomber,NA
Mullus,NA
Trigla,NA
Argentina,NA
Mustelus,NA
Alosa,NA
Epinephelus,NA
Sphyraena,NA
Gymnothorax,NA
Caranx,NA
Scomberomorus,NA
Trachinotus,NA
Solea,NA
Alopias,NA
Dasyatis,NA
Merluccius,NA
Trachurus,NA
Spicara,NA
Sphyrna,NA
Diplodus,NA
Labrus,NA
Dentex,NA
Scyliorhinus,NA
Carcharhinus,NA
Serranus,NA
Pagrus,NA
Molva,NA
Beryx,NA
Pagellus,NA
Auxis,NA
Microchirus,NA
