iucn_sid,am_sid,sciname,cat_code,pop_trend,spatial_source,rgn_id,rgn_name,n_cells,presence,n_spp_rgn
230,Fis-29593,Acipenser sturio,CR,decreasing,am,182,Spain,95,NA,3124
903,Fis-22770,Alosa alosa,LC,unknown,am,182,Spain,114,NA,3124
904,Fis-25577,Alosa fallax,LC,stable,am,182,Spain,89,NA,3124
1847,Fis-25345,Aphanius fasciatus,LC,stable,am,182,Spain,15,NA,3124
2352,Fis-29684,Atherina boyeri,LC,unknown,am,182,Spain,88,NA,3124
2539,Fis-29302,Balistes vetula,NT,decreasing,am,182,Spain,16,NA,3124
6494,Rep-4381,Dermochelys coriacea,VU,decreasing,am,182,Spain,321,NA,3124
7011,W-Ech-124287,Echinus esculentus,NT,NA,am,182,Spain,30,NA,3124
8951,Fis-30039,Gasterosteus aculeatus,LC,stable,am,182,Spain,83,NA,3124
10069,Fis-23547,Hippocampus hippocampus,DD,NA,am,182,Spain,88,NA,3124
10097,Fis-23548,Hippoglossus hippoglossus,EN,NA,am,182,Spain,14,NA,3124
11206,Fis-25147,Lampetra fluviatilis,LC,unknown,am,182,Spain,33,NA,3124
11533,Rep-6935,Lepidochelys kempii,CR,NA,am,182,Spain,114,NA,3124
12103,Fis-25001,Liosaccus pachygaster,VU,NA,am,182,Spain,51,NA,3124
13045,Fis-23633,Melanogrammus aeglefinus,VU,NA,am,182,Spain,45,NA,3124
16011,Fis-50720,Favonigobius melanobranchus,NT,NA,am,182,Spain,40,NA,3124
16781,Fis-30477,Petromyzon marinus,LC,stable,am,182,Spain,186,NA,3124
18878,Fis-24923,Pungitius pungitius,LC,stable,am,182,Spain,38,NA,3124
19301,W-Msc-141115,Ranella olearia,NT,NA,am,182,Spain,127,NA,3124
19855,Fis-29501,Salmo salar,LC,NA,am,182,Spain,42,NA,3124
19861,Fis-21630,Salmo trutta,LC,unknown,am,182,Spain,86,NA,3124
19877,Fis-153593,Salvelinus alpinus,LC,unknown,am,182,Spain,7,NA,3124
21257,Fis-30687,Syngnathus abaster,LC,unknown,am,182,Spain,76,NA,3124
23259,Fis-28733,Zosterisessor ophiocephalus,LC,stable,am,182,Spain,47,NA,3124
41006,Fis-130691,Hippocampus guttulatus,DD,NA,am,182,Spain,86,NA,3124
41745,Fis-23077,Centrophorus uyato,DD,NA,am,182,Spain,121,NA,3124
43972,Fis-22932,Polyprion americanus,DD,NA,am,182,Spain,131,NA,3124
60216,Fis-23075,Centrophorus granulosus,DD,NA,am,182,Spain,136,NA,3124
60344,Fis-22711,Anguilla anguilla,CR,decreasing,am,182,Spain,321,NA,3124
135525,Fis-23736,Pomatoschistus microps,LC,unknown,am,182,Spain,80,NA,3124
135567,Fis-29454,Mugil cephalus,LC,stable,am,182,Spain,101,NA,3124
135579,Fis-23602,Liza aurata,LC,unknown,am,182,Spain,87,NA,3124
135606,Fis-22755,Dicentrarchus labrax,LC,unknown,am,182,Spain,97,NA,3124
135681,Fis-23603,Liza saliens,LC,unknown,am,182,Spain,86,NA,3124
135689,Fis-23954,Chelon labrosus,LC,unknown,am,182,Spain,88,NA,3124
135690,Fis-30498,Pleuronectes platessa,LC,increasing,am,182,Spain,35,NA,3124
135714,Fis-25199,Liza ramada,LC,unknown,am,182,Spain,86,NA,3124
135717,Fis-23725,Platichthys flesus,LC,decreasing,am,182,Spain,101,NA,3124
154613,Fis-32377,Synaphobranchus affinis,LC,stable,am,182,Spain,46,NA,3124
154616,Fis-49951,Diaphus diadematus,LC,unknown,am,182,Spain,158,NA,3124
154687,Fis-22713,Arnoglossus imperialis,LC,unknown,am,182,Spain,111,NA,3124
154698,Fis-50465,Lophodolos indicus,LC,unknown,am,182,Spain,128,NA,3124
154712,Fis-22215,Coryphaena hippurus,LC,stable,am,182,Spain,194,NA,3124
154729,Fis-23472,Diaphus rafinesquii,LC,unknown,am,182,Spain,317,NA,3124
154798,Fis-33128,Thalassobathia pelagica,LC,unknown,am,182,Spain,130,NA,3124
154807,Fis-23414,Caranx crysos,LC,unknown,am,182,Spain,61,NA,3124
154820,Fis-29263,Alepisaurus ferox,LC,unknown,am,182,Spain,310,NA,3124
154838,Fis-24087,Lepidion eques,DD,NA,am,182,Spain,53,NA,3124
154859,Fis-49987,Lampadena pontifex,LC,stable,am,182,Spain,174,NA,3124
154880,Fis-23505,Gaidropsarus macrophthalmus,LC,unknown,am,182,Spain,28,NA,3124
154916,Fis-50418,Chaenophryne longiceps,LC,unknown,am,182,Spain,123,NA,3124
154973,Fis-32457,Bassozetus robustus,LC,unknown,am,182,Spain,100,NA,3124
154981,Fis-146809,Paraliparis copei,DD,NA,am,182,Spain,55,NA,3124
154995,Fis-29910,Diaphus holti,LC,unknown,am,182,Spain,317,NA,3124
154997,Fis-29738,Bregmaceros atlanticus,LC,unknown,am,182,Spain,174,NA,3124
154998,Fis-32104,Argyropelecus hemigymnus,LC,stable,am,182,Spain,321,NA,3124
155014,Fis-22977,Alectis ciliaris,LC,unknown,am,182,Spain,11,NA,3124
155030,Fis-22897,Macroramphosus scolopax,LC,unknown,am,182,Spain,132,NA,3124
155044,Fis-22742,Buglossidium luteum,LC,unknown,am,182,Spain,129,NA,3124
155068,Fis-24930,Remora brachyptera,LC,stable,am,182,Spain,314,NA,3124
155075,Fis-7669,Remora albescens,LC,unknown,am,182,Spain,174,NA,3124
155081,Fis-24685,Hyperoglyphe perciformis,LC,unknown,am,182,Spain,144,NA,3124
