year,rgn_id,fao_rgn,taxon_scientific_name,taxon_common_name,taxon_key,tons,stock_id
1950,182,27,Alosa fallax,Twaite shad,605355,0.00764291218505921,Alosa_fallax-27
1950,182,27,Anguilla anguilla,European eel,600035,84.3767337734794,Anguilla_anguilla-27
1950,182,27,Aphanopus carbo,Black scabbardfish,600646,0.0244733420460791,Aphanopus_carbo-27
1950,182,27,Argyrosomus regius,Meagre,600418,26.8775809065,Argyrosomus_regius-27
1950,182,27,Aristeus antennatus,Blue and red shrimp,690051,2253.85770665721,Aristeus_antennatus-27
1950,182,27,Arnoglossus laterna,Mediterranean scaldfish,600041,0.0017561493888393,Arnoglossus_laterna-27
1950,182,27,Auxis rochei,Bullet tuna,600093,236.216886018172,Auxis_rochei-27
1950,182,27,Auxis thazard,Frigate tuna,600094,2.34990462038218,Auxis_thazard-27
1950,182,27,Balistes capriscus,Grey triggerfish,607327,6.27961593796258,Balistes_capriscus-27
1950,182,27,Balistidae,Triggerfishes,400445,15.9049335911832,Balistidae-27
1950,182,27,Belone belone,Garfish,600047,3603.73074096786,Belone_belone-27
1950,182,27,Benthodesmus,Frostfishes,504140,0.784134582624644,Benthodesmus-27
1950,182,27,Bivalvia,Clams,290004,10.5550078162216,Bivalvia-27
1950,182,27,Boops boops,Bogue,600203,972.51686692463,Boops_boops-27
1950,182,27,Brama brama,Atlantic pomfret,600391,17.8228122569018,Brama_brama-27
1950,182,27,Cancer pagurus,Edible crab,690119,1459.56197177673,Cancer_pagurus-27
1950,182,27,Carangidae,"Jacks, pompanos",400314,10.7418586676046,Carangidae-27
1950,182,27,Carcinus maenas,Green crab,690158,2.1716840410901e-4,Carcinus_maenas-27
1950,182,27,Cardium edule,Common edible cockle,690087,4710.40729976364,Cardium_edule-27
1950,182,27,Cephalopoda,"Squids, cuttlefishes, octopuses",290002,9.91485327365119,Cephalopoda-27
1950,182,27,Chamelea gallina,Striped venus,690404,1556.09222033687,Chamelea_gallina-27
1950,182,27,Chelidonichthys cuculus,Red gurnard,600044,0.00294726578613801,Chelidonichthys_cuculus-27
1950,182,27,Chelidonichthys lucerna,Tub gurnard,601366,0.0209691356772185,Chelidonichthys_lucerna-27
1950,182,27,Chelon labrosus,Thicklip grey mullet,602499,0.00488287529116502,Chelon_labrosus-27
1950,182,27,Chimaera monstrosa,Rabbit fish,602503,0.0823614471226154,Chimaera_monstrosa-27
1950,182,27,Chondrichthyes,"Sharks, rays, chimaeras",200538,5.17543456503077,Chondrichthyes-27
1950,182,27,Citharus linguatula,Spotted flounder,604943,4.41323081515891,Citharus_linguatula-27
1950,182,27,Clupea harengus,Atlantic herring,600024,0.0564516481830676,Clupea_harengus-27
1950,182,27,Clupeidae,"Herrings, sardines, menhadens",400043,7.00361625393279,Clupeidae-27
1950,182,27,Cnidaria,"Cnidarians, coelenterates",190196,1.34331890716288,Cnidaria-27
1950,182,27,Conger conger,European conger,600301,4068.17032845579,Conger_conger-27
1950,182,27,Congridae,"Conger, garden eels",400062,3.71156629764852,Congridae-27
1950,182,27,Coris julis,Mediterranean rainbow wrasse,600058,0.00622776256435691,Coris_julis-27
1950,182,27,Coryphaena hippurus,Common dolphinfish,600006,112.906813455504,Coryphaena_hippurus-27
1950,182,27,Crangonidae,Brown shrimps,490044,56.288042787649204,Crangonidae-27
1950,182,27,Dalatias licha,Kitefin shark,600669,0.0193010242146208,Dalatias_licha-27
1950,182,27,Decapoda,"Crabs, lobsters, shrimps",390013,18.7846715701572,Decapoda-27
1950,182,27,Dentex,Toothed seabreams,500809,3.39161112405,Dentex-27
1950,182,27,Dentex dentex,Common dentex,600439,141.420500491108,Dentex_dentex-27
1950,182,27,Dentex gibbosus,Pink dentex,604536,23.7555003849728,Dentex_gibbosus-27
1950,182,27,Dicentrarchus labrax,European seabass,600063,47.0238436552217,Dicentrarchus_labrax-27
1950,182,27,Dicentrarchus punctatus,Spotted seabass,600394,0.181069164278862,Dicentrarchus_punctatus-27
1950,182,27,Dicologlossa cuneata,Wedge sole,600526,82.4792955074446,Dicologlossa_cuneata-27
1950,182,27,Diplodus,Two-toothed seabreams,500705,52.1406467595,Diplodus-27
1950,182,27,Diplodus annularis,Annular seabream,601752,0.0430389225417167,Diplodus_annularis-27
