species,iucn_category,area_km2,biodiversity_score
ABALONES,CR;EN;LC;NT;VU,73469.49,0.4667
BLENNIES,EN;LC;VU;NT;CR,919321.98,1
CLUPEIFORMES,CR;LC;NT;EN;VU,306275.71,0.7844
EELS,CR;LC;EN;NT;VU,4525915.13,0.9911
FW_MOLLUSCS,LC;VU;CR,466.95,1
FW_PLANTS_PART2,LC;VU,73466.73,1
GROUPERS,LC;VU;NT;CR;EN,73467.18,0.4667
HAGFISH,LC;NT;VU;CR;EN,100662.84,1
LOBSTERS,LC;NT,967279.24,1
PUFFERFISHES_AND_RELATIVES,NT;EN;LC;VU;CR,1538948.31,0.9392
REPTILES_PART1,EN;CR;VU;LC;NT,2054593.35,0.1999
SEAGRASSES,LC;EN;NT;VU,166705.24,1
STURGEONS_PADDLEFISHES,VU;CR;EN;EX,9772.88,0
SYNGNATHIFORM_FISHES,EN;LC;VU;NT;CR,912324.17,1
TUNAS_BILLFISHES_SWORDFISH,NT;LC;EN;VU,4513921.81,0.8827
WRASSES_PARROTFISHES,VU;NT;LC;EN,892283.57,0.9946
