grid_ids,species,total_area_km2,iucn_category
24,ABALONES,73469.49,CR;EN;LC;NT;VU
25,ABALONES,73469.49,CR;EN;LC;NT;VU
26,ABALONES,73469.49,CR;EN;LC;NT;VU
38,ABALONES,73469.49,CR;EN;LC;NT;VU
39,ABALONES,73469.49,CR;EN;LC;NT;VU
40,ABALONES,73469.49,CR;EN;LC;NT;VU
41,ABALONES,73469.49,CR;EN;LC;NT;VU
53,ABALONES,73469.49,CR;EN;LC;NT;VU
54,ABALONES,73469.49,CR;EN;LC;NT;VU
55,ABALONES,73469.49,CR;EN;LC;NT;VU
56,ABALONES,73469.49,CR;EN;LC;NT;VU
68,ABALONES,73469.49,CR;EN;LC;NT;VU
69,ABALONES,73469.49,CR;EN;LC;NT;VU
70,ABALONES,73469.49,CR;EN;LC;NT;VU
83,ABALONES,73469.49,CR;EN;LC;NT;VU
84,ABALONES,73469.49,CR;EN;LC;NT;VU
85,ABALONES,73469.49,CR;EN;LC;NT;VU
86,ABALONES,73469.49,CR;EN;LC;NT;VU
87,ABALONES,73469.49,CR;EN;LC;NT;VU
89,ABALONES,73469.49,CR;EN;LC;NT;VU
98,ABALONES,73469.49,CR;EN;LC;NT;VU
99,ABALONES,73469.49,CR;EN;LC;NT;VU
100,ABALONES,73469.49,CR;EN;LC;NT;VU
101,ABALONES,73469.49,CR;EN;LC;NT;VU
102,ABALONES,73469.49,CR;EN;LC;NT;VU
103,ABALONES,73469.49,CR;EN;LC;NT;VU
104,ABALONES,73469.49,CR;EN;LC;NT;VU
114,ABALONES,73469.49,CR;EN;LC;NT;VU
115,ABALONES,73469.49,CR;EN;LC;NT;VU
116,ABALONES,73469.49,CR;EN;LC;NT;VU
117,ABALONES,73469.49,CR;EN;LC;NT;VU
118,ABALONES,73469.49,CR;EN;LC;NT;VU
119,ABALONES,73469.49,CR;EN;LC;NT;VU
120,ABALONES,73469.49,CR;EN;LC;NT;VU
131,ABALONES,73469.49,CR;EN;LC;NT;VU
132,ABALONES,73469.49,CR;EN;LC;NT;VU
133,ABALONES,73469.49,CR;EN;LC;NT;VU
134,ABALONES,73469.49,CR;EN;LC;NT;VU
135,ABALONES,73469.49,CR;EN;LC;NT;VU
147,ABALONES,73469.49,CR;EN;LC;NT;VU
148,ABALONES,73469.49,CR;EN;LC;NT;VU
149,ABALONES,73469.49,CR;EN;LC;NT;VU
