grid_ids,species,total_area_km2,iucn_category
24,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
25,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
26,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
38,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
39,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
40,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
41,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
53,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
54,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
55,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
56,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
68,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
69,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
70,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
83,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
84,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
85,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
86,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
87,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
89,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
98,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
99,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
100,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
101,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
102,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
103,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
104,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
114,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
115,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
116,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
117,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
118,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
119,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
120,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
131,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
132,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
133,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
134,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
135,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
147,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
148,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
149,CLUPEIFORMES,306275.71,CR;LC;NT;EN;VU
