grid_ids,species,total_area_km2,iucn_category
1,EELS,4525915.13,CR;LC;EN;NT;VU
2,EELS,4525915.13,CR;LC;EN;NT;VU
3,EELS,4525915.13,CR;LC;EN;NT;VU
4,EELS,4525915.13,CR;LC;EN;NT;VU
5,EELS,4525915.13,CR;LC;EN;NT;VU
6,EELS,4525915.13,CR;LC;EN;NT;VU
7,EELS,4525915.13,CR;LC;EN;NT;VU
8,EELS,4525915.13,CR;LC;EN;NT;VU
16,EELS,4525915.13,CR;LC;EN;NT;VU
17,EELS,4525915.13,CR;LC;EN;NT;VU
18,EELS,4525915.13,CR;LC;EN;NT;VU
19,EELS,4525915.13,CR;LC;EN;NT;VU
20,EELS,4525915.13,CR;LC;EN;NT;VU
21,EELS,4525915.13,CR;LC;EN;NT;VU
22,EELS,4525915.13,CR;LC;EN;NT;VU
23,EELS,4525915.13,CR;LC;EN;NT;VU
24,EELS,4525915.13,CR;LC;EN;NT;VU
25,EELS,4525915.13,CR;LC;EN;NT;VU
26,EELS,4525915.13,CR;LC;EN;NT;VU
31,EELS,4525915.13,CR;LC;EN;NT;VU
32,EELS,4525915.13,CR;LC;EN;NT;VU
33,EELS,4525915.13,CR;LC;EN;NT;VU
34,EELS,4525915.13,CR;LC;EN;NT;VU
35,EELS,4525915.13,CR;LC;EN;NT;VU
36,EELS,4525915.13,CR;LC;EN;NT;VU
37,EELS,4525915.13,CR;LC;EN;NT;VU
38,EELS,4525915.13,CR;LC;EN;NT;VU
39,EELS,4525915.13,CR;LC;EN;NT;VU
40,EELS,4525915.13,CR;LC;EN;NT;VU
41,EELS,4525915.13,CR;LC;EN;NT;VU
46,EELS,4525915.13,CR;LC;EN;NT;VU
47,EELS,4525915.13,CR;LC;EN;NT;VU
48,EELS,4525915.13,CR;LC;EN;NT;VU
49,EELS,4525915.13,CR;LC;EN;NT;VU
50,EELS,4525915.13,CR;LC;EN;NT;VU
51,EELS,4525915.13,CR;LC;EN;NT;VU
52,EELS,4525915.13,CR;LC;EN;NT;VU
53,EELS,4525915.13,CR;LC;EN;NT;VU
54,EELS,4525915.13,CR;LC;EN;NT;VU
55,EELS,4525915.13,CR;LC;EN;NT;VU
56,EELS,4525915.13,CR;LC;EN;NT;VU
61,EELS,4525915.13,CR;LC;EN;NT;VU
62,EELS,4525915.13,CR;LC;EN;NT;VU
63,EELS,4525915.13,CR;LC;EN;NT;VU
64,EELS,4525915.13,CR;LC;EN;NT;VU
65,EELS,4525915.13,CR;LC;EN;NT;VU
66,EELS,4525915.13,CR;LC;EN;NT;VU
67,EELS,4525915.13,CR;LC;EN;NT;VU
68,EELS,4525915.13,CR;LC;EN;NT;VU
69,EELS,4525915.13,CR;LC;EN;NT;VU
70,EELS,4525915.13,CR;LC;EN;NT;VU
76,EELS,4525915.13,CR;LC;EN;NT;VU
77,EELS,4525915.13,CR;LC;EN;NT;VU
78,EELS,4525915.13,CR;LC;EN;NT;VU
79,EELS,4525915.13,CR;LC;EN;NT;VU
80,EELS,4525915.13,CR;LC;EN;NT;VU
81,EELS,4525915.13,CR;LC;EN;NT;VU
82,EELS,4525915.13,CR;LC;EN;NT;VU
83,EELS,4525915.13,CR;LC;EN;NT;VU
84,EELS,4525915.13,CR;LC;EN;NT;VU
85,EELS,4525915.13,CR;LC;EN;NT;VU
86,EELS,4525915.13,CR;LC;EN;NT;VU
87,EELS,4525915.13,CR;LC;EN;NT;VU
89,EELS,4525915.13,CR;LC;EN;NT;VU
91,EELS,4525915.13,CR;LC;EN;NT;VU
92,EELS,4525915.13,CR;LC;EN;NT;VU
93,EELS,4525915.13,CR;LC;EN;NT;VU
94,EELS,4525915.13,CR;LC;EN;NT;VU
95,EELS,4525915.13,CR;LC;EN;NT;VU
96,EELS,4525915.13,CR;LC;EN;NT;VU
97,EELS,4525915.13,CR;LC;EN;NT;VU
98,EELS,4525915.13,CR;LC;EN;NT;VU
99,EELS,4525915.13,CR;LC;EN;NT;VU
100,EELS,4525915.13,CR;LC;EN;NT;VU
101,EELS,4525915.13,CR;LC;EN;NT;VU
102,EELS,4525915.13,CR;LC;EN;NT;VU
103,EELS,4525915.13,CR;LC;EN;NT;VU
104,EELS,4525915.13,CR;LC;EN;NT;VU
106,EELS,4525915.13,CR;LC;EN;NT;VU
107,EELS,4525915.13,CR;LC;EN;NT;VU
108,EELS,4525915.13,CR;LC;EN;NT;VU
109,EELS,4525915.13,CR;LC;EN;NT;VU
110,EELS,4525915.13,CR;LC;EN;NT;VU
111,EELS,4525915.13,CR;LC;EN;NT;VU
112,EELS,4525915.13,CR;LC;EN;NT;VU
113,EELS,4525915.13,CR;LC;EN;NT;VU
114,EELS,4525915.13,CR;LC;EN;NT;VU
115,EELS,4525915.13,CR;LC;EN;NT;VU
116,EELS,4525915.13,CR;LC;EN;NT;VU
117,EELS,4525915.13,CR;LC;EN;NT;VU
118,EELS,4525915.13,CR;LC;EN;NT;VU
119,EELS,4525915.13,CR;LC;EN;NT;VU
120,EELS,4525915.13,CR;LC;EN;NT;VU
121,EELS,4525915.13,CR;LC;EN;NT;VU
122,EELS,4525915.13,CR;LC;EN;NT;VU
123,EELS,4525915.13,CR;LC;EN;NT;VU
124,EELS,4525915.13,CR;LC;EN;NT;VU
125,EELS,4525915.13,CR;LC;EN;NT;VU
126,EELS,4525915.13,CR;LC;EN;NT;VU
127,EELS,4525915.13,CR;LC;EN;NT;VU
128,EELS,4525915.13,CR;LC;EN;NT;VU
129,EELS,4525915.13,CR;LC;EN;NT;VU
130,EELS,4525915.13,CR;LC;EN;NT;VU
131,EELS,4525915.13,CR;LC;EN;NT;VU
132,EELS,4525915.13,CR;LC;EN;NT;VU
133,EELS,4525915.13,CR;LC;EN;NT;VU
134,EELS,4525915.13,CR;LC;EN;NT;VU
135,EELS,4525915.13,CR;LC;EN;NT;VU
136,EELS,4525915.13,CR;LC;EN;NT;VU
137,EELS,4525915.13,CR;LC;EN;NT;VU
138,EELS,4525915.13,CR;LC;EN;NT;VU
139,EELS,4525915.13,CR;LC;EN;NT;VU
140,EELS,4525915.13,CR;LC;EN;NT;VU
141,EELS,4525915.13,CR;LC;EN;NT;VU
142,EELS,4525915.13,CR;LC;EN;NT;VU
143,EELS,4525915.13,CR;LC;EN;NT;VU
144,EELS,4525915.13,CR;LC;EN;NT;VU
145,EELS,4525915.13,CR;LC;EN;NT;VU
146,EELS,4525915.13,CR;LC;EN;NT;VU
147,EELS,4525915.13,CR;LC;EN;NT;VU
148,EELS,4525915.13,CR;LC;EN;NT;VU
149,EELS,4525915.13,CR;LC;EN;NT;VU
150,EELS,4525915.13,CR;LC;EN;NT;VU
152,EELS,4525915.13,CR;LC;EN;NT;VU
153,EELS,4525915.13,CR;LC;EN;NT;VU
154,EELS,4525915.13,CR;LC;EN;NT;VU
155,EELS,4525915.13,CR;LC;EN;NT;VU
156,EELS,4525915.13,CR;LC;EN;NT;VU
157,EELS,4525915.13,CR;LC;EN;NT;VU
158,EELS,4525915.13,CR;LC;EN;NT;VU
159,EELS,4525915.13,CR;LC;EN;NT;VU
160,EELS,4525915.13,CR;LC;EN;NT;VU
161,EELS,4525915.13,CR;LC;EN;NT;VU
162,EELS,4525915.13,CR;LC;EN;NT;VU
163,EELS,4525915.13,CR;LC;EN;NT;VU
164,EELS,4525915.13,CR;LC;EN;NT;VU
165,EELS,4525915.13,CR;LC;EN;NT;VU
168,EELS,4525915.13,CR;LC;EN;NT;VU
169,EELS,4525915.13,CR;LC;EN;NT;VU
170,EELS,4525915.13,CR;LC;EN;NT;VU
171,EELS,4525915.13,CR;LC;EN;NT;VU
172,EELS,4525915.13,CR;LC;EN;NT;VU
173,EELS,4525915.13,CR;LC;EN;NT;VU
174,EELS,4525915.13,CR;LC;EN;NT;VU
175,EELS,4525915.13,CR;LC;EN;NT;VU
176,EELS,4525915.13,CR;LC;EN;NT;VU
177,EELS,4525915.13,CR;LC;EN;NT;VU
178,EELS,4525915.13,CR;LC;EN;NT;VU
179,EELS,4525915.13,CR;LC;EN;NT;VU
180,EELS,4525915.13,CR;LC;EN;NT;VU
184,EELS,4525915.13,CR;LC;EN;NT;VU
185,EELS,4525915.13,CR;LC;EN;NT;VU
186,EELS,4525915.13,CR;LC;EN;NT;VU
187,EELS,4525915.13,CR;LC;EN;NT;VU
188,EELS,4525915.13,CR;LC;EN;NT;VU
189,EELS,4525915.13,CR;LC;EN;NT;VU
190,EELS,4525915.13,CR;LC;EN;NT;VU
191,EELS,4525915.13,CR;LC;EN;NT;VU
192,EELS,4525915.13,CR;LC;EN;NT;VU
193,EELS,4525915.13,CR;LC;EN;NT;VU
200,EELS,4525915.13,CR;LC;EN;NT;VU
201,EELS,4525915.13,CR;LC;EN;NT;VU
202,EELS,4525915.13,CR;LC;EN;NT;VU
203,EELS,4525915.13,CR;LC;EN;NT;VU
204,EELS,4525915.13,CR;LC;EN;NT;VU
