grid_ids,species,total_area_km2,iucn_category
1,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
2,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
3,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
4,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
5,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
6,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
7,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
8,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
16,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
17,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
18,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
19,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
20,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
21,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
22,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
23,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
24,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
25,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
26,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
31,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
32,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
33,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
34,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
35,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
36,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
37,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
38,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
