grid_ids,species,total_area_km2,iucn_category
1,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
2,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
3,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
4,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
5,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
6,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
7,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
8,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
16,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
17,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
18,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
19,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
20,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
21,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
22,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
23,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
24,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
25,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
26,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
31,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
32,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
33,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
34,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
35,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
36,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
37,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
38,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
39,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
40,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
41,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
46,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
47,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
48,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
49,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
50,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
51,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
52,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
53,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
54,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
55,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
56,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
61,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
62,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
63,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
64,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
65,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
66,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
67,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
68,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
69,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
70,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
76,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
77,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
78,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
79,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
80,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
81,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
82,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
83,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
84,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
85,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
86,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
87,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
89,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
91,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
92,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
93,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
94,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
95,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
96,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
97,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
98,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
99,FW_OTHER_PART3,1329226.91,LC;CR;EN;VU;NT
