grid_ids,species,total_area_km2,iucn_category
26,FW_PLANTS_PART1,440.22,LC;EN;NT;VU
40,FW_PLANTS_PART1,440.22,LC;EN;NT;VU
41,FW_PLANTS_PART1,440.22,LC;EN;NT;VU
55,FW_PLANTS_PART1,440.22,LC;EN;NT;VU
56,FW_PLANTS_PART1,440.22,LC;EN;NT;VU
70,FW_PLANTS_PART1,440.22,LC;EN;NT;VU
85,FW_PLANTS_PART1,440.22,LC;EN;NT;VU
86,FW_PLANTS_PART1,440.22,LC;EN;NT;VU
87,FW_PLANTS_PART1,440.22,LC;EN;NT;VU
89,FW_PLANTS_PART1,440.22,LC;EN;NT;VU
102,FW_PLANTS_PART1,440.22,LC;EN;NT;VU
103,FW_PLANTS_PART1,440.22,LC;EN;NT;VU
104,FW_PLANTS_PART1,440.22,LC;EN;NT;VU
