grid_ids,species,total_area_km2,iucn_category
24,FW_PLANTS_PART2,73466.73,LC;VU
25,FW_PLANTS_PART2,73466.73,LC;VU
26,FW_PLANTS_PART2,73466.73,LC;VU
38,FW_PLANTS_PART2,73466.73,LC;VU
39,FW_PLANTS_PART2,73466.73,LC;VU
40,FW_PLANTS_PART2,73466.73,LC;VU
41,FW_PLANTS_PART2,73466.73,LC;VU
53,FW_PLANTS_PART2,73466.73,LC;VU
54,FW_PLANTS_PART2,73466.73,LC;VU
55,FW_PLANTS_PART2,73466.73,LC;VU
56,FW_PLANTS_PART2,73466.73,LC;VU
68,FW_PLANTS_PART2,73466.73,LC;VU
69,FW_PLANTS_PART2,73466.73,LC;VU
70,FW_PLANTS_PART2,73466.73,LC;VU
83,FW_PLANTS_PART2,73466.73,LC;VU
84,FW_PLANTS_PART2,73466.73,LC;VU
85,FW_PLANTS_PART2,73466.73,LC;VU
86,FW_PLANTS_PART2,73466.73,LC;VU
87,FW_PLANTS_PART2,73466.73,LC;VU
89,FW_PLANTS_PART2,73466.73,LC;VU
98,FW_PLANTS_PART2,73466.73,LC;VU
99,FW_PLANTS_PART2,73466.73,LC;VU
100,FW_PLANTS_PART2,73466.73,LC;VU
101,FW_PLANTS_PART2,73466.73,LC;VU
102,FW_PLANTS_PART2,73466.73,LC;VU
103,FW_PLANTS_PART2,73466.73,LC;VU
104,FW_PLANTS_PART2,73466.73,LC;VU
114,FW_PLANTS_PART2,73466.73,LC;VU
115,FW_PLANTS_PART2,73466.73,LC;VU
116,FW_PLANTS_PART2,73466.73,LC;VU
117,FW_PLANTS_PART2,73466.73,LC;VU
118,FW_PLANTS_PART2,73466.73,LC;VU
119,FW_PLANTS_PART2,73466.73,LC;VU
120,FW_PLANTS_PART2,73466.73,LC;VU
131,FW_PLANTS_PART2,73466.73,LC;VU
132,FW_PLANTS_PART2,73466.73,LC;VU
133,FW_PLANTS_PART2,73466.73,LC;VU
134,FW_PLANTS_PART2,73466.73,LC;VU
135,FW_PLANTS_PART2,73466.73,LC;VU
147,FW_PLANTS_PART2,73466.73,LC;VU
148,FW_PLANTS_PART2,73466.73,LC;VU
149,FW_PLANTS_PART2,73466.73,LC;VU
