grid_ids,species,total_area_km2,iucn_category
24,GROUPERS,73467.18,LC;VU;NT;CR;EN
25,GROUPERS,73467.18,LC;VU;NT;CR;EN
26,GROUPERS,73467.18,LC;VU;NT;CR;EN
38,GROUPERS,73467.18,LC;VU;NT;CR;EN
39,GROUPERS,73467.18,LC;VU;NT;CR;EN
40,GROUPERS,73467.18,LC;VU;NT;CR;EN
41,GROUPERS,73467.18,LC;VU;NT;CR;EN
53,GROUPERS,73467.18,LC;VU;NT;CR;EN
54,GROUPERS,73467.18,LC;VU;NT;CR;EN
55,GROUPERS,73467.18,LC;VU;NT;CR;EN
56,GROUPERS,73467.18,LC;VU;NT;CR;EN
68,GROUPERS,73467.18,LC;VU;NT;CR;EN
69,GROUPERS,73467.18,LC;VU;NT;CR;EN
70,GROUPERS,73467.18,LC;VU;NT;CR;EN
83,GROUPERS,73467.18,LC;VU;NT;CR;EN
84,GROUPERS,73467.18,LC;VU;NT;CR;EN
85,GROUPERS,73467.18,LC;VU;NT;CR;EN
86,GROUPERS,73467.18,LC;VU;NT;CR;EN
87,GROUPERS,73467.18,LC;VU;NT;CR;EN
89,GROUPERS,73467.18,LC;VU;NT;CR;EN
98,GROUPERS,73467.18,LC;VU;NT;CR;EN
99,GROUPERS,73467.18,LC;VU;NT;CR;EN
100,GROUPERS,73467.18,LC;VU;NT;CR;EN
101,GROUPERS,73467.18,LC;VU;NT;CR;EN
102,GROUPERS,73467.18,LC;VU;NT;CR;EN
103,GROUPERS,73467.18,LC;VU;NT;CR;EN
104,GROUPERS,73467.18,LC;VU;NT;CR;EN
114,GROUPERS,73467.18,LC;VU;NT;CR;EN
115,GROUPERS,73467.18,LC;VU;NT;CR;EN
116,GROUPERS,73467.18,LC;VU;NT;CR;EN
117,GROUPERS,73467.18,LC;VU;NT;CR;EN
118,GROUPERS,73467.18,LC;VU;NT;CR;EN
119,GROUPERS,73467.18,LC;VU;NT;CR;EN
120,GROUPERS,73467.18,LC;VU;NT;CR;EN
131,GROUPERS,73467.18,LC;VU;NT;CR;EN
132,GROUPERS,73467.18,LC;VU;NT;CR;EN
133,GROUPERS,73467.18,LC;VU;NT;CR;EN
134,GROUPERS,73467.18,LC;VU;NT;CR;EN
135,GROUPERS,73467.18,LC;VU;NT;CR;EN
147,GROUPERS,73467.18,LC;VU;NT;CR;EN
148,GROUPERS,73467.18,LC;VU;NT;CR;EN
149,GROUPERS,73467.18,LC;VU;NT;CR;EN
