grid_ids,species,total_area_km2,iucn_category
23,HAGFISH,100662.84,LC;NT;VU;CR;EN
24,HAGFISH,100662.84,LC;NT;VU;CR;EN
25,HAGFISH,100662.84,LC;NT;VU;CR;EN
26,HAGFISH,100662.84,LC;NT;VU;CR;EN
38,HAGFISH,100662.84,LC;NT;VU;CR;EN
39,HAGFISH,100662.84,LC;NT;VU;CR;EN
40,HAGFISH,100662.84,LC;NT;VU;CR;EN
41,HAGFISH,100662.84,LC;NT;VU;CR;EN
53,HAGFISH,100662.84,LC;NT;VU;CR;EN
54,HAGFISH,100662.84,LC;NT;VU;CR;EN
55,HAGFISH,100662.84,LC;NT;VU;CR;EN
56,HAGFISH,100662.84,LC;NT;VU;CR;EN
68,HAGFISH,100662.84,LC;NT;VU;CR;EN
69,HAGFISH,100662.84,LC;NT;VU;CR;EN
70,HAGFISH,100662.84,LC;NT;VU;CR;EN
83,HAGFISH,100662.84,LC;NT;VU;CR;EN
84,HAGFISH,100662.84,LC;NT;VU;CR;EN
85,HAGFISH,100662.84,LC;NT;VU;CR;EN
86,HAGFISH,100662.84,LC;NT;VU;CR;EN
87,HAGFISH,100662.84,LC;NT;VU;CR;EN
89,HAGFISH,100662.84,LC;NT;VU;CR;EN
98,HAGFISH,100662.84,LC;NT;VU;CR;EN
99,HAGFISH,100662.84,LC;NT;VU;CR;EN
100,HAGFISH,100662.84,LC;NT;VU;CR;EN
101,HAGFISH,100662.84,LC;NT;VU;CR;EN
102,HAGFISH,100662.84,LC;NT;VU;CR;EN
103,HAGFISH,100662.84,LC;NT;VU;CR;EN
104,HAGFISH,100662.84,LC;NT;VU;CR;EN
113,HAGFISH,100662.84,LC;NT;VU;CR;EN
114,HAGFISH,100662.84,LC;NT;VU;CR;EN
115,HAGFISH,100662.84,LC;NT;VU;CR;EN
116,HAGFISH,100662.84,LC;NT;VU;CR;EN
117,HAGFISH,100662.84,LC;NT;VU;CR;EN
118,HAGFISH,100662.84,LC;NT;VU;CR;EN
119,HAGFISH,100662.84,LC;NT;VU;CR;EN
120,HAGFISH,100662.84,LC;NT;VU;CR;EN
129,HAGFISH,100662.84,LC;NT;VU;CR;EN
130,HAGFISH,100662.84,LC;NT;VU;CR;EN
131,HAGFISH,100662.84,LC;NT;VU;CR;EN
132,HAGFISH,100662.84,LC;NT;VU;CR;EN
133,HAGFISH,100662.84,LC;NT;VU;CR;EN
134,HAGFISH,100662.84,LC;NT;VU;CR;EN
135,HAGFISH,100662.84,LC;NT;VU;CR;EN
146,HAGFISH,100662.84,LC;NT;VU;CR;EN
147,HAGFISH,100662.84,LC;NT;VU;CR;EN
148,HAGFISH,100662.84,LC;NT;VU;CR;EN
149,HAGFISH,100662.84,LC;NT;VU;CR;EN
150,HAGFISH,100662.84,LC;NT;VU;CR;EN
163,HAGFISH,100662.84,LC;NT;VU;CR;EN
164,HAGFISH,100662.84,LC;NT;VU;CR;EN
165,HAGFISH,100662.84,LC;NT;VU;CR;EN
