grid_ids,species,total_area_km2,iucn_category
1,LOBSTERS,967279.24,LC;NT
2,LOBSTERS,967279.24,LC;NT
3,LOBSTERS,967279.24,LC;NT
4,LOBSTERS,967279.24,LC;NT
5,LOBSTERS,967279.24,LC;NT
6,LOBSTERS,967279.24,LC;NT
7,LOBSTERS,967279.24,LC;NT
8,LOBSTERS,967279.24,LC;NT
16,LOBSTERS,967279.24,LC;NT
17,LOBSTERS,967279.24,LC;NT
18,LOBSTERS,967279.24,LC;NT
19,LOBSTERS,967279.24,LC;NT
20,LOBSTERS,967279.24,LC;NT
21,LOBSTERS,967279.24,LC;NT
22,LOBSTERS,967279.24,LC;NT
23,LOBSTERS,967279.24,LC;NT
24,LOBSTERS,967279.24,LC;NT
25,LOBSTERS,967279.24,LC;NT
26,LOBSTERS,967279.24,LC;NT
31,LOBSTERS,967279.24,LC;NT
32,LOBSTERS,967279.24,LC;NT
33,LOBSTERS,967279.24,LC;NT
34,LOBSTERS,967279.24,LC;NT
35,LOBSTERS,967279.24,LC;NT
36,LOBSTERS,967279.24,LC;NT
37,LOBSTERS,967279.24,LC;NT
38,LOBSTERS,967279.24,LC;NT
39,LOBSTERS,967279.24,LC;NT
40,LOBSTERS,967279.24,LC;NT
41,LOBSTERS,967279.24,LC;NT
46,LOBSTERS,967279.24,LC;NT
47,LOBSTERS,967279.24,LC;NT
48,LOBSTERS,967279.24,LC;NT
49,LOBSTERS,967279.24,LC;NT
50,LOBSTERS,967279.24,LC;NT
51,LOBSTERS,967279.24,LC;NT
52,LOBSTERS,967279.24,LC;NT
53,LOBSTERS,967279.24,LC;NT
54,LOBSTERS,967279.24,LC;NT
55,LOBSTERS,967279.24,LC;NT
56,LOBSTERS,967279.24,LC;NT
61,LOBSTERS,967279.24,LC;NT
62,LOBSTERS,967279.24,LC;NT
63,LOBSTERS,967279.24,LC;NT
64,LOBSTERS,967279.24,LC;NT
65,LOBSTERS,967279.24,LC;NT
66,LOBSTERS,967279.24,LC;NT
67,LOBSTERS,967279.24,LC;NT
68,LOBSTERS,967279.24,LC;NT
69,LOBSTERS,967279.24,LC;NT
70,LOBSTERS,967279.24,LC;NT
76,LOBSTERS,967279.24,LC;NT
77,LOBSTERS,967279.24,LC;NT
78,LOBSTERS,967279.24,LC;NT
79,LOBSTERS,967279.24,LC;NT
80,LOBSTERS,967279.24,LC;NT
81,LOBSTERS,967279.24,LC;NT
82,LOBSTERS,967279.24,LC;NT
83,LOBSTERS,967279.24,LC;NT
84,LOBSTERS,967279.24,LC;NT
85,LOBSTERS,967279.24,LC;NT
86,LOBSTERS,967279.24,LC;NT
87,LOBSTERS,967279.24,LC;NT
89,LOBSTERS,967279.24,LC;NT
91,LOBSTERS,967279.24,LC;NT
92,LOBSTERS,967279.24,LC;NT
93,LOBSTERS,967279.24,LC;NT
94,LOBSTERS,967279.24,LC;NT
95,LOBSTERS,967279.24,LC;NT
96,LOBSTERS,967279.24,LC;NT
97,LOBSTERS,967279.24,LC;NT
98,LOBSTERS,967279.24,LC;NT
99,LOBSTERS,967279.24,LC;NT
100,LOBSTERS,967279.24,LC;NT
101,LOBSTERS,967279.24,LC;NT
102,LOBSTERS,967279.24,LC;NT
103,LOBSTERS,967279.24,LC;NT
104,LOBSTERS,967279.24,LC;NT
106,LOBSTERS,967279.24,LC;NT
107,LOBSTERS,967279.24,LC;NT
108,LOBSTERS,967279.24,LC;NT
109,LOBSTERS,967279.24,LC;NT
110,LOBSTERS,967279.24,LC;NT
111,LOBSTERS,967279.24,LC;NT
112,LOBSTERS,967279.24,LC;NT
113,LOBSTERS,967279.24,LC;NT
114,LOBSTERS,967279.24,LC;NT
115,LOBSTERS,967279.24,LC;NT
116,LOBSTERS,967279.24,LC;NT
117,LOBSTERS,967279.24,LC;NT
118,LOBSTERS,967279.24,LC;NT
119,LOBSTERS,967279.24,LC;NT
120,LOBSTERS,967279.24,LC;NT
121,LOBSTERS,967279.24,LC;NT
122,LOBSTERS,967279.24,LC;NT
123,LOBSTERS,967279.24,LC;NT
124,LOBSTERS,967279.24,LC;NT
125,LOBSTERS,967279.24,LC;NT
126,LOBSTERS,967279.24,LC;NT
127,LOBSTERS,967279.24,LC;NT
128,LOBSTERS,967279.24,LC;NT
129,LOBSTERS,967279.24,LC;NT
130,LOBSTERS,967279.24,LC;NT
