grid_ids,species,total_area_km2,iucn_category
1,MAMMALS,9203099.93,LC;EN;VU;CR;NT
2,MAMMALS,9203099.93,LC;EN;VU;CR;NT
3,MAMMALS,9203099.93,LC;EN;VU;CR;NT
4,MAMMALS,9203099.93,LC;EN;VU;CR;NT
5,MAMMALS,9203099.93,LC;EN;VU;CR;NT
6,MAMMALS,9203099.93,LC;EN;VU;CR;NT
7,MAMMALS,9203099.93,LC;EN;VU;CR;NT
8,MAMMALS,9203099.93,LC;EN;VU;CR;NT
16,MAMMALS,9203099.93,LC;EN;VU;CR;NT
17,MAMMALS,9203099.93,LC;EN;VU;CR;NT
18,MAMMALS,9203099.93,LC;EN;VU;CR;NT
19,MAMMALS,9203099.93,LC;EN;VU;CR;NT
20,MAMMALS,9203099.93,LC;EN;VU;CR;NT
21,MAMMALS,9203099.93,LC;EN;VU;CR;NT
22,MAMMALS,9203099.93,LC;EN;VU;CR;NT
23,MAMMALS,9203099.93,LC;EN;VU;CR;NT
24,MAMMALS,9203099.93,LC;EN;VU;CR;NT
25,MAMMALS,9203099.93,LC;EN;VU;CR;NT
26,MAMMALS,9203099.93,LC;EN;VU;CR;NT
31,MAMMALS,9203099.93,LC;EN;VU;CR;NT
32,MAMMALS,9203099.93,LC;EN;VU;CR;NT
33,MAMMALS,9203099.93,LC;EN;VU;CR;NT
34,MAMMALS,9203099.93,LC;EN;VU;CR;NT
35,MAMMALS,9203099.93,LC;EN;VU;CR;NT
36,MAMMALS,9203099.93,LC;EN;VU;CR;NT
37,MAMMALS,9203099.93,LC;EN;VU;CR;NT
38,MAMMALS,9203099.93,LC;EN;VU;CR;NT
39,MAMMALS,9203099.93,LC;EN;VU;CR;NT
40,MAMMALS,9203099.93,LC;EN;VU;CR;NT
41,MAMMALS,9203099.93,LC;EN;VU;CR;NT
46,MAMMALS,9203099.93,LC;EN;VU;CR;NT
47,MAMMALS,9203099.93,LC;EN;VU;CR;NT
48,MAMMALS,9203099.93,LC;EN;VU;CR;NT
49,MAMMALS,9203099.93,LC;EN;VU;CR;NT
50,MAMMALS,9203099.93,LC;EN;VU;CR;NT
51,MAMMALS,9203099.93,LC;EN;VU;CR;NT
52,MAMMALS,9203099.93,LC;EN;VU;CR;NT
53,MAMMALS,9203099.93,LC;EN;VU;CR;NT
54,MAMMALS,9203099.93,LC;EN;VU;CR;NT
55,MAMMALS,9203099.93,LC;EN;VU;CR;NT
56,MAMMALS,9203099.93,LC;EN;VU;CR;NT
61,MAMMALS,9203099.93,LC;EN;VU;CR;NT
62,MAMMALS,9203099.93,LC;EN;VU;CR;NT
63,MAMMALS,9203099.93,LC;EN;VU;CR;NT
64,MAMMALS,9203099.93,LC;EN;VU;CR;NT
65,MAMMALS,9203099.93,LC;EN;VU;CR;NT
66,MAMMALS,9203099.93,LC;EN;VU;CR;NT
67,MAMMALS,9203099.93,LC;EN;VU;CR;NT
68,MAMMALS,9203099.93,LC;EN;VU;CR;NT
69,MAMMALS,9203099.93,LC;EN;VU;CR;NT
70,MAMMALS,9203099.93,LC;EN;VU;CR;NT
76,MAMMALS,9203099.93,LC;EN;VU;CR;NT
77,MAMMALS,9203099.93,LC;EN;VU;CR;NT
78,MAMMALS,9203099.93,LC;EN;VU;CR;NT
79,MAMMALS,9203099.93,LC;EN;VU;CR;NT
80,MAMMALS,9203099.93,LC;EN;VU;CR;NT
81,MAMMALS,9203099.93,LC;EN;VU;CR;NT
82,MAMMALS,9203099.93,LC;EN;VU;CR;NT
83,MAMMALS,9203099.93,LC;EN;VU;CR;NT
84,MAMMALS,9203099.93,LC;EN;VU;CR;NT
85,MAMMALS,9203099.93,LC;EN;VU;CR;NT
86,MAMMALS,9203099.93,LC;EN;VU;CR;NT
87,MAMMALS,9203099.93,LC;EN;VU;CR;NT
89,MAMMALS,9203099.93,LC;EN;VU;CR;NT
91,MAMMALS,9203099.93,LC;EN;VU;CR;NT
92,MAMMALS,9203099.93,LC;EN;VU;CR;NT
93,MAMMALS,9203099.93,LC;EN;VU;CR;NT
94,MAMMALS,9203099.93,LC;EN;VU;CR;NT
95,MAMMALS,9203099.93,LC;EN;VU;CR;NT
96,MAMMALS,9203099.93,LC;EN;VU;CR;NT
97,MAMMALS,9203099.93,LC;EN;VU;CR;NT
98,MAMMALS,9203099.93,LC;EN;VU;CR;NT
99,MAMMALS,9203099.93,LC;EN;VU;CR;NT
100,MAMMALS,9203099.93,LC;EN;VU;CR;NT
101,MAMMALS,9203099.93,LC;EN;VU;CR;NT
102,MAMMALS,9203099.93,LC;EN;VU;CR;NT
103,MAMMALS,9203099.93,LC;EN;VU;CR;NT
104,MAMMALS,9203099.93,LC;EN;VU;CR;NT
106,MAMMALS,9203099.93,LC;EN;VU;CR;NT
107,MAMMALS,9203099.93,LC;EN;VU;CR;NT
108,MAMMALS,9203099.93,LC;EN;VU;CR;NT
109,MAMMALS,9203099.93,LC;EN;VU;CR;NT
110,MAMMALS,9203099.93,LC;EN;VU;CR;NT
111,MAMMALS,9203099.93,LC;EN;VU;CR;NT
112,MAMMALS,9203099.93,LC;EN;VU;CR;NT
113,MAMMALS,9203099.93,LC;EN;VU;CR;NT
114,MAMMALS,9203099.93,LC;EN;VU;CR;NT
115,MAMMALS,9203099.93,LC;EN;VU;CR;NT
116,MAMMALS,9203099.93,LC;EN;VU;CR;NT
117,MAMMALS,9203099.93,LC;EN;VU;CR;NT
118,MAMMALS,9203099.93,LC;EN;VU;CR;NT
119,MAMMALS,9203099.93,LC;EN;VU;CR;NT
120,MAMMALS,9203099.93,LC;EN;VU;CR;NT
121,MAMMALS,9203099.93,LC;EN;VU;CR;NT
122,MAMMALS,9203099.93,LC;EN;VU;CR;NT
123,MAMMALS,9203099.93,LC;EN;VU;CR;NT
124,MAMMALS,9203099.93,LC;EN;VU;CR;NT
125,MAMMALS,9203099.93,LC;EN;VU;CR;NT
126,MAMMALS,9203099.93,LC;EN;VU;CR;NT
127,MAMMALS,9203099.93,LC;EN;VU;CR;NT
128,MAMMALS,9203099.93,LC;EN;VU;CR;NT
129,MAMMALS,9203099.93,LC;EN;VU;CR;NT
130,MAMMALS,9203099.93,LC;EN;VU;CR;NT
131,MAMMALS,9203099.93,LC;EN;VU;CR;NT
132,MAMMALS,9203099.93,LC;EN;VU;CR;NT
133,MAMMALS,9203099.93,LC;EN;VU;CR;NT
134,MAMMALS,9203099.93,LC;EN;VU;CR;NT
135,MAMMALS,9203099.93,LC;EN;VU;CR;NT
136,MAMMALS,9203099.93,LC;EN;VU;CR;NT
137,MAMMALS,9203099.93,LC;EN;VU;CR;NT
138,MAMMALS,9203099.93,LC;EN;VU;CR;NT
139,MAMMALS,9203099.93,LC;EN;VU;CR;NT
140,MAMMALS,9203099.93,LC;EN;VU;CR;NT
141,MAMMALS,9203099.93,LC;EN;VU;CR;NT
142,MAMMALS,9203099.93,LC;EN;VU;CR;NT
143,MAMMALS,9203099.93,LC;EN;VU;CR;NT
144,MAMMALS,9203099.93,LC;EN;VU;CR;NT
145,MAMMALS,9203099.93,LC;EN;VU;CR;NT
146,MAMMALS,9203099.93,LC;EN;VU;CR;NT
147,MAMMALS,9203099.93,LC;EN;VU;CR;NT
148,MAMMALS,9203099.93,LC;EN;VU;CR;NT
149,MAMMALS,9203099.93,LC;EN;VU;CR;NT
150,MAMMALS,9203099.93,LC;EN;VU;CR;NT
152,MAMMALS,9203099.93,LC;EN;VU;CR;NT
153,MAMMALS,9203099.93,LC;EN;VU;CR;NT
154,MAMMALS,9203099.93,LC;EN;VU;CR;NT
155,MAMMALS,9203099.93,LC;EN;VU;CR;NT
156,MAMMALS,9203099.93,LC;EN;VU;CR;NT
157,MAMMALS,9203099.93,LC;EN;VU;CR;NT
158,MAMMALS,9203099.93,LC;EN;VU;CR;NT
159,MAMMALS,9203099.93,LC;EN;VU;CR;NT
160,MAMMALS,9203099.93,LC;EN;VU;CR;NT
161,MAMMALS,9203099.93,LC;EN;VU;CR;NT
162,MAMMALS,9203099.93,LC;EN;VU;CR;NT
163,MAMMALS,9203099.93,LC;EN;VU;CR;NT
164,MAMMALS,9203099.93,LC;EN;VU;CR;NT
165,MAMMALS,9203099.93,LC;EN;VU;CR;NT
168,MAMMALS,9203099.93,LC;EN;VU;CR;NT
169,MAMMALS,9203099.93,LC;EN;VU;CR;NT
170,MAMMALS,9203099.93,LC;EN;VU;CR;NT
171,MAMMALS,9203099.93,LC;EN;VU;CR;NT
172,MAMMALS,9203099.93,LC;EN;VU;CR;NT
173,MAMMALS,9203099.93,LC;EN;VU;CR;NT
174,MAMMALS,9203099.93,LC;EN;VU;CR;NT
175,MAMMALS,9203099.93,LC;EN;VU;CR;NT
176,MAMMALS,9203099.93,LC;EN;VU;CR;NT
177,MAMMALS,9203099.93,LC;EN;VU;CR;NT
178,MAMMALS,9203099.93,LC;EN;VU;CR;NT
179,MAMMALS,9203099.93,LC;EN;VU;CR;NT
180,MAMMALS,9203099.93,LC;EN;VU;CR;NT
184,MAMMALS,9203099.93,LC;EN;VU;CR;NT
185,MAMMALS,9203099.93,LC;EN;VU;CR;NT
186,MAMMALS,9203099.93,LC;EN;VU;CR;NT
187,MAMMALS,9203099.93,LC;EN;VU;CR;NT
188,MAMMALS,9203099.93,LC;EN;VU;CR;NT
189,MAMMALS,9203099.93,LC;EN;VU;CR;NT
190,MAMMALS,9203099.93,LC;EN;VU;CR;NT
191,MAMMALS,9203099.93,LC;EN;VU;CR;NT
192,MAMMALS,9203099.93,LC;EN;VU;CR;NT
193,MAMMALS,9203099.93,LC;EN;VU;CR;NT
200,MAMMALS,9203099.93,LC;EN;VU;CR;NT
201,MAMMALS,9203099.93,LC;EN;VU;CR;NT
202,MAMMALS,9203099.93,LC;EN;VU;CR;NT
203,MAMMALS,9203099.93,LC;EN;VU;CR;NT
204,MAMMALS,9203099.93,LC;EN;VU;CR;NT
