grid_ids,species,total_area_km2,iucn_category
1,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
2,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
3,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
4,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
5,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
6,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
7,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
8,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
16,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
17,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
18,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
19,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
20,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
21,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
22,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
23,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
24,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
25,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
26,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
31,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
32,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
33,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
34,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
35,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
36,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
37,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
38,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
39,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
40,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
41,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
46,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
47,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
48,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
49,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
50,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
51,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
52,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
53,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
54,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
55,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
56,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
61,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
62,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
63,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
64,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
65,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
66,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
67,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
68,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
69,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
70,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
76,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
77,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
78,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
79,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
80,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
81,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
82,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
83,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
84,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
85,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
86,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
87,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
89,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
91,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
92,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
93,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
94,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
95,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
96,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
97,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
98,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
99,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
100,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
101,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
102,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
103,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
104,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
106,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
107,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
108,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
109,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
110,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
111,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
112,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
113,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
114,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
115,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
116,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
117,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
118,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
119,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
120,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
121,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
122,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
123,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
124,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
125,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
126,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
127,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
128,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
129,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
130,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
131,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
132,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
133,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
134,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
135,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
136,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
137,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
138,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
139,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
140,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
141,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
142,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
143,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
144,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
145,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
146,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
147,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
148,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
149,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
150,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
152,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
153,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
154,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
155,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
156,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
157,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
158,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
159,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
160,MARINEFISH_PART1,13718512.03,VU;NT;LC;CR;EN
