grid_ids,species,total_area_km2,iucn_category
1,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
2,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
3,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
4,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
5,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
6,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
7,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
8,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
16,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
17,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
18,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
19,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
20,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
21,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
22,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
23,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
24,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
25,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
26,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
31,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
32,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
33,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
34,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
35,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
36,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
37,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
38,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
39,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
40,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
41,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
46,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
47,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
48,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
49,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
