grid_ids,species,total_area_km2,iucn_category
1,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
2,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
3,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
4,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
5,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
6,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
7,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
8,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
16,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
17,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
18,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
19,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
20,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
21,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
22,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
23,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
24,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
25,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
26,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
31,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
32,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
33,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
34,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
35,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
36,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
37,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
38,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
39,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
40,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
41,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
46,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
47,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
48,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
49,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
50,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
51,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
52,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
53,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
54,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
55,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
56,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
61,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
62,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
63,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
64,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
65,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
66,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
67,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
68,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
69,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
70,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
76,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
77,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
78,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
79,PUFFERFISHES_AND_RELATIVES,1538948.31,NT;EN;LC;VU;CR
