grid_ids,species,total_area_km2,iucn_category
1,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
2,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
3,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
4,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
5,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
6,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
7,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
8,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
16,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
17,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
18,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
19,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
20,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
21,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
22,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
23,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
24,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
25,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
26,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
31,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
32,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
33,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
34,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
35,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
36,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
37,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
38,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
39,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
40,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
41,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
46,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
47,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
48,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
49,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
50,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
51,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
52,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
53,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
54,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
55,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
56,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
61,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
62,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
63,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
64,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
65,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
66,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
67,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
68,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
69,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
70,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
76,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
77,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
78,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
79,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
80,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
81,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
82,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
83,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
84,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
85,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
86,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
87,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
89,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
91,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
92,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
93,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
94,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
95,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
96,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
97,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
98,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
99,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
100,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
101,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
102,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
103,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
104,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
106,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
107,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
108,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
109,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
110,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
111,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
112,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
113,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
114,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
115,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
116,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
117,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
118,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
119,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
120,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
121,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
122,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
123,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
124,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
125,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
126,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
127,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
128,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
129,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
130,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
131,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
132,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
133,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
134,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
135,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
136,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
137,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
138,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
139,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
140,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
141,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
142,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
143,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
144,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
145,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
146,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
147,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
148,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
149,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
150,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
152,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
153,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
154,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
155,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
156,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
157,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
158,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
159,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
160,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
161,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
162,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
163,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
164,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
165,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
168,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
169,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
170,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
171,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
172,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
173,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
174,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
175,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
176,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
177,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
178,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
179,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
180,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
184,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
185,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
186,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
187,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
188,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
189,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
190,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
191,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
192,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
193,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
200,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
201,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
202,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
203,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
204,REPTILES_PART1,2054593.35,EN;CR;VU;LC;NT
