grid_ids,species,total_area_km2,iucn_category
23,SEAGRASSES,166705.24,LC;EN;NT;VU
24,SEAGRASSES,166705.24,LC;EN;NT;VU
25,SEAGRASSES,166705.24,LC;EN;NT;VU
26,SEAGRASSES,166705.24,LC;EN;NT;VU
38,SEAGRASSES,166705.24,LC;EN;NT;VU
39,SEAGRASSES,166705.24,LC;EN;NT;VU
40,SEAGRASSES,166705.24,LC;EN;NT;VU
41,SEAGRASSES,166705.24,LC;EN;NT;VU
53,SEAGRASSES,166705.24,LC;EN;NT;VU
54,SEAGRASSES,166705.24,LC;EN;NT;VU
55,SEAGRASSES,166705.24,LC;EN;NT;VU
56,SEAGRASSES,166705.24,LC;EN;NT;VU
68,SEAGRASSES,166705.24,LC;EN;NT;VU
69,SEAGRASSES,166705.24,LC;EN;NT;VU
70,SEAGRASSES,166705.24,LC;EN;NT;VU
83,SEAGRASSES,166705.24,LC;EN;NT;VU
84,SEAGRASSES,166705.24,LC;EN;NT;VU
85,SEAGRASSES,166705.24,LC;EN;NT;VU
86,SEAGRASSES,166705.24,LC;EN;NT;VU
87,SEAGRASSES,166705.24,LC;EN;NT;VU
89,SEAGRASSES,166705.24,LC;EN;NT;VU
98,SEAGRASSES,166705.24,LC;EN;NT;VU
99,SEAGRASSES,166705.24,LC;EN;NT;VU
100,SEAGRASSES,166705.24,LC;EN;NT;VU
101,SEAGRASSES,166705.24,LC;EN;NT;VU
102,SEAGRASSES,166705.24,LC;EN;NT;VU
103,SEAGRASSES,166705.24,LC;EN;NT;VU
104,SEAGRASSES,166705.24,LC;EN;NT;VU
113,SEAGRASSES,166705.24,LC;EN;NT;VU
114,SEAGRASSES,166705.24,LC;EN;NT;VU
115,SEAGRASSES,166705.24,LC;EN;NT;VU
116,SEAGRASSES,166705.24,LC;EN;NT;VU
117,SEAGRASSES,166705.24,LC;EN;NT;VU
118,SEAGRASSES,166705.24,LC;EN;NT;VU
119,SEAGRASSES,166705.24,LC;EN;NT;VU
120,SEAGRASSES,166705.24,LC;EN;NT;VU
129,SEAGRASSES,166705.24,LC;EN;NT;VU
130,SEAGRASSES,166705.24,LC;EN;NT;VU
131,SEAGRASSES,166705.24,LC;EN;NT;VU
132,SEAGRASSES,166705.24,LC;EN;NT;VU
133,SEAGRASSES,166705.24,LC;EN;NT;VU
134,SEAGRASSES,166705.24,LC;EN;NT;VU
135,SEAGRASSES,166705.24,LC;EN;NT;VU
146,SEAGRASSES,166705.24,LC;EN;NT;VU
147,SEAGRASSES,166705.24,LC;EN;NT;VU
148,SEAGRASSES,166705.24,LC;EN;NT;VU
149,SEAGRASSES,166705.24,LC;EN;NT;VU
150,SEAGRASSES,166705.24,LC;EN;NT;VU
162,SEAGRASSES,166705.24,LC;EN;NT;VU
163,SEAGRASSES,166705.24,LC;EN;NT;VU
164,SEAGRASSES,166705.24,LC;EN;NT;VU
