grid_ids,species,total_area_km2,iucn_category
25,STURGEONS_PADDLEFISHES,9772.88,VU;CR;EN;EX
26,STURGEONS_PADDLEFISHES,9772.88,VU;CR;EN;EX
40,STURGEONS_PADDLEFISHES,9772.88,VU;CR;EN;EX
41,STURGEONS_PADDLEFISHES,9772.88,VU;CR;EN;EX
55,STURGEONS_PADDLEFISHES,9772.88,VU;CR;EN;EX
56,STURGEONS_PADDLEFISHES,9772.88,VU;CR;EN;EX
70,STURGEONS_PADDLEFISHES,9772.88,VU;CR;EN;EX
85,STURGEONS_PADDLEFISHES,9772.88,VU;CR;EN;EX
86,STURGEONS_PADDLEFISHES,9772.88,VU;CR;EN;EX
87,STURGEONS_PADDLEFISHES,9772.88,VU;CR;EN;EX
89,STURGEONS_PADDLEFISHES,9772.88,VU;CR;EN;EX
102,STURGEONS_PADDLEFISHES,9772.88,VU;CR;EN;EX
103,STURGEONS_PADDLEFISHES,9772.88,VU;CR;EN;EX
104,STURGEONS_PADDLEFISHES,9772.88,VU;CR;EN;EX
118,STURGEONS_PADDLEFISHES,9772.88,VU;CR;EN;EX
