grid_ids,species,total_area_km2,iucn_category
1,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
2,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
3,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
4,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
5,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
6,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
7,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
8,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
16,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
17,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
18,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
19,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
20,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
21,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
22,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
23,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
24,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
25,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
26,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
31,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
32,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
33,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
34,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
35,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
36,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
37,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
38,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
39,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
40,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
41,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
46,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
47,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
48,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
49,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
50,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
51,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
52,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
53,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
54,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
55,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
56,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
61,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
62,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
63,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
64,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
65,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
66,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
67,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
68,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
69,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
70,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
76,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
77,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
78,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
79,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
80,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
81,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
82,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
83,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
84,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
85,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
86,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
87,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
89,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
91,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
92,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
93,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
94,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
95,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
96,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
97,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
98,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
99,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
100,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
101,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
102,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
103,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
104,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
106,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
107,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
108,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
109,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
110,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
111,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
112,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
113,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
114,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
115,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
116,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
117,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
118,SYNGNATHIFORM_FISHES,912324.17,EN;LC;VU;NT;CR
