grid_ids,species,total_area_km2,iucn_category
1,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
2,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
3,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
4,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
5,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
6,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
7,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
8,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
16,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
17,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
18,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
19,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
20,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
21,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
22,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
23,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
24,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
25,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
26,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
31,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
32,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
33,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
34,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
35,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
36,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
37,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
38,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
39,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
40,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
41,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
46,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
47,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
48,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
49,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
50,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
51,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
52,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
53,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
54,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
55,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
56,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
61,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
