grid_ids,species,total_area_km2,iucn_category
24,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
25,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
26,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
38,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
39,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
40,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
41,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
53,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
54,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
55,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
56,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
68,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
69,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
70,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
83,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
84,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
85,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
86,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
87,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
89,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
98,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
99,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
100,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
101,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
102,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
103,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
104,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
114,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
115,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
116,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
117,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
118,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
119,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
120,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
131,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
132,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
133,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
134,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
135,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
147,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
148,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
149,WRASSES_PARROTFISHES,892283.57,VU;NT;LC;EN
