Rama de actividade,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022 (p)
"A. Agricultura, gandería, selvicultura e pesca ","2,095,955","2,350,223","2,408,387","2,473,427","2,487,344","2,412,581","2,382,588","2,705,495","2,764,219","2,387,346","2,467,943","2,611,877","2,523,314","2,719,660","2,750,574","2,925,500","2,920,056","2,889,687","2,879,644","3,008,774","2,630,434","2,840,873","3,015,385"
"R01 Agricultura, gandaría, caza e servizos relacionados con elas","1,153,958","1,299,286","1,424,066","1,496,396","1,493,978","1,450,279","1,419,989","1,692,532","1,729,124","1,498,287","1,471,017","1,535,532","1,533,336","1,815,896","1,819,483","1,927,058","1,863,280","1,790,763","1,808,573","2,024,841","1,725,526","1,750,427","1,862,752"
R02 Silvicultura e explotacion forestal,"342,431","378,980","355,844","392,583","373,934","399,150","331,440","398,575","437,323","321,295","394,648","425,704","371,239","365,609","365,824","394,840","390,648","411,282","417,139","397,130","393,851","419,324","414,067"
R03 Pesca e acuicultura,"599,566","671,957","628,477","584,448","619,432","563,152","631,159","614,388","597,772","567,764","602,278","650,641","618,739","538,155","565,267","603,602","666,128","687,642","653,932","586,803","511,057","671,122","738,566"
R03A Pesca,..,..,..,..,..,"430,461","457,938","488,146","480,189","449,862","486,118","522,188","495,988","431,389","440,273","468,602","525,145","510,625","471,803","420,092","383,684","474,227","522,534"
R03B Acuicultura ,..,..,..,..,..,"132,691","173,221","126,242","117,583","117,902","116,160","128,453","122,751","106,766","124,994","135,000","140,983","177,017","182,129","166,711","127,373","196,895","216,032"
B. Industrias extractivas,"309,949","324,827","358,384","345,789","341,610","332,682","353,719","358,722","244,693","187,311","195,929","203,670","169,939","161,915","156,990","142,337","173,976","157,547","139,709","154,412","141,310","159,861","181,956"
R05_09 Industrias extractivas,"309,949","324,827","358,384","345,789","341,610","332,682","353,719","358,722","244,693","187,311","195,929","203,670","169,939","161,915","156,990","142,337","173,976","157,547","139,709","154,412","141,310","159,861","181,956"
C. Industria manufactureira,"4,627,021","4,913,972","5,043,609","5,265,894","5,567,190","5,983,122","6,666,657","7,090,422","7,414,295","6,401,758","6,405,439","6,271,017","5,653,373","5,799,685","6,041,779","6,324,834","6,544,713","6,985,896","7,304,019","7,327,312","6,310,815","7,593,993","8,451,552"
R10A Procesamento e conservación de carne e elaboración de produtos cárnicos,"138,383","141,048","134,238","140,017","162,389","182,456","169,654","183,611","178,196","199,422","178,777","214,941","181,911","224,913","222,699","245,069","254,432","253,773","246,224","296,101","286,621","309,519","327,468"
