Species
Aequipecten opercularis
Sepia officinalis
Octopus vulgaris
Loligo vulgaris
Liocarcinus corrugatus
Trisopterus luscus
Raja undulata
Maja brachydactyla
Necora puber
Pecten maximus
Spondyliosoma cantharus
Callionymus lyra
Gobiidae
Chelidonichthys lucerna
Scyliorhinus canicula
Alloteuthis spp
Boops boops
Mullus surmuletus
Polybius henslowi
Platichthys flesus
Pollachius pollachius
Labrus bergylta
Dicentrarchus labrax
Conger conger
Pagrus pagrus
Trachurus trachurus
Scomber scombrus
Belone belone
Raja clavata
Ammodytidae
Hyperoplus lanceolatus
Atherina presbiter
Ammodytes tobianus
Gymnammodytes semisquamatus
Sardina pilchardus
Engraulis encrasicholus
Sprattus sprattus
Micromesistius poutassou
Carcinus maenas
Buglossidium luteum
Symphodus spp
Soleidae
Gobius niger
Maja brachydactyla
Solea vulgaris
Neptunea contraria
Ostrea edulis
Platichthys flesus
Scomber japonicus
Pagellus acarne
Helicolenus dactylopterus
Diplodus vulgaris
Palaemon serratus
Balistes carolinensis
Scyllarus arctus
Chelidonichthys lucerna
Mola mola
Prionace glauca
Trachurus picturatus
Lophius piscatorius
Zeus faber
