"Stock_Code","Stock_Name"
"ALBANATL","Albacore tuna Northern Atlantic"
"ALBASATL","Albacore tuna South Atlantic"
"ATBTUNAEATL","Atlantic bluefin tuna Eastern Atlantic"
"ATBTUNAWATL","Atlantic bluefin tuna Western Atlantic"
"BIGEYEATL","Bigeye tuna Atlantic Ocean"
"BLSHARNATL","Blue shark Northern Atlantic"
"BLSHARSATL","Blue shark South Atlantic"
"BMARLINATL","Blue marlin Atlantic Ocean"
"SAILEATL","Sailfish Eastern Atlantic"
"SAILWATL","Sailfish Western Atlantic"
"SFMAKONATL","Shortfin mako Northern Atlantic"
"SFMAKOSATL","Shortfin mako South Atlantic"
"SKJEATL","Skipjack tuna Eastern Atlantic"
"SKJWATL","Skipjack tuna Western Atlantic"
"SWORDNATL","Swordfish Northern Atlantic"
"SWORDSATL","Swordfish South Atlantic"
"WMARLINATL","White marlin Atlantic Ocean"
"YFINATL","Yellowfin tuna Atlantic Ocean"
