Country (Name),ASFIS species (Name),FAO major fishing area (Name),Unit (Name),Unit,[1950],S,[1951],S,[1952],S,[1953],S,[1954],S,[1955],S,[1956],S,[1957],S,[1958],S,[1959],S,[1960],S,[1961],S,[1962],S,[1963],S,[1964],S,[1965],S,[1966],S,[1967],S,[1968],S,[1969],S,[1970],S,[1971],S,[1972],S,[1973],S,[1974],S,[1975],S,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S,[2022],S
Spain,[Muraena australiae],"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,...
Spain,[Aphanopus spp],"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.64,,1.22,,1.13,
Spain,[Solea spp],"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.69,,0,...,0.2,
Spain,[Microchirus azevia],"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.01,,0.01,
Spain,[Spaniblennius riodourensis],"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.02,,0,...,0,...
Spain,[Heterocarpus grimaldii],"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,8.78,,15.84,,0.05,
Spain,[Muraena augusti],"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,23.52,,18.27,,26.32,,19.82,
Spain,[Lestidiops affinis],"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,
Spain,[Polymetme corythaeola],"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.01,,0,,0,...
Spain,[Dibranchus atlanticus],"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.01,,0,...,0,...
Spain,[Diaphus effulgens],"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.01,
Spain,[Bythites islandicus],"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,
Spain,[Eustomias obscurus],"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.02,
