"Column1","Area","Units","Country","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","Latin species name","English","Spanish","French"
"ABZ","27.9.a","TLW","ES","1.12","0.83","1.23","0.66","0.51","0","0","0","0","0","0","0","0","0","0","0","0","Ammodytes tobianus","Small sandeel","Aguacioso","Équille"
"AES","27.9.a","TLW","ES","0","0","0.02","0","1.09","0","0","0","0.05","0","0","0","0","0","0","0","0","Pandalus montagui","Aesop shrimp","Camarón esópico","Crevette ésope"
"AGN","27.8.c","TLW","ES","0","0","0","0","0","0","0","0","0","0.02","0.03","0.05","0","0","0","0","0","Squatina squatina","Angelshark","Angelote","Ange de mer commun"
"AGN","27.9.a","TLW","ES","0.36","0.17","0","2.43","0.24","0","0.86","1.91","0.3","4.24","62.51","10.31","9.3","0.01","0.01","0.8","0.1","Squatina squatina","Angelshark","Angelote","Ange de mer commun"
"AKJ","27.8.c","TLW","ES","0","0","0","0","0","0","0.01","0","0","0","0","0","0","0","0","0","0","Acanthocardia echinata","European prickly cockle","Carneiro","Bucarde rouge"
"AKJ","27.9.a","TLW","ES","0","0","0","0","0","0","0.01","0","0.02","0.02","0","0","0","0","0","0","0","Acanthocardia echinata","European prickly cockle","Carneiro","Bucarde rouge"
"AKL","27.8.c","TLW","ES","0","0","0","0.02","0","0","0","0","0","0","0","0","0","0","0","0","0","Acantholabrus palloni","Scale-rayed wrasse",NA,NA
"ALB","27.8.c","TLW","ES","6105.88","9518.78","6280.81","4272.6","4088.08","4304.46","4392.83","2093.72","172.84","1957.93","2676.16","2981.22","1835.9","869.3","3993","6127.6","6851.2","Thunnus alalunga","Albacore","Atún blanco","Germon"
"ALB","27.9.a","TLW","ES","15.98","0.67","0.21","0.83","4.97","18.91","91.47","38.17","16.59","68.19","62.99","26.08","73.8","13.2","125","110.3","55.7","Thunnus alalunga","Albacore","Atún blanco","Germon"
"ALF","27.8.c","TLW","ES","0.08","0.96","0.96","1.24","1.36","0.7","2.59","0.56","0.48","0.56","0.67","6.49","9.5","4.4","7","3.3","5.1","Beryx spp","Alfonsinos nei","Alfonsinos nep","Béryx nca"
"ALF","27.9.a","TLW","ES","0","0.01","0.01","0.12","0.15","0.06","0.05","0","0.09","0.18","1.29","0.05","10.3","0.01","0.01","0.3","6.9","Beryx spp","Alfonsinos nei","Alfonsinos nep","Béryx nca"
"ALM","27.8.c","TLW","ES","0","0","0","0","0","0","0","0.01","0","0","0","0","0","0","0","0","0","Aluterus monoceros","Unicorn leatherjacket filefish",NA,NA
"ALM","27.9.a","TLW","ES","0.12","0","0","0","0","0","0","0","0","0.01","0","0","0","0","0","0","0","Aluterus monoceros","Unicorn leatherjacket filefish",NA,NA
"ALU","27.8.c","TLW","ES","0","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Albulidae","Bonefishes nei","Macabíes nep","Albulidés nca"
"ALV","27.8.c","TLW","ES","0","0","0","0","0","0","0","0","0","0","0","0","0","3.3","4","7.5","6.6","Alopias vulpinus","Thresher","Zorro","Renard"
"ALV","27.9.a","TLW","ES","0","0","0.12","0","0.03","0","0","0","0.01","0","0.02","0.01","0.1","21.5","29","13.3","23.9","Alopias vulpinus","Thresher","Zorro","Renard"
"ALX","27.8.c","TLW","ES","0","0.16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Alepisaurus ferox","Long snouted lancetfish","Lanzón picudo","Lancier longnez"
"ALX","27.9.a","TLW","ES","0.08","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Alepisaurus ferox","Long snouted lancetfish","Lanzón picudo","Lancier longnez"
"AMB","27.8.c","TLW","ES","0.01","0.22","0.04","0.01","0","0.24","0.06","0.03","0","0.03","0.05","0.82","0","0","0","0","0","Seriola dumerili","Greater amberjack","Pez de limón","Sériole couronnée"
"AMB","27.9.a","TLW","ES","10.66","20.02","11.54","12.71","6.07","6.27","4.52","5.6","5.65","2.62","1.1","13.5","2.4","1.8","6","11.5","3.3","Seriola dumerili","Greater amberjack","Pez de limón","Sériole couronnée"
"AMX","27.9.a","TLW","ES","0","0","0","0","0","0.03","0.03","0","0","0","0","0","0","0","0","0","0","Seriola spp","Amberjacks nei","Medregales nep","Sérioles nca"
"ANE","27.8.c","TLW","ES","24602.44","27830.38","24683.07","19341.04","23143.36","16443.52","11370.82","17530.21","5964.33","4598.78","4668.57","7020.95","4038.1","0.01","0.01","0.4","297.9","Engraulis encrasicolus","European anchovy","Boquerón","Anchois"
"ANE","27.9.a","TLW","ES","6697.57","8290.05","7355.18","5477.86","5302.22","3374.45","6410.37","5697.3","6663.62","5331.31","4760.66","5991.16","3031","2205.4","2574","4540.3","3909.4","Engraulis encrasicolus","European anchovy","Boquerón","Anchois"
