FAOcode,Area,Units,Country,Year,Catch,scientificname,English_name,Family,Order.or.higher.taxa,kingdom,phylum,class,order,family,genus,AphiaID
BIB,27.8.c,TLW,ES,2022,169.46,Trisopterus luscus,Pouting(=Bib),GADIDAE,GADIFORMES,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus,126445
BIB,27.8.c,TLW,ES,2021,208.29,Trisopterus luscus,Pouting(=Bib),GADIDAE,GADIFORMES,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus,126445
BIB,27.8.c,TLW,ES,2020,278.23,Trisopterus luscus,Pouting(=Bib),GADIDAE,GADIFORMES,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus,126445
BIB,27.8.c,TLW,ES,2019,256.41,Trisopterus luscus,Pouting(=Bib),GADIDAE,GADIFORMES,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus,126445
BIB,27.8.c,TLW,ES,2018,264.09,Trisopterus luscus,Pouting(=Bib),GADIDAE,GADIFORMES,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus,126445
BIB,27.8.c,TLW,ES,2017,314.64,Trisopterus luscus,Pouting(=Bib),GADIDAE,GADIFORMES,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus,126445
BIB,27.8.c,TLW,ES,2016,521.18,Trisopterus luscus,Pouting(=Bib),GADIDAE,GADIFORMES,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus,126445
BIB,27.8.c,TLW,ES,2015,424.07,Trisopterus luscus,Pouting(=Bib),GADIDAE,GADIFORMES,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus,126445
BIB,27.8.c,TLW,ES,2014,1009.73,Trisopterus luscus,Pouting(=Bib),GADIDAE,GADIFORMES,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus,126445
BIB,27.8.c,TLW,ES,2013,1663.06,Trisopterus luscus,Pouting(=Bib),GADIDAE,GADIFORMES,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus,126445
BIB,27.8.c,TLW,ES,2012,2185.71,Trisopterus luscus,Pouting(=Bib),GADIDAE,GADIFORMES,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus,126445
BIB,27.8.c,TLW,ES,2011,1132.8,Trisopterus luscus,Pouting(=Bib),GADIDAE,GADIFORMES,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus,126445
BIB,27.8.c,TLW,ES,2010,645,Trisopterus luscus,Pouting(=Bib),GADIDAE,GADIFORMES,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus,126445
BIB,27.8.c,TLW,ES,2009,344.4,Trisopterus luscus,Pouting(=Bib),GADIDAE,GADIFORMES,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus,126445
