 ESPECIE ,STOCK ,ZONA CIEM ,TAC 2016 ,TAC 2017 ,TAC 2018 ,TAC 2019 ,TAC 2020 ,TAC 2021,SP
ANCHOA ,ANE/08 ,VIII ,29700 ,29700 ,29700 ,29700 ,28703 ,29700,Engraulis encrasicolus
ANCHOA ,ANE/9/3411 ,"IX, X, CPACO 3411 ",7174 ,5978 ,5978 ,,,,Engraulis encrasicolus
BROSMIO ,USK/567EI ,"V, VI, VII ",46 ,46 ,60 ,60 ,60 ,15,Brosme brosme
GALLOS ,LEZ/56-14 ,"Vb, VI, XII, XIV ",592 ,646 ,617 ,657 ,671 ,168,Lepidorhombus spp
GALLOS ,LEZ/07 ,VII ,5476 ,4107 ,3693 ,5440 ,5620 ,1405,Lepidorhombus spp
GALLOS ,LEZ/8ABDE ,"VIIIa, VIIIb, VIIId, VIIIe ",997 ,748 ,674 ,943 ,993 ,248,Lepidorhombus spp
GALLOS ,LEZ/8C3411 ,"VIIIc, IX, X, CPACO 3411 ",1258 ,1070 ,1280 ,1728 ,2144 ,1912,Lepidorhombus spp
RAPE ,ANF/56-14 ,"VI, Vb, XII, XIV ",245 ,294 ,353 ,440 ,307 ,77,Lophiidae
RAPE ,ANF/07 ,VII ,1231 ,1231 ,1231 ,1212 ,1296 ,324,Lophiidae
RAPE ,ANF/8ABDE ,"VIIIa, VIIIb, VIIId, VIIIe ",1368 ,1368 ,1368 ,1275 ,1372 ,343,Lophiidae
RAPE ,ANF/8C3411 ,"VIIIc, IX, X, CPACO 3411 ",2141 ,3296 ,3296 ,3472 ,3353 ,2934,Lophiidae
MERLÁN ,WHG/08 ,VIII ,1016 ,1016 ,1016 ,1016 ,1016 ,880,Merlangius merlangus
MERLUZA ,HKE/571214 ,"VI, VII, Vb, XII, XIV ",18248 ,19944 ,18434 ,23512 ,18667 ,4667,Merluccius merluccius
MERLUZA ,HKE/8ABDE ,"VIIIa, VIIIb, VIIId, VIIIe ",12429 ,13787 ,13065 ,16036 ,12995 ,3249,Merluccius merluccius
MERLUZA ,HKE/8C3411 ,"VIIIc, IX, X, CPACO 3411 ",6830 ,6732 ,5924 ,5924 ,5600 ,5320,Merluccius merluccius
BACALADILLA, WHB/1X14 ,"I, II, III, IV, V, VI VII,VIIIa, VIIIb, VIIId, VIIIe, XII, XIV ",26878 ,49865 ,51949 ,41383 ,42258 ,27468,Micromesistius australis
BACALADILLA, WHB/8C3411 ,"VIIIc, IX, X, CPACO 3411 ", 23931 ,41375 ,42778 ,35251 ,35806 ,8952,Micromesistius australis
