stockid,scientificname,commonname,year,TCbest,TBbest
ANCHIXa,Engraulis encrasicolus,Anchovy,1989,5940,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,1990,6490,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,1991,5920,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,1992,3170,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,1993,1980,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,1994,3390,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,1995,13000,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,1996,4590,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,1997,5300,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,1998,11000,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,1999,7410,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,2000,2500,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,2001,9100,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,2002,8810,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,2003,5270,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,2004,5840,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,2005,4510,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,2006,4490,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,2007,6450,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,2008,3510,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,2009,3010,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,2010,3210,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,2011,10100,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,2012,5590,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,2013,5630,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,2014,10200,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,2015,9420,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,2016,NA,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,2017,NA,NA
ANCHIXa,Engraulis encrasicolus,Anchovy,2018,NA,NA
ANCHOBAYB,Engraulis encrasicolus,Anchovy,1986,NA,NA
ANCHOBAYB,Engraulis encrasicolus,Anchovy,2017,26500,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,1980,2110,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,1981,2300,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,1982,2370,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,1983,2380,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,1984,1930,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,1985,1830,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,1986,2560,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,1987,3830,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,1988,3700,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,1989,2580,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,1990,2330,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,1991,2160,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,1992,2110,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,1993,2230,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,1994,1580,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,1995,1840,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,1996,1630,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,1997,1810,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,1998,2090,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,1999,1880,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,2000,1370,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,2001,1010,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,2002,810,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,2003,934,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,2004,993,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,2005,933,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,2006,1160,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,2007,1310,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,2008,957,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,2009,774,NA
ANGLVIIIc-IXa,Lophius budegassa,Black bellied angler,2010,754,NA
