"year","Galician_name","total_kg","total_euros","Spanish_name","FAO","Scientific_Name"
2022,"abadexo",314577.02,2172167.792,"Abadejo","POL","Pollachius pollachius"
2022,"acedía",17675.07,157180.034,NA,NA,NA
2022,"agulla",39734.9,59948.211,"Aguja","GAR","Belone belone"
2022,"alacha",15.65,12.4,"Sardinela","SIX","Sardinella spp"
2022,"alcrique",70835.2,64421.115,"Paparda","SAU","Scomberesox saurus"
2022,"alfóndega",29387.1,101058.78,"Bejel/rubio","GUU","Chelidonichthys lucerna"
2022,"alga parda",21060.85,11015.574,NA,NA,NA
2022,"algas verdes",85622.305,76286.67,NA,NA,NA
2022,"algas vermellas",9850.195,17396.996,NA,"SWR","Rhodophyceae"
2022,"ameixa babosa",334972.864999999,6438518.77900001,"Almeja babosa o chocha","CTS","Venerupis corrugata"
2022,"ameixa bicuda",1317.34,3831.497,"Almeja dorada o pirulo","VNA","Venerupis aurea"
2022,"ameixa fina",260748.011000001,7964100.54700002,"Almeja fina","CTG","Ruditapes decussatus"
2022,"ameixa rubia",143047.17,1991977.55199999,"Almeja rubia o roja","VNR","Venerupis rhomboides"
2022,"ameixa xaponesa",2262830.736,24778841.718,"Almeja japonesa","CLJ","Ruditapes philippinarum"
2022,"ameixón",28098.15,232188.334,NA,"KLK","Callista chione"
2022,"anguías",28751.285,561644.97,NA,NA,NA
2022,"argazo",156784.5,88865.5,NA,"LAZ","Laminariaceae"
2022,"atún amarelo",319,1734.54,"Rabil o atun de aleta amarilla","YFT","Thunnus albacares"
2022,"atún patudo",20103.75,117188.01,"Patudo o atun de ojo grande o patudo del Atlántico","BET","Thunnus obesus"
2022,"atún vermello",13635.5,165824.7,"Atún rojo o de aleta azul","BFT","Thunnus thynnus"
2022,"bacallao",20023.9,90132.68,"Bacalao","COD","Gadus morhua"
2022,"bacoreta",447,780.42,NA,"LTA","Euthynnus alletteratus"
2022,"barbada común",1413.3,11304.971,"Lota","GGU","Gaidropsarus vulgaris"
2022,"barbada de area",1485.185,7227.67200000001,"Bertorella","GGD","Gaidropsarus mediterraneus"
2022,"barbado de fondo",3,1.5,NA,NA,NA
2022,"berberecho",2299202.59,14626490.737,NA,"COC","Cerastoderma edule"
2022,"berete",3696.45,4895.623,"Rubio","CTZ","Chelidonichthys lastoviza"
2022,"bertorella barbada",84736.4,282820.39,"Mustela o brótola de barbas","BRD","Brotula barbata"
2022,"bertorella brava",6540.45,18664.148,"Mora","RIB","Mora moro"
