"year","Galician_name","total_kg","total_euros","Nombre comercial (1)","Nombre científico","Andalucía","Asturias","Baleares","Canarias","Cantabria","Cataluña","Valencia","Murcia","País Vasco","FAO"
2022,"abadexo",314577.02,2172167.792,"Abadejo","Pollachius pollachius",NA,"Ferrete",NA,NA,"Barriao o barrionda",NA,NA,NA,"Abadira","POL"
2022,"acedía",17675.07,157180.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"agulla",39734.9,59948.211,"Aguja","Belone belone","Agujeta","Chinfano","Agulla",NA,NA,"Agulla",NA,NA,"Akula","GAR"
2022,"alacha",15.65,12.4,"Sardinela","Sardinella spp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SIX"
2022,"alcrique",70835.2,64421.115,"Paparda","Scomberesox saurus","Algarín",NA,"Agullot, agulla tonyinera",NA,"Relanzon o salton o lanzon","Trumfau",NA,"Algarin o algarines","Botakarra","SAU"
2022,"alfóndega",29387.1,101058.78,"Bejel/rubio","Chelidonichthys lucerna",NA,"Golondro/golundru","Oriola, juliola","Rubio de hondura",NA,"Lluerna rosa","Lluerna",NA,"Perlon/perloi","GUU"
2022,"alga parda",21060.85,11015.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"algas verdes",85622.305,76286.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"algas vermellas",9850.195,17396.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"ameixa babosa",334972.864999999,6438518.77900001,"Almeja babosa o chocha","Venerupis corrugata","Madrealmeja",NA,NA,NA,NA,NA,NA,NA,NA,"CTS"
2022,"ameixa bicuda",1317.34,3831.497,"Almeja dorada o pirulo","Venerupis aurea",NA,NA,"Copinya o escopinya de llet",NA,NA,NA,NA,NA,NA,"VNA"
2022,"ameixa fina",260748.011000001,7964100.54700002,"Almeja fina","Ruditapes decussatus",NA,NA,"Copinya o escopinya llisa",NA,"Amayuela","Cloïssa",NA,"Almeja",NA,"CTG"
2022,"ameixa rubia",143047.17,1991977.55199999,"Almeja rubia o roja","Venerupis rhomboides","Almeja chocha",NA,NA,NA,NA,NA,NA,"Chocha",NA,"VNR"
2022,"ameixa xaponesa",2262830.736,24778841.718,"Almeja japonesa","Ruditapes philippinarum",NA,NA,"Copinya o escopinya del japó",NA,NA,NA,NA,NA,NA,"CLJ"
2022,"ameixón",28098.15,232188.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"anguías",28751.285,561644.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"argazo",156784.5,88865.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"atún amarelo",319,1734.54,"Rabil o atun de aleta amarilla","Thunnus albacares",NA,NA,"Tonyina groga","Rabil",NA,NA,NA,NA,"Errolflin","YFT"
2022,"atún patudo",20103.75,117188.01,"Patudo o atun de ojo grande o patudo del Atlántico","Thunnus obesus",NA,"Bonita/obeso",NA,"Tuna",NA,NA,NA,NA,"Begihandia/moja","BET"
2022,"atún vermello",13635.5,165824.7,"Atún rojo o de aleta azul","Thunnus thynnus",NA,"Bonita/zurdo","Tonyina",NA,"Cimarron","Tonyina vermella/tonyina roja","Tonyina",NA,"Hegalabur/zimarroia","BFT"
2022,"bacallao",20023.9,90132.68,"Bacalao","Gadus morhua",NA,NA,"Bacallà",NA,NA,"Bacallà","Bacallà",NA,"Bakailaoa","COD"
2022,"bacoreta",447,780.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"barbada común",1413.3,11304.971,"Lota","Gaidropsarus vulgaris",NA,NA,NA,NA,NA,"Fura de taques",NA,NA,NA,"GGU"
2022,"barbada de area",1485.185,7227.67200000001,"Bertorella","Gaidropsarus mediterraneus",NA,NA,"Mollereta",NA,NA,"Fura",NA,NA,NA,"GGD"
2022,"barbado de fondo",3,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"berberecho",2299202.59,14626490.737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"berete",3696.45,4895.623,"Rubio","Chelidonichthys lastoviza","Borracho",NA,"Rafalet","Rubio de poco agua",NA,"Borratxo",NA,NA,NA,"CTZ"
2022,"bertorella barbada",84736.4,282820.39,"Mustela o brótola de barbas","Brotula barbata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRD"
2022,"bertorella brava",6540.45,18664.148,"Mora","Mora moro",NA,"Farol/barbo","Mollera moranella","Merluza del país/jediondo",NA,"Moranella",NA,NA,"Lotxo","RIB"
