"year","scientificname","group","commonname","total_catch","total_biomass"
1905,"Squalus acanthias",3,"Spurdog",7250,344000
1906,"Squalus acanthias",3,"Spurdog",2200,342000
1907,"Squalus acanthias",3,"Spurdog",1430,342000
1908,"Pleuronectes platessa",3,"European Plaice",135,0
1908,"Solea solea",3,"Common sole",38,0
1908,"Squalus acanthias",3,"Spurdog",1410,341000
1909,"Pleuronectes platessa",3,"European Plaice",49,0
1909,"Solea solea",3,"Common sole",32,0
1909,"Squalus acanthias",3,"Spurdog",2020,341000
1910,"Pleuronectes platessa",3,"European Plaice",36,0
1910,"Solea solea",3,"Common sole",28,0
1910,"Squalus acanthias",3,"Spurdog",1560,341000
1911,"Gadus morhua",4,"Atlantic cod",0,0
1911,"Pleuronectes platessa",3,"European Plaice",56,0
1911,"Solea solea",3,"Common sole",23,0
1911,"Squalus acanthias",3,"Spurdog",1960,340000
1912,"Gadus morhua",4,"Atlantic cod",0,0
1912,"Pleuronectes platessa",3,"European Plaice",41,0
1912,"Solea solea",3,"Common sole",23,0
1912,"Squalus acanthias",3,"Spurdog",3200,340000
1913,"Gadus morhua",4,"Atlantic cod",0,0
1913,"Pleuronectes platessa",3,"European Plaice",54,0
1913,"Solea solea",3,"Common sole",26,0
1913,"Squalus acanthias",3,"Spurdog",4050,339000
1914,"Gadus morhua",4,"Atlantic cod",0,0
1914,"Pleuronectes platessa",3,"European Plaice",85,0
1914,"Solea solea",3,"Common sole",44,0
1914,"Squalus acanthias",3,"Spurdog",2640,338000
1915,"Gadus morhua",4,"Atlantic cod",0,0
1915,"Pleuronectes platessa",3,"European Plaice",24,0
1915,"Solea solea",3,"Common sole",13,0
1915,"Squalus acanthias",3,"Spurdog",2600,338000
1916,"Gadus morhua",4,"Atlantic cod",0,0
1916,"Pleuronectes platessa",3,"European Plaice",22,0
1916,"Solea solea",3,"Common sole",14,0
1916,"Squalus acanthias",3,"Spurdog",534,337000
1917,"Gadus morhua",4,"Atlantic cod",0,0
1917,"Pleuronectes platessa",3,"European Plaice",36,0
1917,"Solea solea",3,"Common sole",6,0
1917,"Squalus acanthias",3,"Spurdog",339,338000
1918,"Gadus morhua",4,"Atlantic cod",0,0
1918,"Pleuronectes platessa",3,"European Plaice",29,0
1918,"Solea solea",3,"Common sole",7,0
1918,"Squalus acanthias",3,"Spurdog",451,338000
1919,"Gadus morhua",4,"Atlantic cod",0,0
1919,"Pleuronectes platessa",3,"European Plaice",33,0
1919,"Solea solea",3,"Common sole",6,0
1919,"Squalus acanthias",3,"Spurdog",2660,338000
1920,"Gadus morhua",4,"Atlantic cod",0,0
1920,"Pleuronectes platessa",3,"European Plaice",40,0
1920,"Solea solea",3,"Common sole",14,0
1920,"Squalus acanthias",3,"Spurdog",4400,338000
1921,"Gadus morhua",4,"Atlantic cod",0,0
1921,"Pleuronectes platessa",3,"European Plaice",43,0
1921,"Solea solea",3,"Common sole",19,0
1921,"Squalus acanthias",3,"Spurdog",5320,337000
1922,"Gadus morhua",4,"Atlantic cod",0,0
1922,"Pleuronectes platessa",3,"European Plaice",38,0
1922,"Solea solea",3,"Common sole",13,0
1922,"Squalus acanthias",3,"Spurdog",5400,336000
1923,"Gadus morhua",4,"Atlantic cod",0,0
1923,"Pleuronectes platessa",3,"European Plaice",31,0
1923,"Solea solea",3,"Common sole",12,0
1923,"Squalus acanthias",3,"Spurdog",5660,335000
1924,"Gadus morhua",4,"Atlantic cod",0,0
1924,"Pleuronectes platessa",3,"European Plaice",170,0
1924,"Solea solea",3,"Common sole",79,0
1924,"Squalus acanthias",3,"Spurdog",6360,334000
1925,"Gadus morhua",4,"Atlantic cod",0,0
1925,"Pleuronectes platessa",3,"European Plaice",33,0
1925,"Solea solea",3,"Common sole",29,0
1925,"Squalus acanthias",3,"Spurdog",6720,333000
1926,"Gadus morhua",4,"Atlantic cod",0,0
1926,"Lamna nasus",3,"Porbeagle shark",279,0
1926,"Pleuronectes platessa",3,"European Plaice",65,0
1926,"Solea solea",3,"Common sole",35,0
1926,"Squalus acanthias",3,"Spurdog",7280,331000
1927,"Gadus morhua",4,"Atlantic cod",0,0
1927,"Lamna nasus",3,"Porbeagle shark",457,0
1927,"Pleuronectes platessa",3,"European Plaice",185,0
1927,"Solea solea",3,"Common sole",77,0
1927,"Squalus acanthias",3,"Spurdog",8400,330000
1928,"Gadus morhua",4,"Atlantic cod",0,0
1928,"Lamna nasus",3,"Porbeagle shark",611,0
1928,"Pleuronectes platessa",3,"European Plaice",82,0
1928,"Solea solea",3,"Common sole",73,0
1928,"Squalus acanthias",3,"Spurdog",9520,328000
1929,"Gadus morhua",4,"Atlantic cod",0,0
1929,"Lamna nasus",3,"Porbeagle shark",832,0
1929,"Pleuronectes platessa",3,"European Plaice",318,0
1929,"Solea solea",3,"Common sole",103,0
1929,"Squalus acanthias",3,"Spurdog",9320,326000
1930,"Gadus morhua",4,"Atlantic cod",0,0
1930,"Lamna nasus",3,"Porbeagle shark",1510,0
