"year","scientificname","commonname","total_catch","total_biomass"
1905,"Squalus acanthias","Spurdog",7250,344000
1906,"Squalus acanthias","Spurdog",2200,342000
1907,"Squalus acanthias","Spurdog",1430,342000
1908,"Pleuronectes platessa","European Plaice",135,0
1908,"Solea solea","Common sole",38,0
1908,"Squalus acanthias","Spurdog",1410,341000
1909,"Pleuronectes platessa","European Plaice",49,0
1909,"Solea solea","Common sole",32,0
1909,"Squalus acanthias","Spurdog",2020,341000
1910,"Pleuronectes platessa","European Plaice",36,0
1910,"Solea solea","Common sole",28,0
1910,"Squalus acanthias","Spurdog",1560,341000
1911,"Gadus morhua","Atlantic cod",0,0
1911,"Pleuronectes platessa","European Plaice",56,0
1911,"Solea solea","Common sole",23,0
1911,"Squalus acanthias","Spurdog",1960,340000
1912,"Gadus morhua","Atlantic cod",0,0
1912,"Pleuronectes platessa","European Plaice",41,0
1912,"Solea solea","Common sole",23,0
1912,"Squalus acanthias","Spurdog",3200,340000
1913,"Gadus morhua","Atlantic cod",0,0
1913,"Pleuronectes platessa","European Plaice",54,0
1913,"Solea solea","Common sole",26,0
1913,"Squalus acanthias","Spurdog",4050,339000
1914,"Gadus morhua","Atlantic cod",0,0
1914,"Pleuronectes platessa","European Plaice",85,0
1914,"Solea solea","Common sole",44,0
1914,"Squalus acanthias","Spurdog",2640,338000
1915,"Gadus morhua","Atlantic cod",0,0
1915,"Pleuronectes platessa","European Plaice",24,0
1915,"Solea solea","Common sole",13,0
1915,"Squalus acanthias","Spurdog",2600,338000
1916,"Gadus morhua","Atlantic cod",0,0
1916,"Pleuronectes platessa","European Plaice",22,0
1916,"Solea solea","Common sole",14,0
1916,"Squalus acanthias","Spurdog",534,337000
1917,"Gadus morhua","Atlantic cod",0,0
1917,"Pleuronectes platessa","European Plaice",36,0
1917,"Solea solea","Common sole",6,0
1917,"Squalus acanthias","Spurdog",339,338000
1918,"Gadus morhua","Atlantic cod",0,0
1918,"Pleuronectes platessa","European Plaice",29,0
1918,"Solea solea","Common sole",7,0
1918,"Squalus acanthias","Spurdog",451,338000
1919,"Gadus morhua","Atlantic cod",0,0
1919,"Pleuronectes platessa","European Plaice",33,0
1919,"Solea solea","Common sole",6,0
1919,"Squalus acanthias","Spurdog",2660,338000
1920,"Gadus morhua","Atlantic cod",0,0
1920,"Pleuronectes platessa","European Plaice",40,0
1920,"Solea solea","Common sole",14,0
1920,"Squalus acanthias","Spurdog",4400,338000
1921,"Gadus morhua","Atlantic cod",0,0
1921,"Pleuronectes platessa","European Plaice",43,0
1921,"Solea solea","Common sole",19,0
1921,"Squalus acanthias","Spurdog",5320,337000
1922,"Gadus morhua","Atlantic cod",0,0
1922,"Pleuronectes platessa","European Plaice",38,0
1922,"Solea solea","Common sole",13,0
1922,"Squalus acanthias","Spurdog",5400,336000
1923,"Gadus morhua","Atlantic cod",0,0
1923,"Pleuronectes platessa","European Plaice",31,0
1923,"Solea solea","Common sole",12,0
1923,"Squalus acanthias","Spurdog",5660,335000
1924,"Gadus morhua","Atlantic cod",0,0
1924,"Pleuronectes platessa","European Plaice",170,0
1924,"Solea solea","Common sole",79,0
1924,"Squalus acanthias","Spurdog",6360,334000
1925,"Gadus morhua","Atlantic cod",0,0
1925,"Pleuronectes platessa","European Plaice",33,0
1925,"Solea solea","Common sole",29,0
1925,"Squalus acanthias","Spurdog",6720,333000
1926,"Gadus morhua","Atlantic cod",0,0
1926,"Lamna nasus","Porbeagle shark",279,0
1926,"Pleuronectes platessa","European Plaice",65,0
1926,"Solea solea","Common sole",35,0
1926,"Squalus acanthias","Spurdog",7280,331000
1927,"Gadus morhua","Atlantic cod",0,0
1927,"Lamna nasus","Porbeagle shark",457,0
1927,"Pleuronectes platessa","European Plaice",185,0
1927,"Solea solea","Common sole",77,0
1927,"Squalus acanthias","Spurdog",8400,330000
1928,"Gadus morhua","Atlantic cod",0,0
1928,"Lamna nasus","Porbeagle shark",611,0
1928,"Pleuronectes platessa","European Plaice",82,0
1928,"Solea solea","Common sole",73,0
1928,"Squalus acanthias","Spurdog",9520,328000
1929,"Gadus morhua","Atlantic cod",0,0
1929,"Lamna nasus","Porbeagle shark",832,0
1929,"Pleuronectes platessa","European Plaice",318,0
1929,"Solea solea","Common sole",103,0
1929,"Squalus acanthias","Spurdog",9320,326000
1930,"Gadus morhua","Atlantic cod",0,0
1930,"Lamna nasus","Porbeagle shark",1510,0
1930,"Pleuronectes platessa","European Plaice",146,0
1930,"Solea solea","Common sole",79,0
1930,"Squalus acanthias","Spurdog",11900,325000
1931,"Gadus morhua","Atlantic cod",0,0
1931,"Lamna nasus","Porbeagle shark",1110,0
1931,"Pleuronectes platessa","European Plaice",304,0
1931,"Solea solea","Common sole",120,0
1931,"Squalus acanthias","Spurdog",11800,322000
1932,"Gadus morhua","Atlantic cod",0,0
1932,"Lamna nasus","Porbeagle shark",1600,0
1932,"Pleuronectes platessa","European Plaice",506,0
1932,"Solea solea","Common sole",159,0
1932,"Squalus acanthias","Spurdog",16700,320000
1933,"Gadus morhua","Atlantic cod",0,0
1933,"Lamna nasus","Porbeagle shark",3880,0
1933,"Pleuronectes platessa","European Plaice",653,0
1933,"Solea solea","Common sole",431,0
1933,"Squalus acanthias","Spurdog",20200,317000
1934,"Gadus morhua","Atlantic cod",0,0
1934,"Lamna nasus","Porbeagle shark",3630,0
1934,"Pleuronectes platessa","European Plaice",470,0
1934,"Solea solea","Common sole",240,0
1934,"Squalus acanthias","Spurdog",20400,313000
1935,"Gadus morhua","Atlantic cod",0,0
1935,"Lamna nasus","Porbeagle shark",1990,0
1935,"Pleuronectes platessa","European Plaice",300,0
1935,"Reinhardtius hippoglossoides","Greenland halibut",1530,0
1935,"Solea solea","Common sole",58,0
1935,"Squalus acanthias","Spurdog",22300,309000
1936,"Gadus morhua","Atlantic cod",0,0
1936,"Lamna nasus","Porbeagle shark",2460,0
1936,"Pleuronectes platessa","European Plaice",349,0
1936,"Reinhardtius hippoglossoides","Greenland halibut",830,0
1936,"Solea solea","Common sole",72,0
1936,"Squalus acanthias","Spurdog",20900,304000
1937,"Gadus morhua","Atlantic cod",0,0
1937,"Lamna nasus","Porbeagle shark",2810,0
1937,"Pleuronectes platessa","European Plaice",326,0
1937,"Reinhardtius hippoglossoides","Greenland halibut",616,0
1937,"Solea solea","Common sole",71,0
1937,"Squalus acanthias","Spurdog",23900,3e+05
1938,"Gadus morhua","Atlantic cod",0,0
1938,"Lamna nasus","Porbeagle shark",2730,0
1938,"Pleuronectes platessa","European Plaice",404,0
1938,"Reinhardtius hippoglossoides","Greenland halibut",329,0
1938,"Solea solea","Common sole",72,0
1938,"Squalus acanthias","Spurdog",18200,296000
1939,"Gadus morhua","Atlantic cod",0,0
1939,"Lamna nasus","Porbeagle shark",2210,0
1939,"Pleuronectes platessa","European Plaice",24,0
1939,"Reinhardtius hippoglossoides","Greenland halibut",459,0
1939,"Solea solea","Common sole",13,0
1939,"Squalus acanthias","Spurdog",20100,293000
1940,"Gadus morhua","Atlantic cod",0,0
1940,"Lamna nasus","Porbeagle shark",104,0
1940,"Pleuronectes platessa","European Plaice",47,0
1940,"Reinhardtius hippoglossoides","Greenland halibut",846,0
1940,"Solea solea","Common sole",19,0
1940,"Squalus acanthias","Spurdog",9430,290000
1941,"Gadus morhua","Atlantic cod",0,0
1941,"Lamna nasus","Porbeagle shark",283,0
1941,"Pleuronectes platessa","European Plaice",43,0
1941,"Reinhardtius hippoglossoides","Greenland halibut",1660,0
1941,"Solea solea","Common sole",14,0
1941,"Squalus acanthias","Spurdog",8740,289000
1942,"Gadus morhua","Atlantic cod",0,0
1942,"Lamna nasus","Porbeagle shark",288,0
1942,"Pleuronectes platessa","European Plaice",41,0
1942,"Reinhardtius hippoglossoides","Greenland halibut",955,0
1942,"Solea solea","Common sole",8,0
1942,"Squalus acanthias","Spurdog",10600,289000
1943,"Gadus morhua","Atlantic cod",0,0
1943,"Lamna nasus","Porbeagle shark",351,0
1943,"Pleuronectes platessa","European Plaice",29,0
1943,"Reinhardtius hippoglossoides","Greenland halibut",824,0
1943,"Solea solea","Common sole",11,0
1943,"Squalus acanthias","Spurdog",8180,289000
1944,"Gadus morhua","Atlantic cod",0,0
1944,"Lamna nasus","Porbeagle shark",321,0
1944,"Pleuronectes platessa","European Plaice",42,0
1944,"Reinhardtius hippoglossoides","Greenland halibut",678,0
1944,"Solea solea","Common sole",16,0
1944,"Squalus acanthias","Spurdog",8150,290000
1945,"Gadus morhua","Atlantic cod",0,0
1945,"Lamna nasus","Porbeagle shark",927,0
1945,"Pleuronectes platessa","European Plaice",30,0
1945,"Reinhardtius hippoglossoides","Greenland halibut",1150,0
1945,"Solea solea","Common sole",20,0
1945,"Squalus acanthias","Spurdog",6780,290000
1946,"Gadus morhua","Atlantic cod",706000,4200000
1946,"Lamna nasus","Porbeagle shark",2490,0
1946,"Pleuronectes platessa","European Plaice",37,0
1946,"Reinhardtius hippoglossoides","Greenland halibut",1360,0
1946,"Solea solea","Common sole",22,0
1946,"Squalus acanthias","Spurdog",10900,292000
1947,"Clupea harengus","Herring",582000,9670000
1947,"Gadus morhua","Atlantic cod",882000,3640000
1947,"Lamna nasus","Porbeagle shark",6120,0
1947,"Melanogrammus aeglefinus","Haddock",0,0
1947,"Pleuronectes platessa","European Plaice",50,0
1947,"Reinhardtius hippoglossoides","Greenland halibut",1440,0
1947,"Solea solea","Common sole",29,0
1947,"Squalus acanthias","Spurdog",16900,292000
1948,"Clupea harengus","Herring",502000,8450000
1948,"Gadus morhua","Atlantic cod",774000,3520000
1948,"Lamna nasus","Porbeagle shark",4010,0
1948,"Melanogrammus aeglefinus","Haddock",0,0
1948,"Pagellus bogaraveo","Red seabream",456,0
1948,"Pleuronectes platessa","European Plaice",55,0
1948,"Reinhardtius hippoglossoides","Greenland halibut",1990,0
1948,"Solea solea","Common sole",25,0
1948,"Squalus acanthias","Spurdog",19500,290000
1949,"Clupea harengus","Herring",509000,8250000
1949,"Gadus morhua","Atlantic cod",8e+05,3010000
1949,"Lamna nasus","Porbeagle shark",2950,0
1949,"Melanogrammus aeglefinus","Haddock",0,0
1949,"Pagellus bogaraveo","Red seabream",556,0
1949,"Pleuronectes platessa","European Plaice",83,0
1949,"Reinhardtius hippoglossoides","Greenland halibut",375,0
1949,"Solea solea","Common sole",65,0
1949,"Squalus acanthias","Spurdog",23000,288000
1950,"Clupea harengus","Herring",492000,8220000
1950,"Gadus morhua","Atlantic cod",732000,2830000
1950,"Lamna nasus","Porbeagle shark",3260,0
1950,"Melanogrammus aeglefinus","Haddock",132000,382000
1950,"Pagellus bogaraveo","Red seabream",8830,0
1950,"Pleuronectes platessa","European Plaice",347,0
1950,"Reinhardtius hippoglossoides","Greenland halibut",2070,0
1950,"Scophthalmus rhombus","Brill",0,0
1950,"Solea solea","Common sole",39,0
1950,"Squalus acanthias","Spurdog",24800,285000
1951,"Clupea harengus","Herring",6e+05,8440000
1951,"Gadus morhua","Atlantic cod",827000,3650000
1951,"Lamna nasus","Porbeagle shark",2380,0
1951,"Melanogrammus aeglefinus","Haddock",120000,430000
1951,"Pagellus bogaraveo","Red seabream",348,0
1951,"Pleuronectes platessa","European Plaice",143,0
1951,"Reinhardtius hippoglossoides","Greenland halibut",2860,0
1951,"Scophthalmus rhombus","Brill",0,0
1951,"Solea solea","Common sole",40,0
1951,"Squalus acanthias","Spurdog",35300,282000
1952,"Clupea harengus","Herring",664000,8220000
1952,"Gadus morhua","Atlantic cod",994000,4050000
1952,"Lamna nasus","Porbeagle shark",2210,0
1952,"Melanogrammus aeglefinus","Haddock",128000,423000
1952,"Pagellus bogaraveo","Red seabream",903,0
1952,"Pleuronectes platessa","European Plaice",184,0
1952,"Reinhardtius hippoglossoides","Greenland halibut",2950,0
1952,"Scophthalmus rhombus","Brill",0,0
1952,"Solea solea","Common sole",48,0
1952,"Squalus acanthias","Spurdog",40600,275000
1953,"Clupea harengus","Herring",699000,7870000
1953,"Gadus morhua","Atlantic cod",942100,4120000
1953,"Lamna nasus","Porbeagle shark",1820,0
1953,"Melanogrammus aeglefinus","Haddock",132530,684000
1953,"Pagellus bogaraveo","Red seabream",743,0
1953,"Pleuronectes platessa","European Plaice",396,0
1953,"Reinhardtius hippoglossoides","Greenland halibut",2600,0
1953,"Scophthalmus rhombus","Brill",0,0
1953,"Solea solea","Common sole",105,0
1953,"Squalus acanthias","Spurdog",38200,268000
1954,"Clupea harengus","Herring",763000,7640000
1954,"Gadus morhua","Atlantic cod",1227000,4260000
1954,"Lamna nasus","Porbeagle shark",1250,0
1954,"Melanogrammus aeglefinus","Haddock",182700,756000
1954,"Pagellus bogaraveo","Red seabream",367,0
1954,"Pleuronectes platessa","European Plaice",350,0
1954,"Reinhardtius hippoglossoides","Greenland halibut",4090,0
1954,"Scophthalmus rhombus","Brill",0,0
1954,"Solea solea","Common sole",124,0
1954,"Squalus acanthias","Spurdog",40600,261000
1955,"Clupea harengus","Herring",806000,7160000
1955,"Gadus morhua","Atlantic cod",2050000,5910000
1955,"Hippoglossoides platessoides","American Plaice",0,0
1955,"Lamna nasus","Porbeagle shark",1480,0
1955,"Melanogrammus aeglefinus","Haddock",246300,729000
1955,"Pagellus bogaraveo","Red seabream",400,0
1955,"Pleuronectes platessa","European Plaice",210,0
1955,"Reinhardtius hippoglossoides","Greenland halibut",3300,0
1955,"Scophthalmus rhombus","Brill",0,0
1955,"Solea solea","Common sole",76,0
1955,"Squalus acanthias","Spurdog",43100,254000
1956,"Clupea harengus","Herring",675000,6460000
1956,"Gadus morhua","Atlantic cod",2188400,5400000
1956,"Hippoglossoides platessoides","American Plaice",0,0
1956,"Lamna nasus","Porbeagle shark",1320,0
1956,"Melanogrammus aeglefinus","Haddock",264400,625000
1956,"Pagellus bogaraveo","Red seabream",613,0
1956,"Pleuronectes platessa","European Plaice",239,0
1956,"Reinhardtius hippoglossoides","Greenland halibut",3940,0
1956,"Scophthalmus rhombus","Brill",0,0
1956,"Solea solea","Common sole",168,0
1956,"Squalus acanthias","Spurdog",47000,246000
1957,"Clupea harengus","Herring",774900,7547000
1957,"Gadus morhua","Atlantic cod",1563300,4690000
1957,"Hippoglossoides platessoides","American Plaice",0,0
1957,"Lamna nasus","Porbeagle shark",1660,0
1957,"Melanogrammus aeglefinus","Haddock",203400,520900
1957,"Pagellus bogaraveo","Red seabream",771,0
1957,"Pleuronectes platessa","European Plaice",78541,402000
1957,"Pollachius virens","Pollock",0,0
1957,"Reinhardtius hippoglossoides","Greenland halibut",4640,0
1957,"Scophthalmus rhombus","Brill",0,0
1957,"Solea solea","Common sole",12199,71600
1957,"Squalus acanthias","Spurdog",45600,238000
1958,"Clupea harengus","Herring",820200,7872000
1958,"Gadus morhua","Atlantic cod",1592500,4280000
1958,"Hippoglossoides platessoides","American Plaice",0,0
1958,"Lamna nasus","Porbeagle shark",1740,0
1958,"Melanogrammus aeglefinus","Haddock",176900,398400
1958,"Pagellus bogaraveo","Red seabream",551,0
1958,"Pleuronectes platessa","European Plaice",88475,421000
1958,"Pollachius virens","Pollock",0,0
1958,"Reinhardtius hippoglossoides","Greenland halibut",4190,0
1958,"Scophthalmus rhombus","Brill",0,0
1958,"Solea solea","Common sole",14471,77100
1958,"Squalus acanthias","Spurdog",50400,230000
1959,"Clupea harengus","Herring",935700,8588000
1959,"Gadus morhua","Atlantic cod",1482400,4645500
1959,"Hippoglossoides platessoides","American Plaice",0,0
1959,"Lamna nasus","Porbeagle shark",1760,0
1959,"Melanogrammus aeglefinus","Haddock",136700,419300
1959,"Pagellus bogaraveo","Red seabream",542,0
1959,"Pleuronectes platessa","European Plaice",109451,457000
1959,"Pollachius virens","Pollock",0,0
1959,"Reinhardtius hippoglossoides","Greenland halibut",7940,0
1959,"Scophthalmus rhombus","Brill",0,0
1959,"Sebastes spp","Redfish species",44600,2e+05
1959,"Solea solea","Common sole",14136,87000
1959,"Squalus acanthias","Spurdog",47400,221000
1960,"Amblyraja radiata","Thorny skate",84,0
1960,"Clupea harengus","Herring",847300,7180000
1960,"Gadus morhua","Atlantic cod",1418000,4246300
1960,"Hippoglossoides platessoides","American Plaice",21716,384000
1960,"Lamna nasus","Porbeagle shark",2300,0
1960,"Limanda ferruginea","Yellowtail Flounder",7,0
1960,"Melanogrammus aeglefinus","Haddock",242800,513400
1960,"Nephrops norvegicus","Norway lobster",392,0
1960,"Pagellus bogaraveo","Red seabream",13900,0
1960,"Pleuronectes platessa","European Plaice",117246,486000
1960,"Pollachius virens","Pollock",134000,687000
1960,"Reinhardtius hippoglossoides","Greenland halibut",11660,0
1960,"Scophthalmus maximus","Turbot",174,0
1960,"Scophthalmus rhombus","Brill",0,0
1960,"Sebastes spp","Redfish species",26600,177000
1960,"Solea solea","Common sole",18690,98100
1960,"Sprattus sprattus","Sprat",5,0
1960,"Squalus acanthias","Spurdog",54000,214000
1960,"Urophycis tenuis","White hake",1320,0
1961,"Amblyraja radiata","Thorny skate",136,0
1961,"Clupea harengus","Herring",811300,7282000
1961,"Gadus morhua","Atlantic cod",1569600,3957900
1961,"Hippoglossoides platessoides","American Plaice",18680,408000
1961,"Lamna nasus","Porbeagle shark",1490,0
1961,"Limanda ferruginea","Yellowtail Flounder",100,0
1961,"Melanogrammus aeglefinus","Haddock",290200,498400
1961,"Merlangius merlangus","Whiting",78,0
1961,"Nephrops norvegicus","Norway lobster",1780,0
1961,"Pagellus bogaraveo","Red seabream",8300,0
1961,"Pleuronectes platessa","European Plaice",118212,499000
1961,"Pollachius virens","Pollock",115590,762000
1961,"Reinhardtius hippoglossoides","Greenland halibut",41541,0
1961,"Scophthalmus maximus","Turbot",179,0
1961,"Scophthalmus rhombus","Brill",0,0
1961,"Sebastes spp","Redfish species",23200,173000
1961,"Solea solea","Common sole",23723,107000
1961,"Sprattus sprattus","Sprat",1460,0
1961,"Squalus acanthias","Spurdog",57700,205000
1961,"Urophycis tenuis","White hake",335,0
1962,"Amblyraja radiata","Thorny skate",110,0
1962,"Clupea harengus","Herring",773400,7039000
1962,"Gadus morhua","Atlantic cod",1772900,3721100
1962,"Hippoglossoides platessoides","American Plaice",16921,423000
1962,"Lamna nasus","Porbeagle shark",775,0
1962,"Limanda ferruginea","Yellowtail Flounder",67,0
1962,"Melanogrammus aeglefinus","Haddock",247500,479000
1962,"Merlangius merlangus","Whiting",111,0
1962,"Nephrops norvegicus","Norway lobster",1760,0
1962,"Pagellus bogaraveo","Red seabream",9640,0
1962,"Pleuronectes platessa","European Plaice",125281,576000
1962,"Pollachius virens","Pollock",131500,829000
1962,"Reinhardtius hippoglossoides","Greenland halibut",3083986,0
1962,"Scophthalmus maximus","Turbot",162,0
1962,"Scophthalmus rhombus","Brill",0,0
1962,"Sebastes spp","Redfish species",21400,174000
1962,"Solea solea","Common sole",27008,91100
1962,"Sprattus sprattus","Sprat",2330,0
1962,"Squalus acanthias","Spurdog",57300,196000
1962,"Urophycis tenuis","White hake",1870,0
1963,"Amblyraja radiata","Thorny skate",123,0
1963,"Clupea harengus","Herring",836400,7581000
1963,"Gadus morhua","Atlantic cod",1810100,3816900
1963,"Hippoglossoides platessoides","American Plaice",25879,451000
1963,"Lamna nasus","Porbeagle shark",314,0
1963,"Limanda ferruginea","Yellowtail Flounder",518,0
1963,"Melanogrammus aeglefinus","Haddock",185800,455000
1963,"Merlangius merlangus","Whiting",92,0
1963,"Nephrops norvegicus","Norway lobster",2840,0
1963,"Pagellus bogaraveo","Red seabream",6900,0
1963,"Pleuronectes platessa","European Plaice",148540,534000
1963,"Pollachius virens","Pollock",161700,957000
1963,"Reinhardtius hippoglossoides","Greenland halibut",4295276,0
1963,"Scophthalmus maximus","Turbot",128,0
1963,"Scophthalmus rhombus","Brill",0,0
1963,"Sebastes spp","Redfish species",27400,175000
1963,"Solea solea","Common sole",26391,71900
1963,"Sprattus sprattus","Sprat",1730,0
1963,"Squalus acanthias","Spurdog",62300,187000
1963,"Urophycis tenuis","White hake",257,0
1964,"Amblyraja radiata","Thorny skate",290,0
1964,"Clupea harengus","Herring",1016200,7552000
1964,"Gadus morhua","Atlantic cod",1451500,3395300
1964,"Hippoglossoides platessoides","American Plaice",40480,499000
1964,"Lamna nasus","Porbeagle shark",316,0
1964,"Limanda ferruginea","Yellowtail Flounder",147,0
1964,"Melanogrammus aeglefinus","Haddock",127350,454500
1964,"Merlangius merlangus","Whiting",81,0
1964,"Nephrops norvegicus","Norway lobster",2480,0
1964,"Pagellus bogaraveo","Red seabream",6590,0
1964,"Pleuronectes platessa","European Plaice",148495,549000
1964,"Pollachius virens","Pollock",218900,956000
1964,"Reinhardtius hippoglossoides","Greenland halibut",4792160,0
1964,"Scophthalmus maximus","Turbot",94,0
1964,"Scophthalmus rhombus","Brill",0,0
1964,"Sebastes spp","Redfish species",10300,171000
1964,"Solea solea","Common sole",11484,68000
1964,"Sprattus sprattus","Sprat",5260,0
1964,"Squalus acanthias","Spurdog",60100,178000
1964,"Urophycis tenuis","White hake",251,0
1965,"Amblyraja radiata","Thorny skate",301,0
1965,"Clupea harengus","Herring",1334500,7786000
1965,"Gadus morhua","Atlantic cod",1678540,3317200
