"scientificname","common_names","count","groups_involved"
"solea solea","LENGUADO COMÚN , LENGUADOS ",8,"1, 2, 3, 5"
"dicentrarchus labrax","NA",3,"1, 2, 3"
"leucoraja naevus","NA",3,"1, 3, 5"
"merlangius merlangus","MERLÁN ",3,"1, 3, 5"
"nephrops norvegicus","Cigala",3,"2, 3, 5"
"pleuronectes platessa","SOLLA",3,"1, 3, 5"
"raja brachyura","NA",3,"1, 3, 5"
"raja clavata","NA",3,"1, 3, 5"
"sardina pilchardus","NA",3,"1, 2, 3"
"scyliorhinus canicula","NA",3,"1, 2, 3"
"argentina silus","NA",2,"3, 5"
"brosme brosme","BROSMIO ",2,"3, 5"
"clupea harengus","NA",2,"3, 5"
"coryphaenoides rupestris","NA",2,"3, 5"
"engraulis encrasicolus","ANCHOA ",2,"1, 3"
"gadus morhua","NA",2,"3, 5"
"galeus melastomus","NA",2,"1, 3"
"lepidorhombus whiffiagonis","NA",2,"1, 2"
"lophius budegassa","NA",2,"1, 2"
"lophius piscatorius","NA",2,"1, 2"
"melanogrammus aeglefinus","NA",2,"3, 5"
"merluccius merluccius","MERLUZA ",2,"1, 2"
"molva dypterygia","MARUCA AZUL",2,"3, 5"
"molva molva","MARUCA",2,"3, 5"
"mullus surmuletus","NA",2,"1, 3"
"pagellus bogaraveo","NA",2,"3, 5"
"pollachius pollachius","ABADEJO",2,"1, 5"
"raja montagui","NA",2,"1, 3"
"raja undulata","RAYA MOSAICO ",2,"2, 3"
"scophthalmus rhombus","NA",2,"3, 5"
"sprattus sprattus","NA",2,"3, 5"
"trachurus trachurus","JUREL",2,"1, 3"
"amblyraja radiata","NA",1,"5"
"ammodytes spp","NA",1,"5"
"aphanopus carbo","NA",1,"3"
"beryx spp","NA",1,"3"
"capros aper","NA",1,"3"
"centrophorus squamosus","NA",1,"3"
"cetorhinus maximus","NA",1,"3"
"chelidonichthys cuculus","NA",1,"3"
"dalatias licha","NA",1,"3"
"eutrigla gurnardus","NA",1,"3"
"galeorhinus galeus","NA",1,"3"
"glyptocephalus cynoglossus","NA",1,"3"
"hoplostethus atlanticus","NA",1,"3"
"lamna nasus","NA",1,"3"
"lepidorhombus boscii","NA",1,"1"
"lepidorhombus spp","GALLOS ",1,"5"
"leucoraja circularis","NA",1,"3"
"leucoraja fullonica","NA",1,"3"
"limanda limanda","NA",1,"5"
"macrourus berglax","NA",1,"3"
"mallotus villosus","NA",1,"5"
"micromesistius poutassou","NA",1,"3"
"microstomus kitt","NA",1,"3"
"mustelus spp","NA",1,"3"
"pandalus borealis","NA",1,"5"
"phycis blennoides","NA",1,"3"
"platichthys flesus","NA",1,"5"
"pollachius virens","NA",1,"5"
"raja microocellata","RAYA DE OJOS ",1,"3"
"reinhardtius hippoglossoides"," FLETÁN NEGRO ",1,"5"
"salmo trutta","NA",1,"5"
"scomber scombrus","CABALLA",1,"2"
"scophthalmus maximus","NA",1,"5"
"sebastes mentella","NA",1,"5"
"sebastes norvegicus","NA",1,"5"
"squalus acanthias","MIELGA O GALLUDO ",1,"3"
"squatina squatina","NA",1,"3"
"trachurus picturatus","NA",1,"5"
"trisopterus esmarkii","NA",1,"5"
