"year","scientificname","total_tons"
2003,"amblyraja radiata",564149
2003,"ammodytes spp",1373404
2003,"argentina silus",486192
2003,"brosme brosme",658960
2003,"clupea harengus",1132054
2003,"coryphaenoides rupestris",330700
2003,"gadus morhua",2141256
2003,"lepidorhombus spp",345666
2003,"leucoraja naevus",564143
2003,"limanda limanda",345762
2003,"mallotus villosus",324070
2003,"melanogrammus aeglefinus",823720
2003,"merlangius merlangus",494274
2003,"molva dypterygia",164761
2003,"molva molva",494280
2003,"nephrops norvegicus",2432925
2003,"pagellus bogaraveo",338424
2003,"pandalus borealis",290901
2003,"platichthys flesus",864470
2003,"pleuronectes platessa",518706
2003,"pollachius pollachius",164728
2003,"pollachius virens",658908
2003,"reinhardtius hippoglossoides",345860
2003,"salmo trutta",161997
2003,"scophthalmus maximus",518244
2003,"scophthalmus rhombus",172749
2003,"sebastes mentella",833780
2003,"sebastes norvegicus",333562
2003,"solea solea",346004
2003,"sprattus sprattus",485367
2003,"trachurus picturatus",168593
2003,"trisopterus esmarkii",329512
2004,"amblyraja radiata",564149
2004,"ammodytes spp",1373404
2004,"argentina silus",486192
2004,"brosme brosme",658960
2004,"clupea harengus",1132054
2004,"coryphaenoides rupestris",330700
2004,"gadus morhua",2141256
2004,"lepidorhombus spp",345666
2004,"leucoraja naevus",564143
2004,"limanda limanda",345762
2004,"mallotus villosus",324070
2004,"melanogrammus aeglefinus",823720
2004,"merlangius merlangus",494274
2004,"molva dypterygia",164761
2004,"molva molva",494280
2004,"nephrops norvegicus",2432925
2004,"pagellus bogaraveo",338424
2004,"pandalus borealis",290901
2004,"platichthys flesus",864470
2004,"pleuronectes platessa",518706
2004,"pollachius pollachius",164728
2004,"pollachius virens",658908
2004,"reinhardtius hippoglossoides",345860
2004,"salmo trutta",161997
2004,"scophthalmus maximus",518244
2004,"scophthalmus rhombus",172749
2004,"sebastes mentella",833780
2004,"sebastes norvegicus",333562
2004,"solea solea",346004
2004,"sprattus sprattus",485367
2004,"trachurus picturatus",168593
2004,"trisopterus esmarkii",329512
2005,"amblyraja radiata",564149
2005,"ammodytes spp",1373404
2005,"argentina silus",486192
2005,"brosme brosme",658960
2005,"clupea harengus",1132054
2005,"coryphaenoides rupestris",330700
2005,"gadus morhua",2141256
2005,"lepidorhombus spp",345666
2005,"leucoraja naevus",564143
2005,"limanda limanda",345762
2005,"mallotus villosus",324070
2005,"melanogrammus aeglefinus",823720
2005,"merlangius merlangus",494274
2005,"molva dypterygia",164761
2005,"molva molva",494280
2005,"nephrops norvegicus",2432925
2005,"pagellus bogaraveo",338424
2005,"pandalus borealis",290901
2005,"platichthys flesus",864470
2005,"pleuronectes platessa",518706
2005,"pollachius pollachius",164728
2005,"pollachius virens",658908
2005,"raja clavata",160901
2005,"reinhardtius hippoglossoides",345860
2005,"salmo trutta",161997
2005,"scophthalmus maximus",518244
2005,"scophthalmus rhombus",172749
2005,"sebastes mentella",833780
2005,"sebastes norvegicus",333562
