"FAOcode","year","catch_tonnes","Galician_name","total_kg","total_euros","scientificname","English_name","Family","Order.or.higher.taxa","source","kingdom","phylum","class","order","family","genus","AphiaID"
"POL",2022,314.57702,"Abadexo",314577.02,2172167.792,"Pollachius pollachius","Pollack","GADIDAE","GADIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Pollachius",126440
"CET",2022,17.67507,"Acedía",17675.07,157180.034,"Dicologlossa cuneata","Wedge sole","SOLEIDAE","CARANGIFORMES (PLEURONECTOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Pleuronectiformes","Soleidae","Dicologlossa",127154
"GAR",2022,39.7349,"Agulla",39734.9,59948.211,"Belone belone","Garfish","BELONIDAE","BELONIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Beloniformes","Belonidae","Belone",126375
"SAA",2022,0.01565,"Alacha",15.65,12.4,"Sardinella aurita","Round sardinella","DOROSOMATIDAE","CLUPEIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Clupeiformes","Dorosomatidae","Sardinella",126422
"SAU",2022,70.8352,"Alcrique",70835.2,64421.115,"Scomberesox saurus","Atlantic saury","SCOMBERESOCIDAE","BELONIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Beloniformes","Scomberesocidae","Scomberesox",126392
"GUU",2022,29.3871,"Alfóndega",29387.1,101058.78,"Chelidonichthys lucerna","Tub gurnard","TRIGLIDAE","PERCIFORMES (SCORPAENOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Triglidae","Chelidonichthys",127262
"SWB",2022,21.06085,"Alga parda",21060.85,11015.574,"Phaeophyceae","Brown seaweeds","","HETEROKONTOPHYTA (PHAEOPHYCEAE)","pesca_galicia","Chromista","Ochrophyta","Phaeophyceae",NA,NA,NA,830
"SWG",2022,85.622305,"Algas verdes",85622.305,76286.67,"Chlorophyceae","Green seaweeds","","CHLOROPHYTA (CHLOROPHYCEAE)","pesca_galicia","Plantae","Chlorophyta","Chlorophyceae",NA,NA,NA,802
"SWR",2022,9.850195,"Algas vermellas",9850.195,17396.996,"Rhodophyta","Red seaweeds","","RHODOPHYTA","pesca_galicia","Plantae","Rhodophyta",NA,NA,NA,NA,852
"CTS",2022,334.972864999999,"Ameixa babosa",334972.864999999,6438518.77900001,"Venerupis rhomboides",NA,NA,NA,"pesca_galicia","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Venerupis",141941
"VNA",2022,1.31734,"Ameixa bicuda",1317.34,3831.497,"Polititapes aureus","Golden carpet shell","VENERIDAE","BIVALVIA","pesca_galicia","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Polititapes",246150
"CTG",2022,260.748011000001,"Ameixa fina",260748.011000001,7964100.54700002,"Ruditapes decussatus","Grooved carpet shell","VENERIDAE","BIVALVIA","pesca_galicia","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Ruditapes",231749
"VNR",2022,143.04717,"Ameixa rubia",143047.17,1991977.55199999,"Polititapes rhomboides","Banded carpet shell","VENERIDAE","BIVALVIA","pesca_galicia","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Polititapes",745846
"CLJ",2022,2262.830736,"Ameixa xaponesa",2262830.736,24778841.718,"Ruditapes philippinarum","Japanese carpet shell","VENERIDAE","BIVALVIA","pesca_galicia","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Ruditapes",231750
"KLK",2022,28.09815,"Ameixón",28098.15,232188.334,"Callista chione","Smooth callista","VENERIDAE","BIVALVIA","pesca_galicia","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Callista",141906
"ELX",2022,28.751285,"Anguías",28751.285,561644.97,"Anguilla spp","River eels NEI","ANGUILLIDAE","ANGUILLIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Anguilliformes","Anguillidae","Anguilla",125620
"LAZ",2022,156.7845,"Argazo",156784.5,88865.5,"Laminariaceae","Kelps NEI","LAMINARIACEAE","HETEROKONTOPHYTA (PHAEOPHYCEAE)","pesca_galicia","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae",NA,143755
"YFT",2022,0.319,"Atún amarelo",319,1734.54,"Thunnus albacares","Yellowfin tuna","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127027
"BET",2022,20.10375,"Atún patudo",20103.75,117188.01,"Thunnus obesus","Bigeye tuna","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127028
"BFT",2022,13.6355,"Atún vermello",13635.5,165824.7,"Thunnus thynnus","Atlantic bluefin tuna","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127029
"COD",2022,20.0239,"Bacallao",20023.9,90132.68,"Gadus morhua","Atlantic cod","GADIDAE","GADIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus",126436
"LTA",2022,0.447,"Bacoreta",447,780.42,"Euthynnus alletteratus","Little tunny(=Atl.black skipj)","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Euthynnus",127017
"GGU",2022,1.4133,"Barbada común",1413.3,11304.971,"Gaidropsarus vulgaris","Three-bearded rockling","GAIDROPSARIDAE","GADIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Gadiformes","Gaidropsaridae","Gaidropsarus",126458
"GGD",2022,1.485185,"Barbada de area",1485.185,7227.67200000001,"Gaidropsarus mediterraneus","Shore rockling","GAIDROPSARIDAE","GADIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Gadiformes","Gaidropsaridae","Gaidropsarus",126457
"PXV",2022,0.003,"Barbado de fondo",3,1.5,"Polymixia nobilis","Stout beardfish","POLYMIXIIDAE","POLYMIXIIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Polymixiiformes","Polymixiidae","Polymixia",127163
