"year","Galician_name","total_kg","total_euros","Spanish_name","Scientific_Name","FAO"
2022,"acedía",17675.07,157180.034,NA,NA,NA
2022,"alga parda",21060.85,11015.574,NA,NA,NA
2022,"algas verdes",85622.305,76286.67,NA,NA,NA
2022,"algas vermellas",9850.195,17396.996,NA,NA,NA
2022,"ameixón",28098.15,232188.334,NA,NA,NA
2022,"anguías",28751.285,561644.97,NA,NA,NA
2022,"argazo",156784.5,88865.5,NA,NA,NA
2022,"bacoreta",447,780.42,NA,NA,NA
2022,"barbado de fondo",3,1.5,NA,NA,NA
2022,"berberecho",2299202.59,14626490.737,NA,NA,NA
2022,"bertorellas",353.4,816.6,NA,NA,NA
2022,"boga",1983077.29,1077022.672,NA,NA,NA
2022,"bolos",279,827.6,NA,NA,NA
2022,"breca",16676.055,72270.3469999999,NA,NA,NA
2022,"buche bravo",8150,3260,NA,NA,NA
2022,"cabracho de fondo",7066.6,41471.74,NA,NA,NA
2022,"cabras",17829.5,61091.2,NA,NA,NA
2022,"cangrexo real",681.75,10604.72,NA,NA,NA
2022,"carallos de mar nep",142,335.12,NA,NA,NA
2022,"castañeta de quilla",198,257.74,NA,NA,NA
2022,"cazapa",8007.1,2809.64,NA,NA,NA
2022,"cazón",8620.1,13912.93,NA,NA,NA
2022,"centola ou centolo",700685.835,6451512.995,NA,NA,NA
2022,"cherna de ley",2191.6,19977.89,NA,NA,NA
2022,"cigala",206774.15,3135588,NA,NA,NA
2022,"correa",21811,12135.1,NA,NA,NA
2022,"dentón angoleño",8962.6,32574.618,NA,NA,NA
2022,"escacho de cremalleira",70645.5,59134.48,NA,NA,NA
2022,"escachos",145848.83,430061.144,NA,NA,NA
2022,"escolar negro",34361.7,107114.49,NA,NA,NA
2022,"faneca",545076.581000001,1438067.293,NA,NA,NA
2022,"fideo de mar",6933,7269.95,NA,NA,NA
2022,"fodón",3685.65,14463.978,NA,NA,NA
2022,"fucus",7025,2458.75,NA,NA,NA
2022,"galludo",49700.3,355657.92,NA,NA,NA
2022,"gavilán",2839.2,252381.349,NA,NA,NA
2022,"jaiba de roca dientuda",203.75,1222.5,NA,NA,NA
2022,"lorchos",9954.85,20024.696,NA,NA,NA
2022,"maragota",259787.13,679654.661999999,NA,NA,NA
2022,"maruca",72267.5,145967.77,NA,NA,NA
2022,"maruca do mediterráneo",86,145.55,NA,NA,NA
2022,"melva",205,205.27,NA,NA,NA
2022,"melvas",1920.8,1830.54,NA,NA,NA
2022,"merlán",869.25,1484.15,NA,NA,NA
2022,"mero",22435.55,612668.81,NA,NA,NA
2022,"miñoca de area",780.56,19519.913,NA,NA,NA
2022,"miñoca de tubo",1592.585,40979.744,NA,NA,NA
2022,"muxo negro",1318.4,1328.56,NA,NA,NA
2022,"muxos",2.8,1.5,NA,NA,NA
2022,"nécora",106126.45,2004236.596,NA,NA,NA
2022,"obispo",2027.4,4628.13,NA,NA,NA
2022,"olayo atlántico",23026.3,4677.49,NA,NA,NA
2022,"ortiguilla de mar",19930,257745.371,NA,NA,NA
2022,"ostra",92848.545,557750.03,NA,NA,NA
2022,"ostra rizada",253528.49,269500.409,NA,NA,NA
2022,"outras",19890,19413,NA,NA,NA
2022,"ovas de maruca",2.5,7,NA,NA,NA
2022,"ovas de abadexo",3,7.59,NA,NA,NA
2022,"ovas de pescada",145011.72,654789.595,NA,NA,NA
2022,"patexo",28480,2994.76,NA,NA,NA
2022,"peixe espada",797207.55,5934366.15,NA,NA,NA
2022,"peixe xabaril",94,12.8,NA,NA,NA
2022,"pejerreyes",107.6,171.57,NA,NA,NA
2022,"percebe",242793.394,8311062.24700001,NA,NA,NA
2022,"potón común",3078.5,10049.69,NA,NA,NA
2022,"raia boca de rosa",24870,76310.31,NA,NA,NA
2022,"raia espiñeta",23100.5,62490.67,NA,NA,NA
2022,"raia santiaguesa",134490.2,253781.2,NA,NA,NA
2022,"raias",118712.065,327444.656,NA,NA,NA
2022,"rapapelos de ollos grandes",1.25,4.125,NA,NA,NA
2022,"rei",2623.05,3465.377,NA,NA,NA
2022,"reló",57676.19,244441.714,NA,NA,NA
2022,"rodaballo",67533.6300000001,1557214.207,NA,NA,NA
2022,"rufo imperial",7328.7,58011.56,NA,NA,NA
2022,"salema",14666.45,9914.822,NA,NA,NA
2022,"salmonetes",274.2,5412.25,NA,NA,NA
2022,"sastres",3320.35,1773.38,NA,NA,NA
2022,"serrán",111.05,246.311,NA,NA,NA
2022,"tomás",123.25,876.09,NA,NA,NA
2022,"volandeira",498647.3,1365290.63,NA,NA,NA
2022,"zamburiña",30121.8,313911.58,NA,NA,NA
2021,"acedía",24493.24,178234.263,NA,NA,NA
2021,"alga parda",69507.44,34833.94,NA,NA,NA
2021,"algas np",214.3,143.065,NA,NA,NA
2021,"algas verdes",134908,114871.1,NA,NA,NA
2021,"algas vermellas",7668.94,6296.655,NA,NA,NA
2021,"ameixón",22439.25,162878.242,NA,NA,NA
2021,"anguías",27640.184,637507.621,NA,NA,NA
2021,"argazo",152023,76790,NA,NA,NA
2021,"bacoreta",1589.7,1104.52,NA,NA,NA
2021,"berberecho",2100713.178,13745102.673,NA,NA,NA
2021,"bertorellas",33.3,55.73,NA,NA,NA
2021,"boga",2098565.72,948883.559000002,NA,NA,NA
2021,"bolos",892,1257.8,NA,NA,NA
2021,"breca",14619.2,59302.105,NA,NA,NA
2021,"cabracho de fondo",113.5,543.52,NA,NA,NA
2021,"cabras",1455.8,4941.165,NA,NA,NA
2021,"cangrexo real",130,339.88,NA,NA,NA
2021,"cazapa",27252.75,11668.32,NA,NA,NA
2021,"cazón",12269.45,14456.755,NA,NA,NA
2021,"centola ou centolo",685741.040000001,6041683.21099999,NA,NA,NA
2021,"cigala",188650.97,2706988.66,NA,NA,NA
2021,"cogombro de mar negro",2,6,NA,NA,NA
2021,"correa",19457,11019,NA,NA,NA
2021,"escacho de cremalleira",70703.6,57913.02,NA,NA,NA
2021,"escachos",141181.62,444580.115000001,NA,NA,NA
2021,"escolar negro",71661.65,120903.56,NA,NA,NA
2021,"faneca",635097.335,1563902.97,NA,NA,NA
2021,"fideo de mar",4931,5318.8,NA,NA,NA
2021,"fodón",4569.65,13862.869,NA,NA,NA
2021,"fucus",6125,1837.5,NA,NA,NA
2021,"galludo",49763.1,335772.23,NA,NA,NA
2021,"gavilán",2498.855,207135.562,NA,NA,NA
2021,"jaiba de roca dientuda",29.5,162,NA,NA,NA
2021,"lapas nep",0.6,9.84,NA,NA,NA
2021,"limanda",3.8,30.4,NA,NA,NA
2021,"lorchos",8621.25,18599.746,NA,NA,NA
2021,"maragota",271460.018,804232.000999999,NA,NA,NA
2021,"maruca",109422.77,166499.63,NA,NA,NA
2021,"melva",90.1,182.58,NA,NA,NA
2021,"melvas",352.15,550.732,NA,NA,NA
2021,"merlán",1591.2,1296.42,NA,NA,NA
2021,"mero",31422.69,748183.159999999,NA,NA,NA
2021,"mexillón",54996.6,73643.46,NA,NA,NA
2021,"miñoca de area",708.400000000001,17948.738,NA,NA,NA
2021,"miñoca de tubo",668.209999999999,20717.326,NA,NA,NA
2021,"muxo negro",8792.55,8024.895,NA,NA,NA
2021,"muxos",1377.9,746.31,NA,NA,NA
2021,"nécora",112623.35,2063850.405,NA,NA,NA
2021,"obispo",1269.2,3003.67,NA,NA,NA
2021,"olayo atlántico",18477,3420.25,NA,NA,NA
2021,"ortiguilla de mar",14146.4,181962.11,NA,NA,NA
