"year","Galician_name","FAOcode","total_kg","total_euros","Scientific_name","English_name","Family","Order.or.higher.taxa"
2022,"Abadexo","POL",314577.02,2172167.792,"Pollachius pollachius","Pollack","GADIDAE","GADIFORMES"
2022,"Acedía","CET",17675.07,157180.034,"Dicologlossa cuneata","Wedge sole","SOLEIDAE","CARANGIFORMES (PLEURONECTOIDEI)"
2022,"Agulla","GAR",39734.9,59948.211,"Belone belone","Garfish","BELONIDAE","BELONIFORMES"
2022,"Alacha","SAA",15.65,12.4,"Sardinella aurita","Round sardinella","DOROSOMATIDAE","CLUPEIFORMES"
2022,"Alcrique","SAU",70835.2,64421.115,"Scomberesox saurus","Atlantic saury","SCOMBERESOCIDAE","BELONIFORMES"
2022,"Alfóndega","GUU",29387.1,101058.78,"Chelidonichthys lucerna","Tub gurnard","TRIGLIDAE","PERCIFORMES (SCORPAENOIDEI)"
2022,"Alga parda","SWB",21060.85,11015.574,"Phaeophyceae","Brown seaweeds","","HETEROKONTOPHYTA (PHAEOPHYCEAE)"
2022,"Algas verdes","SWG",85622.305,76286.67,"Chlorophyceae","Green seaweeds","","CHLOROPHYTA (CHLOROPHYCEAE)"
2022,"Algas vermellas","SWR",9850.195,17396.996,"Rhodophyta","Red seaweeds","","RHODOPHYTA"
2022,"Ameixa babosa","CTS",334972.864999999,6438518.77900001,NA,NA,NA,NA
2022,"Ameixa bicuda","VNA",1317.34,3831.497,"Polititapes aureus","Golden carpet shell","VENERIDAE","BIVALVIA"
2022,"Ameixa fina","CTG",260748.011000001,7964100.54700002,"Ruditapes decussatus","Grooved carpet shell","VENERIDAE","BIVALVIA"
2022,"Ameixa rubia","VNR",143047.17,1991977.55199999,"Polititapes rhomboides","Banded carpet shell","VENERIDAE","BIVALVIA"
2022,"Ameixa xaponesa","CLJ",2262830.736,24778841.718,"Ruditapes philippinarum","Japanese carpet shell","VENERIDAE","BIVALVIA"
2022,"Ameixón","KLK",28098.15,232188.334,"Callista chione","Smooth callista","VENERIDAE","BIVALVIA"
2022,"Anguías","ELX",28751.285,561644.97,"Anguilla spp","River eels NEI","ANGUILLIDAE","ANGUILLIFORMES"
