"year","Galician_name","total_kg","total_euros"
2022,"Abadexo",314577.02,2172167.792
2022,"Acedía",17675.07,157180.034
2022,"Agulla",39734.9,59948.211
2022,"Alacha",15.65,12.4
2022,"Alcrique",70835.2,64421.115
2022,"Alfóndega",29387.1,101058.78
2022,"Alga parda",21060.85,11015.574
2022,"Algas verdes",85622.305,76286.67
2022,"Algas vermellas",9850.195,17396.996
2022,"Ameixa babosa",334972.864999999,6438518.77900001
2022,"Ameixa bicuda",1317.34,3831.497
2022,"Ameixa fina",260748.011000001,7964100.54700002
2022,"Ameixa rubia",143047.17,1991977.55199999
2022,"Ameixa xaponesa",2262830.736,24778841.718
2022,"Ameixón",28098.15,232188.334
2022,"Anguías",28751.285,561644.97
2022,"Argazo",156784.5,88865.5
2022,"Atún amarelo",319,1734.54
2022,"Atún patudo",20103.75,117188.01
2022,"Atún vermello",13635.5,165824.7
2022,"Bacallao",20023.9,90132.68
2022,"Bacoreta",447,780.42
2022,"Barbada común",1413.3,11304.971
2022,"Barbada de area",1485.185,7227.67200000001
2022,"Barbado de fondo",3,1.5
2022,"Berberecho",2299202.59,14626490.737
2022,"Berete",3696.45,4895.623
2022,"Bertorella barbada",84736.4,282820.39
2022,"Bertorella brava",6540.45,18664.148
2022,"Bertorella de lama",380521.43,1450529.31
2022,"Bertorella de rocha",15114.45,45220.86
2022,"Bertorellas",353.4,816.6
2022,"Birollo",4779.2,18857.559
2022,"Bocarte",981778.05,2034609.223
2022,"Boga",1983077.29,1077022.672
2022,"Boi",25943.63,215053.916
2022,"Bolo blanco",477.65,1554.63
2022,"Bolo verde",261.25,763.045
2022,"Bolo vermello",1869.25,4764.71
2022,"Bolos",279,827.6
2022,"Bonito alistado",3018.9,10776.495
2022,"Bonito do Atlántico",19423.2,60136.714
2022,"Bonito do norte",2100800.2,9556336.37
2022,"Breca",16676.055,72270.3469999999
2022,"Brosme",4,6
2022,"Buche bravo",8150,3260
2022,"Burro",191773.71,368882.29
2022,"Cabezudo",1.1,3.3
2022,"Cabra de altura",535291.034,2326829.671
2022,"Cabra dourada",284,1931.37
2022,"Cabracho de fondo",7066.6,41471.74
2022,"Cabras",17829.5,61091.2
2022,"Cadelucha",740.6,35053.926
2022,"Camarón común",76905.85,2363798.383
2022,"Camarón de poza",501.5,4513.5
2022,"Cangrexo común",39916.95,78752.397
2022,"Cangrexo real",681.75,10604.72
2022,"Caracola",9.6,23.46
2022,"Carallos de mar nep",142,335.12
2022,"Caramuxo",187.55,345.95
2022,"Carneiro",76836.07,747074.348
2022,"Castañeta",1063599.61,3271303.69
2022,"Castañeta de aleta longa",137,212.63
2022,"Castañeta de quilla",198,257.74
2022,"Castañeta macho",19345.45,136973.07
2022,"Castañeta vermella",37955.76,1081145.03
2022,"Cazapa",8007.1,2809.64
2022,"Cazón",8620.1,13912.93
2022,"Cazón liso",283.1,312.16
2022,"Centola ou centolo",700685.835,6451512.995
2022,"Chaparella",69740.53,292695.732
2022,"Cherna de ley",2191.6,19977.89
2022,"Choco",606592.096,4550467.30299999
2022,"Chopiño",2529.95,17766.008
2022,"Choquiño",688.25,9190.358
2022,"Choquiño picudo",63.7,978.65
2022,"Choupa",102489.89,170820.495999999
2022,"Cigala",206774.15,3135588
2022,"Cochinilla",1114,2913.59
2022,"Cogombro de mar real",73445.35,235488.47
2022,"Congro",1304321.88,2767817.00400001
2022,"Conguito",4903.5,8545.754
2022,"Coreano",673568.3,1816272.07
2022,"Cornicha",498220.099999999,2913875.867
2022,"Correa",21811,12135.1
2022,"Corvina real",1354.55,7463.036
2022,"Curuxo",28094.17,487711.471000001
2022,"Dentón",3701.66,45071.563
2022,"Dentón angoleño",8962.6,32574.618
2022,"Dentón ollón",8617.35,31277.59
2022,"Doncela",5477.99,21344.565
2022,"Dourada",8077.41,156558.819
2022,"Dourado común",233,1437.1
2022,"Escacho de altura",4210.85,7622.55
2022,"Escacho de cremalleira",70645.5,59134.48
2022,"Escacho de pluma",4.5,15.75
2022,"Escachos",145848.83,430061.144
2022,"Escarapote de pedra",59601.6100000001,438927.098
2022,"Escarapote de pintas",19743.75,123033.95
2022,"Escarapote rosado",1073.8,6275.302
2022,"Escarpón",3852.34,3228.591
2022,"Escolar negro",34361.7,107114.49
2022,"Faneca",545076.581000001,1438067.293
2022,"Faneca brava",17.3,26.09
2022,"Ferreira",763.4,5314.55
2022,"Fideo de mar",6933,7269.95
2022,"Fodón",3685.65,14463.978
2022,"Fogoneiro",2493.6,6102.59
2022,"Fucus",7025,2458.75
2022,"Galana",365.5,337.94
2022,"Galludo",49700.3,355657.92
2022,"Gamba branca",0.75,9.39
2022,"Gamba rosada",32.75,492.48
2022,"Gamba vermella",455.3,8523.82
2022,"Gata común",41.5,132
2022,"Gavilán",2839.2,252381.349
2022,"Golfo",373846.5,324234.55
2022,"Jaiba de roca dientuda",203.75,1222.5
2022,"Lagosta",738.3,13896.225
2022,"Lamprea de mar",6066.8,171749.58
2022,"Lapa común",137.2,493.92
2022,"Linguado",165688.27,2972948.475
2022,"Linguado de area",26999.84,227099.821
2022,"Linguado de pintas",2882.95,53124.323
2022,"Lirio",21418128.72,15125513.184
2022,"Lirpia raiada",31152.093,127115.333
2022,"Longueirón",57883.75,531238.733
2022,"Longueirón vello",29602.6,239937.56
2022,"Lorchos",9954.85,20024.696
2022,"Lumbrigante",22696.75,731215.786
2022,"Lura",275785.2,3160894.875
2022,"Lura colorada",205.4,3391.8
2022,"Madrela",1572.8,12794.04
2022,"Maragota",259787.13,679654.661999999
2022,"Marlín branco",37,68.45
2022,"Marraxo azul",2190.4,8610.605
2022,"Maruca",72267.5,145967.77
2022,"Maruca do Mediterráneo",86,145.55
2022,"Melga",19.8,59.4
2022,"Melgacho",398296.2,183917.988
2022,"Melva",205,205.27
2022,"Melvas",1920.8,1830.54
2022,"Mendo limón",191763.2,479102.28
2022,"Merlán",869.25,1484.15
2022,"Mero",22435.55,612668.81
2022,"Mero dourado",143.2,544.76
2022,"Mero xigante",138.2,1242.636
2022,"Miñoca de area",780.56,19519.913
2022,"Miñoca de tubo",1592.585,40979.744
2022,"Morea",125.25,103.61
2022,"Muxo beizos finos",4659.8,9109.09
2022,"Muxo cabezudo",27187.15,44995.12
2022,"Muxo dourado",636.15,814.068
2022,"Muxo negro",1318.4,1328.56
2022,"Muxo saltón gris",9335.55,13922.8
2022,"Muxos",2.8,1.5
2022,"Navalla",542059.43,7173765.22199999
2022,"Nécora",106126.45,2004236.596
2022,"Obispo",2027.4,4628.13
2022,"Olayo Atlántico",23026.3,4677.49
2022,"Ollomol",57569.29,1488471.172
2022,"Ortiguilla de mar",19930,257745.371
2022,"Ostra",92848.545,557750.03
2022,"Ostra rizada",253528.49,269500.409
2022,"Ourizo",655824.8,7481715.774
2022,"Outras",19890,19413
2022,"Ovas de Maruca",2.5,7
2022,"Ovas de abadexo",3,7.59
2022,"Ovas de pescada",145011.72,654789.595
2022,"Pampo azul",11.4,50.9
2022,"Pancho bicudo",102028.88,488023.77
2022,"Patexo",28480,2994.76
2022,"Peixe araña",1723.35,1936.98
2022,"Peixe cinta",6934,15078.95
2022,"Peixe espada",797207.55,5934366.15
2022,"Peixe limón",12.25,47.675
2022,"Peixe negro",18,9
2022,"Peixe pau",50737.04,124868.52
2022,"Peixe porco",9306.81,34172.279
2022,"Peixe sabre",5677,19713.37
2022,"Peixe sabre alongado",1592.6,6297.84
2022,"Peixe sabre negro",40132.47,150794.28
2022,"Peixe sabre prateado",8063.83,36679.51
2022,"Peixe sapo",4684419.045,25339320.773
2022,"Peixe xabaril",94,12.8
2022,"Pejerreyes",107.6,171.57
2022,"Peneira",938.5,21947.88
2022,"Percebe",242793.394,8311062.24700001
2022,"Pescada",21963335.108,98338072.0620001
2022,"Piarda común",53652.5,121160.079
2022,"Pión de altura",2006.6,4881.68
2022,"Polbo",2260843.19,20741649.801
