objectid,id_no,sci_name,presence,origin,seasonal,compiler,yrcompiled,citation,subspecies,subpop,event_year,source,basisofrec,catalog_no,dist_comm,island,tax_comm,legend,kingdom,phylum,class,order_,family,genus,category,latitude,longitude
1171310,96478451,Nothofagus grandis,1,1,1,IUCN,2017,BGCI,,,1973,,,65451,,,,Extant (resident),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,NOTHOFAGACEAE,Nothofagus,LC,-6.17500000,144.00833300
1172640,96478451,Nothofagus grandis,1,1,1,IUCN,2017,BGCI,,,1982,,,143987,,,,Extant (resident),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,NOTHOFAGACEAE,Nothofagus,LC,-6.33333300,144.01666700
1379679,96477472,Nothofagus crenata,1,1,1,IUCN,2017,BGCI,,,1977,,,74728,,,,Extant (resident),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,NOTHOFAGACEAE,Nothofagus,VU,-6.42500000,143.34166700
2178743,61918019,Nothofagus menziesii,1,1,1,Megan Barstow,2017,Landcare Research,,,1987,,HumanObservation,,,,,Extant (resident),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,NOTHOFAGACEAE,Nothofagus,LC,-41.19530000,172.63760000
2178757,61918019,Nothofagus menziesii,1,1,1,Megan Barstow,2017,Landcare Research,,,1987,,HumanObservation,,,,,Extant (resident),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,NOTHOFAGACEAE,Nothofagus,LC,-41.19450000,172.63650000
2599104,96478960,Nothofagus starkenborghiorum,1,1,1,Harry Baldwin,2017,BGCI,,,2017,,,,,,,Extant (resident),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,NOTHOFAGACEAE,Nothofagus,LC,-5.87833211,150.57861330
2599642,96478960,Nothofagus starkenborghiorum,1,1,1,Harry Baldwin,2017,BGCI,,,2017,,,,,,,Extant (resident),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,NOTHOFAGACEAE,Nothofagus,LC,-5.76903587,150.73242190
2601376,96478960,Nothofagus starkenborghiorum,1,1,1,Harry Baldwin,2017,BGCI,,,2017,,,,,,,Extant (resident),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,NOTHOFAGACEAE,Nothofagus,LC,-5.98760689,142.88818360
2601768,96478960,Nothofagus starkenborghiorum,1,1,1,Harry Baldwin,2017,BGCI,,,2017,,,,,,,Extant (resident),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,NOTHOFAGACEAE,Nothofagus,LC,-5.90018880,150.93017580
2602072,96478960,Nothofagus starkenborghiorum,1,1,1,Harry Baldwin,2017,BGCI,,,2017,,,,,,,Extant (resident),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,NOTHOFAGACEAE,Nothofagus,LC,-3.29408223,136.47216800
3230071,34852,Nothofagus dombeyi,1,1,1,Megan Barstow,2017,MO,,,1997,,PreservedSpecimen,,,,,Extant (resident),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,NOTHOFAGACEAE,Nothofagus,LC,-40.13333000,-71.46666000
3230969,34852,Nothofagus dombeyi,1,1,1,Megan Barstow,2017,K,,,,,PreservedSpecimen,,,,,Extant (resident),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,NOTHOFAGACEAE,Nothofagus,LC,-40.18000000,-71.32000000
3231067,34852,Nothofagus dombeyi,1,1,1,Megan Barstow,2017,NY,,,,,PreservedSpecimen,,,,,Extant (resident),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,NOTHOFAGACEAE,Nothofagus,LC,-40.18000000,-71.32000000
3232617,34852,Nothofagus dombeyi,1,1,1,Megan Barstow,2017,UConn,,,1948,,PreservedSpecimen,,,,,Extant (resident),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,NOTHOFAGACEAE,Nothofagus,LC,-41.35000000,-71.53333000
3277918,96478358,Nothofagus solandri,1,1,1,BGCI,2017,BGCI,,,,NZFRI,PreservedSpecimen,NZFRI 12325,,,,Extant (resident),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,NOTHOFAGACEAE,Nothofagus,LC,-38.00000000,176.00000000
3449629,96477403,Nothofagus cliffortioides,1,1,1,Harry Baldwin,2017,BGCI,,,1989,CHR,PreservedSpecimen,CHR 517899 B,,,,Extant (resident),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,NOTHOFAGACEAE,Nothofagus,LC,-43.03410000,171.77900000
3449727,96477403,Nothofagus cliffortioides,1,1,1,Harry Baldwin,2017,BGCI,,,2006,iNaturalist,HumanObservation,948602,,,,Extant (resident),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,NOTHOFAGACEAE,Nothofagus,LC,-43.03081800,171.77121300
