ANO,MES,PROVINCIA,RAMA,REXIME,AFILIACIONS
2009,Xaneiro,A Coruña,Agrario,Agrario,1325
2009,Xaneiro,A Coruña,Mar,Mar,6803
2009,Xaneiro,A Coruña,R. especial empregados fogar,R. especial empregados fogar,8545
2009,Xaneiro,Lugo,Agrario,Agrario,1390
2009,Xaneiro,Lugo,Mar,Mar,1902
2009,Xaneiro,Lugo,R. especial empregados fogar,R. especial empregados fogar,2865
2009,Xaneiro,Ourense,Agrario,Agrario,342
2009,Xaneiro,Ourense,Mar,Mar,0
2009,Xaneiro,Ourense,R. especial empregados fogar,R. especial empregados fogar,2946
2009,Xaneiro,Pontevedra,Agrario,Agrario,1291
2009,Xaneiro,Pontevedra,Mar,Mar,16286
2009,Xaneiro,Pontevedra,R. especial empregados fogar,R. especial empregados fogar,6352
2009,Xaneiro,A Coruña,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,679
2009,Xaneiro,A Coruña,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime de autónomos,150
2009,Xaneiro,A Coruña,"Agricultura, gandeiría e pesca",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,1776
2009,Xaneiro,A Coruña,"Agricultura, gandeiría e pesca",Réxime de autónomos,16326
2009,Xaneiro,A Coruña,Construción,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,41064
2009,Xaneiro,A Coruña,Construción,Réxime de autónomos,13418
2009,Xaneiro,A Coruña,Industria e enerxía,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,57333
2009,Xaneiro,A Coruña,Industria e enerxía,Réxime de autónomos,5956
2009,Xaneiro,A Coruña,Non clasificados,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,819
2009,Xaneiro,A Coruña,Non clasificados,Réxime de autónomos,0
2009,Xaneiro,A Coruña,Resto de servizos,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,207584
2009,Xaneiro,A Coruña,Resto de servizos,Réxime de autónomos,45749
