"Destinos,""Indicadores"",""Orixe dos viaxeiros"",""CodTempo"",""Tempo"",""DatoN"",""DatoT"""
"Galicia,""Noites"",""Todas"",2011,""2011"",8538671,""8.538.671"""
"A Coru–a e As Mari–as,""Noites"",""Todas"",2011,""2011"",1148095,""1.148.095"""
"Ancares - Courel,""Noites"",""Todas"",2011,""2011"",86819,""86.819"""
"Celanova - Limia,""Noites"",""Todas"",2011,""2011"",61699,""61.699"""
"Costa da Morte,""Noites"",""Todas"",2011,""2011"",190844,""190.844"""
"Deza - Tabeir—s,""Noites"",""Todas"",2011,""2011"",131266,""131.266"""
"Ferrolterra,""Noites"",""Todas"",2011,""2011"",381377,""381.377"""
"Lugo e a Terra Ch‡,""Noites"",""Todas"",2011,""2011"",493454,""493.454"""
"Manzaneda - Trevinca,""Noites"",""Todas"",2011,""2011"",57218,""57.218"""
"Mari–a Lucense,""Noites"",""Todas"",2011,""2011"",290278,""290.278"""
"O Ribeiro,""Noites"",""Todas"",2011,""2011"",111063,""111.063"""
"R’a de Arousa,""Noites"",""Todas"",2011,""2011"",1697138,""1.697.138"""
"R’a de Muros e Noia,""Noites"",""Todas"",2011,""2011"",96409,""96.409"""
"R’a de Vigo e Baixo Mi–o,""Noites"",""Todas"",2011,""2011"",1143118,""1.143.118"""
"R’a e Terras de Pontevedra,""Noites"",""Todas"",2011,""2011"",604362,""604.362"""
"Ribeira Sacra,""Noites"",""Todas"",2011,""2011"",222830,""222.830"""
"Terras de Ourense e Allariz,""Noites"",""Todas"",2011,""2011"",277141,""277.141"""
"Terras de Santiago,""Noites"",""Todas"",2011,""2011"",1501797,""1.501.797"""
"Ver’n - Viana,""Noites"",""Todas"",2011,""2011"",43763,""43.763"""
"Galicia,""Indicador ‡rea"",""Todas"",2011,""2011"",289,""289"""
"A Coru–a e As Mari–as,""Indicador ‡rea"",""Todas"",2011,""2011"",1220,""1.220"""
"Ancares - Courel,""Indicador ‡rea"",""Todas"",2011,""2011"",40,""40"""
"Celanova - Limia,""Indicador ‡rea"",""Todas"",2011,""2011"",35,""35"""
"Costa da Morte,""Indicador ‡rea"",""Todas"",2011,""2011"",111,""111"""
"Deza - Tabeir—s,""Indicador ‡rea"",""Todas"",2011,""2011"",84,""84"""
"Ferrolterra,""Indicador ‡rea"",""Todas"",2011,""2011"",240,""240"""
"Lugo e a Terra Ch‡,""Indicador ‡rea"",""Todas"",2011,""2011"",116,""116"""
"Manzaneda - Trevinca,""Indicador ‡rea"",""Todas"",2011,""2011"",41,""41"""
"Mari–a Lucense,""Indicador ‡rea"",""Todas"",2011,""2011"",208,""208"""
"O Ribeiro,""Indicador ‡rea"",""Todas"",2011,""2011"",110,""110"""
"R’a de Arousa,""Indicador ‡rea"",""Todas"",2011,""2011"",2695,""2.695"""
"R’a de Muros e Noia,""Indicador ‡rea"",""Todas"",2011,""2011"",240,""240"""
"R’a de Vigo e Baixo Mi–o,""Indicador ‡rea"",""Todas"",2011,""2011"",709,""709"""
"R’a e Terras de Pontevedra,""Indicador ‡rea"",""Todas"",2011,""2011"",620,""620"""
"Ribeira Sacra,""Indicador ‡rea"",""Todas"",2011,""2011"",87,""87"""
"Terras de Ourense e Allariz,""Indicador ‡rea"",""Todas"",2011,""2011"",347,""347"""
"Terras de Santiago,""Indicador ‡rea"",""Todas"",2011,""2011"",496,""496"""
"Ver’n - Viana,""Indicador ‡rea"",""Todas"",2011,""2011"",25,""25"""
"Galicia,""Indicador Costa"",""Todas"",2011,""2011"",3375,""3.375"""
"A Coru–a e As Mari–as,""Indicador Costa"",""Todas"",2011,""2011"",5955,""5.955"""
