"Destinos","Indicadores","Orixe dos viaxeiros","CodTempo","Tempo","DatoN","DatoT"
"Total zona de costa","Noites","Todas",2011,"2011",5253684,"5.253.684"
"Total zona de costa","Noites","Todas",2017,"2017",6580823,"6.580.823"
"Total zona de costa","Noites","Todas",2018,"2018",6350128,"6.350.128"
"Total zona de costa","Noites","Todas",2019,"2019",6703467,"6.703.467"
"Total zona de costa","Noites","Todas",2020,"2020",3284426,"3.284.426"
"Total zona de costa","Noites","Todas",2021,"2021",5444811,"5.444.811"
"Total zona de costa","Noites","Todas",2022,"2022",7001160,"7.001.160"
"Total zona de costa","Noites","Todas",2023,"2023",7408103,"7.408.103"
"Total zona de costa","Noites","Fóra de Galicia",2011,"2011",3596386,"3.596.386"
"Total zona de costa","Noites","Fóra de Galicia",2017,"2017",4743721,"4.743.721"
"Total zona de costa","Noites","Fóra de Galicia",2018,"2018",4436484,"4.436.484"
"Total zona de costa","Noites","Fóra de Galicia",2019,"2019",4835740,"4.835.740"
"Total zona de costa","Noites","Fóra de Galicia",2020,"2020",2011129,"2.011.129"
"Total zona de costa","Noites","Fóra de Galicia",2021,"2021",3552288,"3.552.288"
"Total zona de costa","Noites","Fóra de Galicia",2022,"2022",4901823,"4.901.823"
"Total zona de costa","Noites","Fóra de Galicia",2023,"2023",5093809,"5.093.809"
"Total zona de costa","Indicador Área","Todas",2011,"2011",1047,"1.047"
"Total zona de costa","Indicador Área","Todas",2017,"2017",1312,"1.312"
"Total zona de costa","Indicador Área","Todas",2018,"2018",1266,"1.266"
"Total zona de costa","Indicador Área","Todas",2019,"2019",1336,"1.336"
"Total zona de costa","Indicador Área","Todas",2020,"2020",655,"655"
"Total zona de costa","Indicador Área","Todas",2021,"2021",1085,"1.085"
"Total zona de costa","Indicador Área","Todas",2022,"2022",1396,"1.396"
"Total zona de costa","Indicador Área","Todas",2023,"2023",1477,"1.477"
"Total zona de costa","Indicador Área","Fóra de Galicia",2011,"2011",717,"717"
"Total zona de costa","Indicador Área","Fóra de Galicia",2017,"2017",946,"946"
"Total zona de costa","Indicador Área","Fóra de Galicia",2018,"2018",884,"884"
"Total zona de costa","Indicador Área","Fóra de Galicia",2019,"2019",964,"964"
"Total zona de costa","Indicador Área","Fóra de Galicia",2020,"2020",401,"401"
"Total zona de costa","Indicador Área","Fóra de Galicia",2021,"2021",708,"708"
"Total zona de costa","Indicador Área","Fóra de Galicia",2022,"2022",977,"977"
"Total zona de costa","Indicador Área","Fóra de Galicia",2023,"2023",1016,"1.016"
"Total zona de costa","Indicador Costa","Todas",2011,"2011",2090,"2.090"
"Total zona de costa","Indicador Costa","Todas",2017,"2017",2618,"2.618"
"Total zona de costa","Indicador Costa","Todas",2018,"2018",2526,"2.526"
"Total zona de costa","Indicador Costa","Todas",2019,"2019",2666,"2.666"
"Total zona de costa","Indicador Costa","Todas",2020,"2020",1306,"1.306"
"Total zona de costa","Indicador Costa","Todas",2021,"2021",2166,"2.166"
"Total zona de costa","Indicador Costa","Todas",2022,"2022",2785,"2.785"
"Total zona de costa","Indicador Costa","Todas",2023,"2023",2947,"2.947"
"Total zona de costa","Indicador Costa","Fóra de Galicia",2011,"2011",1431,"1.431"
"Total zona de costa","Indicador Costa","Fóra de Galicia",2017,"2017",1887,"1.887"
"Total zona de costa","Indicador Costa","Fóra de Galicia",2018,"2018",1765,"1.765"
"Total zona de costa","Indicador Costa","Fóra de Galicia",2019,"2019",1924,"1.924"
"Total zona de costa","Indicador Costa","Fóra de Galicia",2020,"2020",800,"800"
"Total zona de costa","Indicador Costa","Fóra de Galicia",2021,"2021",1413,"1.413"
"Total zona de costa","Indicador Costa","Fóra de Galicia",2022,"2022",1950,"1.950"
"Total zona de costa","Indicador Costa","Fóra de Galicia",2023,"2023",2026,"2.026"
"Total zona de costa","Indicador Poboación (1)","Todas",2011,"2011",0.92,"0,92"
"Total zona de costa","Indicador Poboación (1)","Todas",2017,"2017",1.17,"1,17"
"Total zona de costa","Indicador Poboación (1)","Todas",2018,"2018",1.13,"1,13"
"Total zona de costa","Indicador Poboación (1)","Todas",2019,"2019",1.19,"1,19"
"Total zona de costa","Indicador Poboación (1)","Todas",2020,"2020",0.58,"0,58"
"Total zona de costa","Indicador Poboación (1)","Todas",2021,"2021",0.96,"0,96"
"Total zona de costa","Indicador Poboación (1)","Todas",2022,"2022",1.23,"1,23"
"Total zona de costa","Indicador Poboación (1)","Todas",2023,"2023",1.30,"1,30"
"Total zona de costa","Indicador Poboación (1)","Fóra de Galicia",2011,"2011",0.63,"0,63"
"Total zona de costa","Indicador Poboación (1)","Fóra de Galicia",2017,"2017",0.84,"0,84"
"Total zona de costa","Indicador Poboación (1)","Fóra de Galicia",2018,"2018",0.79,"0,79"
