YEAR/MONTH;H_VIAXEIROS;H_NOITES;H_ESTAD_MEDIA;TR_VIAXEIROS;TR_NOITES;TR_ESTAD_MEDIA;DE_ONDE;PROVINCIA
2017/Xaneiro;158634;282884;1,8;4494;7865;1,8;Todas as procedencias;GALICIA
2017/Febreiro;179698;310984;1,7;5504;8834;1,6;Todas as procedencias;GALICIA
2017/Marzo;222560;410421;1,8;7661;11589;1,5;Todas as procedencias;GALICIA
2017/Abril;377253;694042;1,8;20016;38374;1,9;Todas as procedencias;GALICIA
2017/Maio;399010;683429;1,7;18083;28002;1,6;Todas as procedencias;GALICIA
2017/Xu–o;466957;868876;1,9;22633;38842;1,7;Todas as procedencias;GALICIA
2017/Xullo;588140;1267165;2,2;31851;76076;2,4;Todas as procedencias;GALICIA
2017/Agosto;705408;1615964;2,3;41654;119170;2,9;Todas as procedencias;GALICIA
2017/Setembro;527839;1014086;1,9;27646;51345;1,9;Todas as procedencias;GALICIA
2017/Outubro;428851;810141;1,9;18777;33456;1,8;Todas as procedencias;GALICIA
2017/Novembro;239172;466701;2;8745;14563;1,7;Todas as procedencias;GALICIA
2017/Decembro;202132;383233;1,9;9455;20924;2,2;Todas as procedencias;GALICIA
2018/Xaneiro;164009;303264;1,9;4542;7288;1,6;Todas as procedencias;GALICIA
2018/Febreiro;181676;326011;1,8;6200;10602;1,9;Todas as procedencias;GALICIA
2018/Marzo;267366;494182;1,9;12295;23105;1,7;Todas as procedencias;GALICIA
2018/Abril;302710;580378;1,9;12921;20989;1,6;Todas as procedencias;GALICIA
2018/Maio;382717;680504;1,8;20861;30907;1,5;Todas as procedencias;GALICIA
2018/Xu–o;426307;813193;1,9;23521;37725;1,6;Todas as procedencias;GALICIA
2018/Xullo;508165;1149410;2,3;27771;60792;2,2;Todas as procedencias;GALICIA
2018/Agosto;638335;1500958;2,4;41313;109451;2,7;Todas as procedencias;GALICIA
2018/Setembro;491917;972150;2;29476;49463;1,7;Todas as procedencias;GALICIA
2018/Outubro;384469;759622;2;20926;33379;1,6;Todas as procedencias;GALICIA
2018/Novembro;237145;500036;2,1;10054;16856;1,7;Todas as procedencias;GALICIA
2018/Decembro;221861;414244;1,9;9407;17555;1,9;Todas as procedencias;GALICIA
2019/Xaneiro;165838;310111;1,9;4525;7996;1,8;Todas as procedencias;GALICIA
2019/Febreiro;182276;336183;1,8;5910;9985;1,7;Todas as procedencias;GALICIA
2019/Marzo;236030;459639;2;8268;13728;1,7;Todas as procedencias;GALICIA
2019/Abril;361936;685300;1,9;19567;34363;1,8;Todas as procedencias;GALICIA
2019/Maio;425307;765901;1,8;23436;35974;1,5;Todas as procedencias;GALICIA
2019/Xu–o;458837;869655;1,9;26757;40696;1,5;Todas as procedencias;GALICIA
