"Destinos","Indicadores","Orixe dos viaxeiros","Tempo","DatoN","DatoN_normalized"
"Total zona de costa","Indicador Estacional (1)","Todas",2011,43.8,0.3271719038817
"Total zona de costa","Indicador Estacional (1)","Todas",2017,36.6,0.194085027726433
"Total zona de costa","Indicador Estacional (1)","Todas",2018,43.2,0.316081330868762
"Total zona de costa","Indicador Estacional (1)","Todas",2019,42.3,0.299445471349353
"Total zona de costa","Indicador Estacional (1)","Todas",2020,56.7,0.565619223659889
"Total zona de costa","Indicador Estacional (1)","Todas",2021,51,0.460258780036969
"Total zona de costa","Indicador Estacional (1)","Todas",2022,43.3,0.317929759704251
"Total zona de costa","Indicador Estacional (1)","Todas",2023,37.5,0.210720887245841
"Total zona de costa","Indicador Estacional (1)","Fóra de Galicia",2011,43.6,0.323475046210721
"Total zona de costa","Indicador Estacional (1)","Fóra de Galicia",2017,44.4,0.33826247689464
"Total zona de costa","Indicador Estacional (1)","Fóra de Galicia",2018,49.8,0.43807763401109
"Total zona de costa","Indicador Estacional (1)","Fóra de Galicia",2019,41.9,0.292051756007394
"Total zona de costa","Indicador Estacional (1)","Fóra de Galicia",2020,57.6,0.582255083179298
"Total zona de costa","Indicador Estacional (1)","Fóra de Galicia",2021,53.9,0.513863216266174
"Total zona de costa","Indicador Estacional (1)","Fóra de Galicia",2022,42.6,0.304990757855823
"Total zona de costa","Indicador Estacional (1)","Fóra de Galicia",2023,43,0.312384473197782
"A Coruña e As Mariñas","Indicador Estacional (1)","Todas",2011,31.5,0.099815157116451
"A Coruña e As Mariñas","Indicador Estacional (1)","Todas",2017,28.8,0.0499075785582255
"A Coruña e As Mariñas","Indicador Estacional (1)","Todas",2018,30,0.0720887245841035
"A Coruña e As Mariñas","Indicador Estacional (1)","Todas",2019,29.6,0.0646950092421442
"A Coruña e As Mariñas","Indicador Estacional (1)","Todas",2020,33.3,0.133086876155268
"A Coruña e As Mariñas","Indicador Estacional (1)","Todas",2021,35,0.164510166358595
"A Coruña e As Mariñas","Indicador Estacional (1)","Todas",2022,30.9,0.088724584103512
"A Coruña e As Mariñas","Indicador Estacional (1)","Todas",2023,26.1,0
"A Coruña e As Mariñas","Indicador Estacional (1)","Fóra de Galicia",2011,32.2,0.11275415896488
"A Coruña e As Mariñas","Indicador Estacional (1)","Fóra de Galicia",2017,33.5,0.136783733826248
"A Coruña e As Mariñas","Indicador Estacional (1)","Fóra de Galicia",2018,37.2,0.205175600739372
"A Coruña e As Mariñas","Indicador Estacional (1)","Fóra de Galicia",2019,31.1,0.0924214417744917
"A Coruña e As Mariñas","Indicador Estacional (1)","Fóra de Galicia",2020,36.4,0.190388170055453
"A Coruña e As Mariñas","Indicador Estacional (1)","Fóra de Galicia",2021,40.1,0.258780036968577
"A Coruña e As Mariñas","Indicador Estacional (1)","Fóra de Galicia",2022,32.4,0.116451016635859
"A Coruña e As Mariñas","Indicador Estacional (1)","Fóra de Galicia",2023,30.1,0.0739371534195933
"Costa da Morte","Indicador Estacional (1)","Todas",2011,52.3,0.484288354898336
"Costa da Morte","Indicador Estacional (1)","Todas",2017,37.6,0.212569316081331
"Costa da Morte","Indicador Estacional (1)","Todas",2018,49.1,0.425138632162662
"Costa da Morte","Indicador Estacional (1)","Todas",2019,47.9,0.402957486136784
"Costa da Morte","Indicador Estacional (1)","Todas",2020,69.4,0.800369685767098
"Costa da Morte","Indicador Estacional (1)","Todas",2021,54.6,0.526802218114603
"Costa da Morte","Indicador Estacional (1)","Todas",2022,45.6,0.360443622920518
"Costa da Morte","Indicador Estacional (1)","Todas",2023,42.5,0.303142329020333
"Costa da Morte","Indicador Estacional (1)","Fóra de Galicia",2011,57.9,0.587800369685767
"Costa da Morte","Indicador Estacional (1)","Fóra de Galicia",2017,50.7,0.454713493530499
"Costa da Morte","Indicador Estacional (1)","Fóra de Galicia",2018,57.8,0.585951940850277
"Costa da Morte","Indicador Estacional (1)","Fóra de Galicia",2019,51.4,0.467652495378928
"Costa da Morte","Indicador Estacional (1)","Fóra de Galicia",2020,72.5,0.857670979667283
"Costa da Morte","Indicador Estacional (1)","Fóra de Galicia",2021,63.2,0.685767097966728
"Costa da Morte","Indicador Estacional (1)","Fóra de Galicia",2022,47.9,0.402957486136784
"Costa da Morte","Indicador Estacional (1)","Fóra de Galicia",2023,51.1,0.462107208872458
"Ferrolterra","Indicador Estacional (1)","Todas",2011,43.1,0.314232902033272
"Ferrolterra","Indicador Estacional (1)","Todas",2017,38,0.21996303142329
"Ferrolterra","Indicador Estacional (1)","Todas",2018,45,0.349353049907579
"Ferrolterra","Indicador Estacional (1)","Todas",2019,44.7,0.343807763401109
"Ferrolterra","Indicador Estacional (1)","Todas",2020,60.3,0.632162661737523
"Ferrolterra","Indicador Estacional (1)","Todas",2021,54.6,0.526802218114603
"Ferrolterra","Indicador Estacional (1)","Todas",2022,45.2,0.353049907578558
"Ferrolterra","Indicador Estacional (1)","Todas",2023,37.1,0.203327171903882
"Ferrolterra","Indicador Estacional (1)","Fóra de Galicia",2011,43.3,0.317929759704251
"Ferrolterra","Indicador Estacional (1)","Fóra de Galicia",2017,45.9,0.365988909426987
"Ferrolterra","Indicador Estacional (1)","Fóra de Galicia",2018,48.5,0.414048059149723
"Ferrolterra","Indicador Estacional (1)","Fóra de Galicia",2019,41.5,0.284658040665434
"Ferrolterra","Indicador Estacional (1)","Fóra de Galicia",2020,51.4,0.467652495378928
"Ferrolterra","Indicador Estacional (1)","Fóra de Galicia",2021,57,0.571164510166359
"Ferrolterra","Indicador Estacional (1)","Fóra de Galicia",2022,43.7,0.325323475046211
"Ferrolterra","Indicador Estacional (1)","Fóra de Galicia",2023,44.9,0.347504621072089
"Mariña Lucense","Indicador Estacional (1)","Todas",2011,50.3,0.44731977818854
"Mariña Lucense","Indicador Estacional (1)","Todas",2017,38.3,0.22550831792976
"Mariña Lucense","Indicador Estacional (1)","Todas",2018,46.3,0.373382624768946
"Mariña Lucense","Indicador Estacional (1)","Todas",2019,45.7,0.362292051756007
"Mariña Lucense","Indicador Estacional (1)","Todas",2020,54.1,0.517560073937153
"Mariña Lucense","Indicador Estacional (1)","Todas",2021,54.1,0.517560073937153
"Mariña Lucense","Indicador Estacional (1)","Todas",2022,47.8,0.401109057301294
"Mariña Lucense","Indicador Estacional (1)","Todas",2023,42.8,0.308687615526802
"Mariña Lucense","Indicador Estacional (1)","Fóra de Galicia",2011,57.6,0.582255083179298
"Mariña Lucense","Indicador Estacional (1)","Fóra de Galicia",2017,51,0.460258780036969
"Mariña Lucense","Indicador Estacional (1)","Fóra de Galicia",2018,55.7,0.547134935304991
"Mariña Lucense","Indicador Estacional (1)","Fóra de Galicia",2019,49.6,0.434380776340111
"Mariña Lucense","Indicador Estacional (1)","Fóra de Galicia",2020,60.7,0.639556377079482
"Mariña Lucense","Indicador Estacional (1)","Fóra de Galicia",2021,63.6,0.693160813308688
"Mariña Lucense","Indicador Estacional (1)","Fóra de Galicia",2022,51.2,0.463955637707948
"Mariña Lucense","Indicador Estacional (1)","Fóra de Galicia",2023,51.2,0.463955637707948
"Ría de Arousa","Indicador Estacional (1)","Todas",2011,53.6,0.508317929759704
"Ría de Arousa","Indicador Estacional (1)","Todas",2017,44.4,0.33826247689464
"Ría de Arousa","Indicador Estacional (1)","Todas",2018,54.7,0.528650646950092
"Ría de Arousa","Indicador Estacional (1)","Todas",2019,53.9,0.513863216266174
"Ría de Arousa","Indicador Estacional (1)","Todas",2020,73.5,0.876155268022181
"Ría de Arousa","Indicador Estacional (1)","Todas",2021,63.6,0.693160813308688
