"Destinos","Indicadores","Orixe dos viaxeiros","CodTempo","Tempo","DatoN","DatoN_normalized"
"Galicia","Noites","Todas",2011,2011,8538671,0.7119722899374
"A Coruña e As Mariñas","Noites","Todas",2011,2011,1148095,0.095733743660075
"Ancares - Courel","Noites","Todas",2011,2011,86819,0.00724278173247759
"Celanova - Limia","Noites","Todas",2011,2011,61699,0.00514823425979259
"Costa da Morte","Noites","Todas",2011,2011,190844,0.0159165596324002
"Deza - Tabeirós","Noites","Todas",2011,2011,131266,0.0109488466814597
"Ferrolterra","Noites","Todas",2011,2011,381377,0.0318035187730488
"Lugo e a Terra Chá","Noites","Todas",2011,2011,493454,0.0411486858549006
"Manzaneda - Trevinca","Noites","Todas",2011,2011,57218,0.00477460101038569
"Mariña Lucense","Noites","Todas",2011,2011,290278,0.0242075322995563
"O Ribeiro","Noites","Todas",2011,2011,111063,0.00926428686495272
"Ría de Arousa","Noites","Todas",2011,2011,1697138,0.141513864203283
"Ría de Muros e Noia","Noites","Todas",2011,2011,96409,0.00804241191810853
"Ría de Vigo e Baixo Miño","Noites","Todas",2011,2011,1143118,0.0953187531038825
"Ría e Terras de Pontevedra","Noites","Todas",2011,2011,604362,0.0503963797681389
"Ribeira Sacra","Noites","Todas",2011,2011,222830,0.0185836056300636
"Terras de Ourense e Allariz","Noites","Todas",2011,2011,277141,0.0231121473414089
"Terras de Santiago","Noites","Todas",2011,2011,1501797,0.125226006008149
"Verín - Viana","Noites","Todas",2011,2011,43763,0.00365270068216209
"Galicia","Indicador Área","Todas",2011,2011,289,2.77660950797812e-05
"A Coruña e As Mariñas","Indicador Área","Todas",2011,2011,1220,0.0001053944269695
"Ancares - Courel","Indicador Área","Todas",2011,2011,40,7.004060020125e-06
"Celanova - Limia","Indicador Área","Todas",2011,2011,35,6.58715168559375e-06
"Costa da Morte","Indicador Área","Todas",2011,2011,111,1.29241583704687e-05
"Deza - Tabeirós","Indicador Área","Todas",2011,2011,84,1.0672853364e-05
"Ferrolterra","Indicador Área","Todas",2011,2011,240,2.3680393401375e-05
"Lugo e a Terra Chá","Indicador Área","Todas",2011,2011,116,1.3341066705e-05
"Manzaneda - Trevinca","Indicador Área","Todas",2011,2011,41,7.08744168703125e-06
"Mariña Lucense","Indicador Área","Todas",2011,2011,208,2.1012180060375e-05
"O Ribeiro","Indicador Área","Todas",2011,2011,110,1.28407767035625e-05
"Ría de Arousa","Indicador Área","Todas",2011,2011,2695,0.000228382385656219
"Ría de Muros e Noia","Indicador Área","Todas",2011,2011,240,2.3680393401375e-05
"Ría de Vigo e Baixo Miño","Indicador Área","Todas",2011,2011,709,6.27863951804062e-05
"Ría e Terras de Pontevedra","Indicador Área","Todas",2011,2011,620,5.536542682575e-05
"Ribeira Sacra","Indicador Área","Todas",2011,2011,87,1.09229983647187e-05
"Terras de Ourense e Allariz","Indicador Área","Todas",2011,2011,347,3.26022317603437e-05
"Terras de Santiago","Indicador Área","Todas",2011,2011,496,4.5026100129375e-05
"Verín - Viana","Indicador Área","Todas",2011,2011,25,5.75333501653125e-06
"Galicia","Indicador Costa","Todas",2011,2011,3375,0.000285081919152469
"A Coruña e As Mariñas","Indicador Costa","Todas",2011,2011,5955,0.000500206619770594
"Ancares - Courel","Indicador Costa","Todas",2011,2011,NA,NA
"Celanova - Limia","Indicador Costa","Todas",2011,2011,NA,NA
"Costa da Morte","Indicador Costa","Todas",2011,2011,419,3.86057117775937e-05
"Deza - Tabeirós","Indicador Costa","Todas",2011,2011,NA,NA
"Ferrolterra","Indicador Costa","Todas",2011,2011,797,7.01239818681562e-05
"Lugo e a Terra Chá","Indicador Costa","Todas",2011,2011,NA,NA
"Manzaneda - Trevinca","Indicador Costa","Todas",2011,2011,NA,NA
"Mariña Lucense","Indicador Costa","Todas",2011,2011,1106,9.58889169421875e-05
"O Ribeiro","Indicador Costa","Todas",2011,2011,NA,NA
"Ría de Arousa","Indicador Costa","Todas",2011,2011,3427,0.000289417765831594
"Ría de Muros e Noia","Indicador Costa","Todas",2011,2011,673,5.97846551717812e-05
"Ría de Vigo e Baixo Miño","Indicador Costa","Todas",2011,2011,3904,0.000329190820945875
"Ría e Terras de Pontevedra","Indicador Costa","Todas",2011,2011,2904,0.000245809154039625
"Ribeira Sacra","Indicador Costa","Todas",2011,2011,NA,NA
"Terras de Ourense e Allariz","Indicador Costa","Todas",2011,2011,NA,NA
"Terras de Santiago","Indicador Costa","Todas",2011,2011,NA,NA
"Verín - Viana","Indicador Costa","Todas",2011,2011,NA,NA
"Galicia","Indicador Poboación (1)","Todas",2011,2011,0.84,3.73883394407625e-06
"A Coruña e As Mariñas","Indicador Poboación (1)","Todas",2011,2011,0.74,3.73049577738562e-06
"Ancares - Courel","Indicador Poboación (1)","Todas",2011,2011,1.15,3.76468226081719e-06
"Celanova - Limia","Indicador Poboación (1)","Todas",2011,2011,0.34,3.69714311062312e-06
"Costa da Morte","Indicador Poboación (1)","Todas",2011,2011,0.43,3.70464746064469e-06
"Deza - Tabeirós","Indicador Poboación (1)","Todas",2011,2011,0.49,3.70965036065906e-06
"Ferrolterra","Indicador Poboación (1)","Todas",2011,2011,0.52,3.71215181066625e-06
"Lugo e a Terra Chá","Indicador Poboación (1)","Todas",2011,2011,0.68,3.72549287737125e-06
"Manzaneda - Trevinca","Indicador Poboación (1)","Todas",2011,2011,0.48,3.70881654399e-06
"Mariña Lucense","Indicador Poboación (1)","Todas",2011,2011,1.06,3.75717791079562e-06
"O Ribeiro","Indicador Poboación (1)","Todas",2011,2011,0.61,3.71965616068781e-06
"Ría de Arousa","Indicador Poboación (1)","Todas",2011,2011,2.39,3.86807552778094e-06
"Ría de Muros e Noia","Indicador Poboación (1)","Todas",2011,2011,0.59,3.71798852734969e-06
"Ría de Vigo e Baixo Miño","Indicador Poboación (1)","Todas",2011,2011,0.59,3.71798852734969e-06
"Ría e Terras de Pontevedra","Indicador Poboación (1)","Todas",2011,2011,0.73,3.72966196071656e-06
"Ribeira Sacra","Indicador Poboación (1)","Todas",2011,2011,0.92,3.74550447742875e-06
"Terras de Ourense e Allariz","Indicador Poboación (1)","Todas",2011,2011,0.5,3.71048417732812e-06
"Terras de Santiago","Indicador Poboación (1)","Todas",2011,2011,1.5,3.79386584423437e-06
"Verín - Viana","Indicador Poboación (1)","Todas",2011,2011,0.33,3.69630929395406e-06
"Galicia","Indicador Poboación (2)","Todas",2011,2011,3.08,3.92560887794625e-06
"A Coruña e As Mariñas","Indicador Poboación (2)","Todas",2011,2011,2.69,3.89309002785281e-06
"Ancares - Courel","Indicador Poboación (2)","Todas",2011,2011,4.19,4.01816252821219e-06
"Celanova - Limia","Indicador Poboación (2)","Todas",2011,2011,1.26,3.77385424417687e-06
"Costa da Morte","Indicador Poboación (2)","Todas",2011,2011,1.55,3.79803492757969e-06
"Deza - Tabeirós","Indicador Poboación (2)","Todas",2011,2011,1.78,3.81721271096812e-06
"Ferrolterra","Indicador Poboación (2)","Todas",2011,2011,1.89,3.82638469432781e-06
"Lugo e a Terra Chá","Indicador Poboación (2)","Todas",2011,2011,2.5,3.87724751114062e-06
