"CodTempo","Year","Month","Establecementos","Viaxeiros/Noites/Estadía media","Procedencia","Zonas turísticas","DatoN","DatoN_normalized"
199901,"1999","Xaneiro","Hoteleiros","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",2911,0.0379080881874178
199901,"1999","Xaneiro","Hoteleiros","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",2875.4,0.0374444921930955
199901,"1999","Xaneiro","Hoteleiros","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",36.1,0.000470107174017789
199901,"1999","Xaneiro","Hoteleiros","Noites","Todas as procedencias","Costa da Morte (A Coruña)",5395,0.0702556289148468
199901,"1999","Xaneiro","Hoteleiros","Noites","Residentes en España","Costa da Morte (A Coruña)",5321.3,0.0692958810277246
199901,"1999","Xaneiro","Hoteleiros","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",74.4,0.000968863538695941
199901,"1999","Xaneiro","Hoteleiros","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",1.9,2.47424828430415e-05
199901,"1999","Xaneiro","Hoteleiros","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199901,"1999","Xaneiro","Hoteleiros","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199901,"1999","Xaneiro","Turismo rural","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199901,"1999","Xaneiro","Turismo rural","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199901,"1999","Xaneiro","Turismo rural","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199901,"1999","Xaneiro","Turismo rural","Noites","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199901,"1999","Xaneiro","Turismo rural","Noites","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199901,"1999","Xaneiro","Turismo rural","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199901,"1999","Xaneiro","Turismo rural","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199901,"1999","Xaneiro","Turismo rural","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199901,"1999","Xaneiro","Turismo rural","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199902,"1999","Febreiro","Hoteleiros","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",3051,0.0397312185021682
199902,"1999","Febreiro","Hoteleiros","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",2993.5,0.0389824328371814
199902,"1999","Febreiro","Hoteleiros","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",57.7,0.000751390136864997
199902,"1999","Febreiro","Hoteleiros","Noites","Todas as procedencias","Costa da Morte (A Coruña)",5712,0.0743837168418174
199902,"1999","Febreiro","Hoteleiros","Noites","Residentes en España","Costa da Morte (A Coruña)",5539,0.0721308486671615
199902,"1999","Febreiro","Hoteleiros","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",173.3,0.00225677488247321
199902,"1999","Febreiro","Hoteleiros","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",1.9,2.47424828430415e-05
199902,"1999","Febreiro","Hoteleiros","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199902,"1999","Febreiro","Hoteleiros","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199902,"1999","Febreiro","Turismo rural","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199902,"1999","Febreiro","Turismo rural","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199902,"1999","Febreiro","Turismo rural","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199902,"1999","Febreiro","Turismo rural","Noites","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199902,"1999","Febreiro","Turismo rural","Noites","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199902,"1999","Febreiro","Turismo rural","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199902,"1999","Febreiro","Turismo rural","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199902,"1999","Febreiro","Turismo rural","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199902,"1999","Febreiro","Turismo rural","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199903,"1999","Marzo","Hoteleiros","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",4581,0.0596554283705122
199903,"1999","Marzo","Hoteleiros","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",4507.6,0.0586995871912073
199903,"1999","Marzo","Hoteleiros","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",73,0.000950632235548437
199903,"1999","Marzo","Hoteleiros","Noites","Todas as procedencias","Costa da Morte (A Coruña)",10962,0.142751103644958
199903,"1999","Marzo","Hoteleiros","Noites","Residentes en España","Costa da Morte (A Coruña)",10712.6,0.139503327212824
199903,"1999","Marzo","Hoteleiros","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",249.3,0.00324647419619487
199903,"1999","Marzo","Hoteleiros","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",2.4,3.12536625385787e-05
199903,"1999","Marzo","Hoteleiros","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199903,"1999","Marzo","Hoteleiros","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199903,"1999","Marzo","Turismo rural","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199903,"1999","Marzo","Turismo rural","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199903,"1999","Marzo","Turismo rural","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
