sci_name,source_file
Haliotis tuberculata,ABALONES_intersection2
ardenna gravis,BIRDS_intersection_IUCN
ardenna grisea,BIRDS_intersection_IUCN
rissa tridactyla,BIRDS_intersection_IUCN
hydrobates pelagicus,BIRDS_intersection_IUCN
larus ridibundus,BIRDS_intersection_IUCN
oceanites oceanicus,BIRDS_intersection_IUCN
stercorarius pomarinus,BIRDS_intersection_IUCN
morus bassanus,BIRDS_intersection_IUCN
pterodroma madeira,BIRDS_intersection_IUCN
puffinus lherminieri,BIRDS_intersection_IUCN
puffinus puffinus,BIRDS_intersection_IUCN
pterodroma cahow,BIRDS_intersection_IUCN
pterodroma deserta,BIRDS_intersection_IUCN
pterodroma feae,BIRDS_intersection_IUCN
uria aalge,BIRDS_intersection_IUCN
bulweria bulwerii,BIRDS_intersection_IUCN
calonectris borealis,BIRDS_intersection_IUCN
calonectris diomedea,BIRDS_intersection_IUCN
catharacta skua,BIRDS_intersection_IUCN
fratercula arctica,BIRDS_intersection_IUCN
xema sabini,BIRDS_intersection_IUCN
alca torda,BIRDS_intersection_IUCN
hydrobates jabejabe,BIRDS_intersection_IUCN
hydrobates castro,BIRDS_intersection_IUCN
hydrobates leucorhous,BIRDS_intersection_IUCN
calidris ferruginea,BIRDS_intersection_IUCN
arenaria interpres,BIRDS_intersection_IUCN
pluvialis squatarola,BIRDS_intersection_IUCN
calidris alpina,BIRDS_intersection_IUCN
calidris alba,BIRDS_intersection_IUCN
calidris canutus,BIRDS_intersection_IUCN
limosa lapponica,BIRDS_intersection_IUCN
larus marinus,BIRDS_intersection_IUCN
puffinus mauretanicus,BIRDS_intersection_IUCN
larus fuscus,BIRDS_intersection_IUCN
calidris falcinellus,BIRDS_intersection_IUCN
larus canus,BIRDS_intersection_IUCN
pinguinus impennis,BIRDS_intersection_IUCN
larus argentatus,BIRDS_intersection_IUCN
chlidonias niger,BIRDS_intersection_IUCN
larus michahellis,BIRDS_intersection_IUCN
hydrocoloeus minutus,BIRDS_intersection_IUCN
gavia immer,BIRDS_intersection_IUCN
aythya marila,BIRDS_intersection_IUCN
gavia stellata,BIRDS_intersection_IUCN
larus melanocephalus,BIRDS_intersection_IUCN
podiceps cristatus,BIRDS_intersection_IUCN
thalasseus sandvicensis,BIRDS_intersection_IUCN
gavia arctica,BIRDS_intersection_IUCN
gulosus aristotelis,BIRDS_intersection_IUCN
melanitta nigra,BIRDS_intersection_IUCN
alcedo atthis,BIRDS_intersection_IUCN
motacilla cinerea,BIRDS_intersection_IUCN
podiceps nigricollis,BIRDS_intersection_IUCN
