"sci_name","source_file","iucn_category","area_km2"
"Spatula querquedula","cleaned_FW_OTHER_PART4_intersection","LC",0
"Sphyrna mokarran","cleaned_MARINEFISH_PART6_intersection","CR",0
"emberiza citrinella","cleaned_BIRDS_intersection_IUCN","LC",0
"spatula querquedula","cleaned_BIRDS_intersection_IUCN","LC",0
"circus aeruginosus","cleaned_BIRDS_intersection_IUCN","LC",0.01
"calandrella brachydactyla","cleaned_BIRDS_intersection_IUCN","LC",0.02
"emberiza schoeniclus","cleaned_BIRDS_intersection_IUCN","LC",0.04
"galerida cristata","cleaned_BIRDS_intersection_IUCN","LC",0.04
"Alosa alosa","cleaned_CLUPEIFORMES_intersection2","CR",0.15
"falco subbuteo","cleaned_BIRDS_intersection_IUCN","LC",0.15
"Calidris maritima","cleaned_FW_OTHER_PART1_intersection","LC",0.21
"calidris maritima","cleaned_BIRDS_intersection_IUCN","LC",0.21
"rallus aquaticus","cleaned_BIRDS_intersection_IUCN","LC",0.3
"Myosotella myosotis","cleaned_FW_MOLLUSCS_intersection2","LC",0.33
"otus scops","cleaned_BIRDS_intersection_IUCN","LC",0.36
"Actitis hypoleucos","cleaned_FW_OTHER_PART4_intersection","LC",0.37
"Alauda arvensis","cleaned_FW_OTHER_PART3_intersection","LC",0.37
"Anthus petrosus","cleaned_FW_OTHER_PART3_intersection","LC",0.37
"Anthus pratensis","cleaned_FW_OTHER_PART2_intersection","LC",0.37
"Anthus spinoletta","cleaned_FW_OTHER_PART2_intersection","LC",0.37
"Ardea cinerea","cleaned_FW_OTHER_PART2_intersection","LC",0.37
"Aythya ferina","cleaned_FW_OTHER_PART2_intersection","VU",0.37
"Aythya fuligula","cleaned_FW_OTHER_PART1_intersection","LC",0.37
"Calidris minuta","cleaned_FW_OTHER_PART4_intersection","LC",0.37
"Charadrius hiaticula","cleaned_FW_OTHER_PART3_intersection","LC",0.37
"Cisticola juncidis","cleaned_FW_OTHER_PART2_intersection","LC",0.37
"Corvus corone","cleaned_FW_OTHER_PART2_intersection","LC",0.37
"Falco peregrinus","cleaned_FW_OTHER_PART3_intersection","LC",0.37
"Gallinula chloropus","cleaned_FW_OTHER_PART4_intersection","LC",0.37
"Haematopus ostralegus","cleaned_FW_OTHER_PART1_intersection","NT",0.37
"Himantopus himantopus","cleaned_FW_OTHER_PART2_intersection","LC",0.37
"Limosa lapponica","cleaned_FW_OTHER_PART3_intersection","NT",0.37
"Lutra lutra","cleaned_FW_OTHER_PART1_intersection","NT",0.37
"Lymnocryptes minimus","cleaned_FW_OTHER_PART4_intersection","LC",0.37
"Mareca penelope","cleaned_FW_OTHER_PART3_intersection","LC",0.37
"Milvus migrans","cleaned_FW_OTHER_PART1_intersection","LC",0.37
"Numenius arquata","cleaned_FW_OTHER_PART3_intersection","NT",0.37
"Numenius phaeopus","cleaned_FW_OTHER_PART2_intersection","LC",0.37
"Pandion haliaetus","cleaned_FW_OTHER_PART2_intersection","LC",0.37
"Pluvialis apricaria","cleaned_FW_OTHER_PART1_intersection","LC",0.37
"Spatula clypeata","cleaned_FW_OTHER_PART1_intersection","LC",0.37
"Tachybaptus ruficollis","cleaned_FW_OTHER_PART2_intersection","LC",0.37
"Tringa nebularia","cleaned_FW_OTHER_PART2_intersection","LC",0.37
"Tringa totanus","cleaned_FW_OTHER_PART3_intersection","LC",0.37
"accipiter gentilis","cleaned_BIRDS_intersection_IUCN","LC",0.37
"accipiter nisus","cleaned_BIRDS_intersection_IUCN","LC",0.37
"acrocephalus paludicola","cleaned_BIRDS_intersection_IUCN","VU",0.37
"actitis hypoleucos","cleaned_BIRDS_intersection_IUCN","LC",0.37
"aegithalos caudatus","cleaned_BIRDS_intersection_IUCN","LC",0.37
"alauda arvensis","cleaned_BIRDS_intersection_IUCN","LC",0.37
"anas crecca","cleaned_BIRDS_intersection_IUCN","LC",0.37
"anas platyrhynchos","cleaned_BIRDS_intersection_IUCN","LC",0.37
"anthus petrosus","cleaned_BIRDS_intersection_IUCN","LC",0.37
"anthus pratensis","cleaned_BIRDS_intersection_IUCN","LC",0.37
"anthus spinoletta","cleaned_BIRDS_intersection_IUCN","LC",0.37
"apus apus","cleaned_BIRDS_intersection_IUCN","LC",0.37
"ardea cinerea","cleaned_BIRDS_intersection_IUCN","LC",0.37
"athene noctua","cleaned_BIRDS_intersection_IUCN","LC",0.37
"aythya ferina","cleaned_BIRDS_intersection_IUCN","VU",0.37
"aythya fuligula","cleaned_BIRDS_intersection_IUCN","LC",0.37
"buteo buteo","cleaned_BIRDS_intersection_IUCN","LC",0.37
"calidris minuta","cleaned_BIRDS_intersection_IUCN","LC",0.37
"carduelis carduelis","cleaned_BIRDS_intersection_IUCN","LC",0.37
